timestamp_ms,delete_time_in_millis,index_time_in_millis,throttle_time_in_millis
1485174344113,0,0,0
1485174347294,0,0,0
1485174350355,0,0,0
1485174353377,0,2469,0
1485174356394,0,4651,0
1485174359463,0,4651,0
1485174362487,0,4651,0
1485174365510,0,10744,0
1485174368731,0,11898,0
1485174371882,0,15525,0
1485174374914,0,16743,0
1485174377979,0,22952,0
1485174381289,0,25796,0
1485174384302,0,28913,0
1485174387324,0,32991,0
1485174390400,0,37880,0
1485174393649,0,40558,0
1485174396667,0,40558,0
1485174399716,0,42552,0
1485174402762,0,47811,0
1485174405789,0,48383,0
1485174408806,0,55469,0
1485174412456,0,59277,0
1485174415947,0,64250,0
1485174419090,0,73186,0
1485174422342,0,84559,0
1485174425418,0,91198,0
1485174429186,0,99613,0
1485174432390,0,112277,0
1485174435569,0,122606,0
1485174438697,0,133621,0
1485174441751,0,143313,0
1485174444857,0,155913,0
1485174448401,0,169417,0
1485174451504,0,181017,0
1485174454662,0,192298,0
1485174457844,0,203954,0
1485174460859,0,216166,0
1485174463889,0,228069,0
1485174468474,0,242031,0
1485174471559,0,247282,0
1485174474578,0,258508,0
1485174477601,0,269937,0
1485174480641,0,280278,0
1485174483691,0,291320,0
1485174486733,0,304037,0
1485174489762,0,314220,0
1485174492815,0,325811,0
1485174495843,0,336330,0
1485174499186,0,345487,0
1485174502302,0,353408,0
1485174505436,0,365732,0
1485174508452,0,377146,0
1485174511636,0,388493,0
1485174514665,0,398629,0
1485174517676,0,407954,0
1485174520691,0,416868,0
1485174523716,0,428477,0
1485174526980,0,440394,0
1485174530133,0,449863,0
1485174533340,0,459971,0
1485174536355,0,470872,0
1485174539697,0,483944,0
1485174542769,0,494582,0
1485174546007,0,504370,0
1485174549075,0,514722,0
1485174552813,0,526479,0
1485174556168,0,539739,0
1485174559298,0,550686,0
1485174562313,0,562218,0
1485174565536,0,574639,0
1485174568871,0,584747,0
1485174571890,0,596120,0
1485174574977,0,607413,0
1485174578094,0,618848,0
1485174581448,0,631708,0
1485174584473,0,638813,0
1485174587493,0,648855,0
1485174590716,0,660845,0
1485174594007,0,669230,0
1485174598583,0,677235,0
1485174601975,0,690899,0
1485174605387,0,702331,0
1485174608408,0,713894,0
1485174611664,0,725855,0
1485174614702,0,734318,0
1485174617730,0,745731,0
1485174620756,0,757306,0
1485174623792,0,766490,0
1485174626812,0,776260,0
1485174629987,0,785410,0
1485174633047,0,793281,0
1485174636206,0,800365,0
1485174639362,0,806896,0
1485174642685,0,818335,0
1485174645703,0,829369,0
1485174648723,0,840882,0
1485174651854,0,851053,0
1485174655264,0,864622,0
1485174658739,0,876970,0
1485174661839,0,885761,0
1485174664934,0,897973,0
1485174668024,0,905886,0
1485174671213,0,914439,0
1485174674483,0,925381,0
1485174679868,0,942967,0
1485174682977,0,954171,0
1485174686185,0,964239,0
1485174689615,0,978012,0
1485174692781,0,990179,0
