timestamp_ms,total_stopped_time_in_millis,total_throttled_time_in_millis,total_time_in_millis
1485174344113,0,0,0
1485174347294,0,0,0
1485174350355,0,0,0
1485174353377,0,0,0
1485174356394,0,0,0
1485174359463,0,0,0
1485174362487,0,0,0
1485174365510,0,0,0
1485174368731,0,0,0
1485174371882,0,0,0
1485174374914,0,0,0
1485174377979,0,0,0
1485174381289,0,0,0
1485174384302,0,0,0
1485174387324,0,0,0
1485174390400,0,0,0
1485174393649,0,0,0
1485174396667,0,0,0
1485174399716,0,0,0
1485174402762,0,0,0
1485174405789,0,0,0
1485174408806,0,0,0
1485174412456,0,0,0
1485174415947,0,0,0
1485174419090,0,0,0
1485174422342,0,0,0
1485174425418,0,0,0
1485174429186,0,0,82435
1485174432390,0,0,137309
1485174435569,0,0,137309
1485174438697,0,0,137309
1485174441751,0,0,137309
1485174444857,0,0,137309
1485174448401,0,0,137309
1485174451504,0,0,137309
1485174454662,0,0,159804
1485174457844,0,0,182045
1485174460859,0,0,182045
1485174463889,0,0,182045
1485174468474,0,0,206352
1485174471559,0,0,231366
1485174474578,0,0,231366
1485174477601,0,0,231366
1485174480641,0,0,231366
1485174483691,0,0,231366
1485174486733,0,0,231366
1485174489762,0,0,231366
1485174492815,0,0,231366
1485174495843,0,0,231366
1485174499186,0,0,231366
1485174502302,0,0,258471
1485174505436,0,0,258471
1485174508452,0,0,258471
1485174511636,0,0,258471
1485174514665,0,0,258471
1485174517676,0,0,258471
1485174520691,0,0,258471
1485174523716,0,0,258471
1485174526980,0,0,258471
1485174530133,0,0,258471
1485174533340,0,0,258471
1485174536355,0,0,258471
1485174539697,0,0,258471
1485174542769,0,0,258471
1485174546007,0,0,258471
1485174549075,0,0,258471
1485174552813,0,0,258471
1485174556168,0,0,258471
1485174559298,0,0,258471
1485174562313,0,0,258471
1485174565536,0,0,258471
1485174568871,0,0,258471
1485174571890,0,0,279914
1485174574977,0,0,303254
1485174578094,0,0,342507
1485174581448,0,0,342507
1485174584473,0,0,342507
1485174587493,0,0,361309
1485174590716,0,0,361309
1485174594007,0,0,382635
1485174598583,0,0,403409
1485174601975,0,0,438210
1485174605387,0,0,438210
1485174608408,0,0,438210
1485174611664,0,0,438210
1485174614702,0,0,438210
1485174617730,0,0,438210
1485174620756,0,0,438210
1485174623792,0,0,438210
1485174626812,0,0,473010
1485174629987,0,0,507512
1485174633047,0,0,507512
1485174636206,0,0,507512
1485174639362,0,0,549571
1485174642685,0,0,549571
1485174645703,0,0,572001
1485174648723,0,0,572001
1485174651854,0,0,594456
1485174655264,0,0,616604
1485174658739,0,0,616604
1485174661839,0,0,616604
1485174664934,0,0,616604
1485174668024,0,0,616604
1485174671213,0,0,616604
1485174674483,0,0,632054
1485174679868,0,0,632054
1485174682977,0,0,632054
1485174686185,0,0,632054
1485174689615,0,0,632054
1485174692781,0,0,632054
1485174695867,0,0,632054
1485174699156,0,0,632054
