timestamp_ms,total_auto_throttle_in_bytes,total_size_in_bytes
1485174520699,0,0
1485174523719,0,0
1485174526983,0,0
1485174530136,0,0
1485174533342,0,0
1485174536360,0,0
1485174539731,0,0
1485174542771,0,0
1485174546058,0,0
1485174549076,0,0
1485174552770,0,0
1485174556170,0,0
1485174559188,0,0
1485174562315,0,0
1485174565423,0,0
1485174568876,0,0
1485174571893,0,0
1485174574919,0,0
1485174578093,0,0
1485174581451,0,0
1485174584475,0,0
1485174587493,0,0
1485174590719,0,0
1485174594030,0,0
1485174598602,0,0
1485174601852,0,0
1485174605389,0,0
1485174608410,0,0
1485174611669,0,0
1485174614704,0,0
1485174617732,0,0
1485174620757,0,0
1485174623795,0,0
1485174626876,0,0
1485174629889,0,0
1485174633050,0,0
1485174636208,0,0
1485174639636,0,0
1485174642686,0,0
1485174645705,0,0
1485174648721,0,0
1485174651857,0,0
1485174655266,0,0
1485174658740,0,0
1485174661841,0,0
1485174664978,20971520,0
1485174668026,41943040,0
1485174671082,41943040,0
1485174674484,41943040,0
1485174679885,41943040,0
1485174682903,41943040,0
1485174686235,41943040,0
1485174689625,41943040,0
1485174692783,41943040,0
1485174695869,41943040,0
1485174699158,41943040,0
1485174702178,41943040,0
1485174705206,41943040,0
1485174708698,41943040,0
1485174713681,41943040,0
1485174716936,41943040,4746644
1485174720307,41943040,4746644
1485174723483,41943040,4746644
1485174726660,41943040,4746644
1485174729687,41943040,4746644
1485174733165,41943040,4746644
1485174736254,41943040,9802398
1485174739537,41943040,9802398
1485174742962,41943040,9802398
1485174746038,41943040,9802398
1485174749169,41943040,9802398
1485174752228,41943040,9802398
1485174756092,41943040,9802398
1485174759215,41943040,9802398
1485174762268,41943040,9802398
1485174766065,41943040,9802398
1485174769090,41943040,9802398
1485174772696,62914560,9802398
1485174776577,62914560,9802398
1485174780352,62914560,9802398
1485174783623,62914560,9802398
1485174787117,62914560,26214964
1485174790555,62914560,26214964
1485174793698,62914560,26214964
1485174798106,62914560,26214964
1485174801670,62914560,26214964
1485174805068,62914560,26214964
1485174808150,62914560,26214964
1485174811466,62914560,26214964
1485174814823,62914560,26214964
1485174818017,62914560,26214964
1485174821902,62914560,40472187
1485174825042,62914560,40472187
1485174828259,62914560,40472187
1485174831276,62914560,40472187
1485174834473,62914560,40472187
1485174837636,62914560,40472187
1485174840954,62914560,40472187
1485174843971,62914560,40472187
1485174848281,62914560,40472187
1485174851841,62914560,40472187
1485174854942,62914560,40472187
1485174858748,83886080,40472187
1485174861875,83886080,40472187
1485174864924,83886080,40472187
1485174868167,83886080,70508184
1485174872795,83886080,70508184
1485174875920,83886080,70508184
1485174879375,83886080,73685151
1485174883238,83886080,73685151
1485174886569,83886080,73685151
1485174890032,83886080,73685151
1485174894754,83886080,73685151
1485174897799,83886080,73685151
1485174900834,83886080,73685151
1485174904664,83886080,73685151
1485174908204,104857600,81021425
1485174911787,104857600,81021425
1485174915605,104857600,81021425
1485174918947,104857600,81021425
1485174922376,104857600,81021425
1485174926025,104857600,85135127
1485174929386,104857600,85135127
1485174936104,104857600,105691986
1485174939150,104857600,105691986
1485174942359,104857600,105691986
1485174945932,104857600,108632252
1485174948956,104857600,111002756
1485174952129,104857600,111002756
1485174955152,104857600,111002756
1485174958791,104857600,149352213
1485174962402,104857600,149352213
1485174965793,104857600,149352213
1485174969099,104857600,149352213
1485174972614,104857600,149352213
1485174976223,104857600,162738888
1485174980822,104857600,162738888
1485174983864,104857600,189856910
1485174986888,104857600,189856910
1485174990096,104857600,195540486
1485174993706,104857600,199478678
1485174997079,104857600,203866685
1485175000833,104857600,203866685
1485175004294,104857600,203866685
1485175007333,104857600,203866685
1485175010824,104857600,209636228
1485175014986,104857600,209636228
1485175018116,104857600,226709514
1485175021760,104857600,226709514
1485175026138,104857600,226709514
1485175029797,104857600,226709514
1485175033076,104857600,226709514
1485175036847,104857600,226709514
1485175040062,104857600,226709514
1485175043746,104857600,230681860
1485175047965,104857600,230681860
1485175051585,104857600,230681860
1485175054942,104857600,230681860
1485175059065,104857600,230681860
1485175062182,104857600,234393045
1485175065478,104857600,238644770
1485175069448,104857600,255151801
1485175072464,104857600,255151801
1485175075945,104857600,255151801
1485175079395,104857600,255151801
1485175082739,104857600,255151801
1485175086791,104857600,255151801
1485175090254,104857600,255151801
1485175093600,104857600,255151801
1485175097402,104857600,264569910
1485175100754,104857600,264569910
1485175103771,104857600,275490949
1485175107457,104857600,275490949
1485175114025,104857600,275490949
1485175117850,104857600,275490949
1485175122406,104857600,286752326
1485175125424,104857600,286752326
1485175128852,104857600,286752326
1485175132576,104857600,286752326
1485175135605,104857600,286752326
1485175139538,104857600,286752326
1485175144084,104857600,286752326
1485175147104,104857600,286752326
1485175150326,104857600,286752326
1485175154325,104857600,286752326
1485175157480,104857600,291078405
1485175161089,104857600,291078405
1485175164723,104857600,291078405
1485175167754,104857600,299965706
1485175171235,104857600,306191517
1485175175064,104857600,318185524
1485175178238,104857600,318185524
1485175181500,104857600,318185524
1485175185712,104857600,318185524
1485175189313,104857600,318185524
1485175193113,104857600,318185524
1485175196858,104857600,318185524
1485175200350,125829120,331427950
1485175204065,125829120,331427950
1485175207706,125829120,331427950
1485175210728,125829120,335787058
1485175214045,125829120,343438632
1485175217205,125829120,343438632
1485175220860,146800640,343438632
1485175224615,146800640,343438632
1485175228161,146800640,352898287
1485175231592,146800640,366920548
1485175235497,146800640,366920548
1485175238943,146800640,366920548
1485175242713,146800640,366920548
1485175246105,146800640,366920548
1485175249699,146800640,366920548
1485175253127,146800640,366920548
1485175256808,146800640,366920548
1485175260253,146800640,366920548
1485175264685,146800640,380431354
1485175268118,146800640,380431354
1485175271136,146800640,380431354
1485175274781,146800640,380431354
1485175278958,146800640,380431354
1485175282074,146800640,385354201
1485175286345,146800640,393063317
1485175290086,146800640,393063317
1485175293156,146800640,393063317
1485175296651,146800640,393063317
1485175300792,146800640,393063317
1485175303819,146800640,396663062
1485175307376,146800640,417188815
1485175310693,146800640,417188815
1485175314031,146800640,500585388
1485175318151,146800640,500585388
1485175321418,146800640,500585388
1485175324439,146800640,500585388
1485175327905,146800640,500585388
1485175331309,146800640,516249969
1485175334487,146800640,516249969
1485175338508,146800640,516249969
1485175341831,146800640,516249969
1485175345074,146800640,516249969
1485175348974,146800640,530369427
1485175352842,146800640,543661647
1485175356226,146800640,551669264
1485175359492,146800640,551669264
1485175362691,146800640,551669264
1485175366013,146800640,551669264
1485175369081,146800640,551669264
1485175373113,146800640,551669264
1485175377082,146800640,551669264
1485175380238,146800640,558660140
1485175383767,146800640,558660140
1485175387468,146800640,558660140
1485175391144,146800640,558660140
1485175394521,146800640,558660140
1485175398145,146800640,558660140
1485175401239,146800640,558660140
1485175404825,146800640,581201398
1485175408399,146800640,597724610
1485175411417,146800640,615229487
1485175414480,146800640,615229487
1485175417659,146800640,648217692
1485175420920,146800640,648217692
1485175423997,146800640,660321701
1485175427014,146800640,660321701
1485175430204,146800640,660321701
1485175433408,146800640,660321701
1485175436562,146800640,660321701
1485175439757,146800640,660321701
1485175442885,146800640,670374044
1485175446250,167772160,680415789
1485175449267,167772160,680415789
1485175452308,167772160,680415789
1485175455434,167772160,680415789
1485175458589,188743680,721616926
1485175461609,209715200,736890787
1485175464625,209715200,748407606
1485175467669,209715200,748407606
1485175470795,209715200,775984486
1485175473811,209715200,775984486
1485175476824,209715200,775984486
