timestamp_ms,total_auto_throttle_in_bytes,total_size_in_bytes
1485174344113,0,0
1485174347294,0,0
1485174350355,41943040,0
1485174353377,41943040,0
1485174356394,83886080,0
1485174359463,83886080,0
1485174362487,125829120,0
1485174365510,125829120,0
1485174368731,125829120,0
1485174371882,146800640,0
1485174374914,167772160,0
1485174377979,167772160,0
1485174381289,167772160,0
1485174384302,209715200,0
1485174387324,209715200,0
1485174390400,251658240,0
1485174393649,314572800,0
1485174396667,314572800,0
1485174399716,314572800,0
1485174402762,314572800,0
1485174405789,314572800,0
1485174408806,314572800,0
1485174412456,314572800,0
1485174415947,314572800,0
1485174419090,314572800,0
1485174422342,314572800,0
1485174425418,314572800,0
1485174429186,314572800,28408659
1485174432390,314572800,48784062
1485174435569,314572800,48784062
1485174438697,314572800,48784062
1485174441751,314572800,48784062
1485174444857,314572800,48784062
1485174448401,314572800,48784062
1485174451504,314572800,48784062
1485174454662,314572800,62771164
1485174457844,314572800,76296163
1485174460859,314572800,76296163
1485174463889,314572800,76296163
1485174468474,314572800,91358737
1485174471559,314572800,105551222
1485174474578,314572800,105551222
1485174477601,314572800,105551222
1485174480641,314572800,105551222
1485174483691,314572800,105551222
1485174486733,314572800,105551222
1485174489762,314572800,105551222
1485174492815,314572800,105551222
1485174495843,314572800,105551222
1485174499186,314572800,105551222
1485174502302,314572800,124059549
1485174505436,314572800,124059549
1485174508452,314572800,124059549
1485174511636,314572800,124059549
1485174514665,314572800,124059549
1485174517676,314572800,124059549
1485174520691,314572800,124059549
1485174523716,314572800,124059549
1485174526980,314572800,124059549
1485174530133,314572800,124059549
1485174533340,314572800,124059549
1485174536355,314572800,124059549
1485174539697,314572800,124059549
1485174542769,314572800,124059549
1485174546007,314572800,124059549
1485174549075,314572800,124059549
1485174552813,314572800,124059549
1485174556168,314572800,124059549
1485174559298,314572800,124059549
1485174562313,314572800,124059549
1485174565536,314572800,124059549
1485174568871,314572800,124059549
1485174571890,314572800,133724276
1485174574977,314572800,143564466
1485174578094,314572800,159682769
1485174581448,314572800,159682769
1485174584473,314572800,159682769
1485174587493,314572800,169281620
1485174590716,314572800,169281620
1485174594007,314572800,179807346
1485174598583,314572800,191115830
1485174601975,314572800,209058391
