timestamp_ms,total_time_in_millis
1485174520699,0
1485174523719,0
1485174526983,0
1485174530136,0
1485174533342,0
1485174536360,0
1485174539731,0
1485174542771,0
1485174546058,0
1485174549076,0
1485174552770,0
1485174556170,0
1485174559188,0
1485174562315,0
1485174565423,0
1485174568876,0
1485174571893,0
1485174574919,0
1485174578093,0
1485174581451,0
1485174584475,0
1485174587493,0
1485174590719,0
1485174594030,0
1485174598602,0
1485174601852,0
1485174605389,0
1485174608410,0
1485174611669,0
1485174614704,0
1485174617732,0
1485174620757,0
1485174623795,0
1485174626876,0
1485174629889,0
1485174633050,0
1485174636208,0
1485174639636,0
1485174642686,0
1485174645705,0
1485174648721,0
1485174651857,0
1485174655266,0
1485174658740,0
1485174661841,0
1485174664978,0
1485174668026,0
1485174671082,8336
1485174674484,8336
1485174679885,12327
1485174682903,15647
1485174686235,19785
1485174689625,20756
1485174692783,21913
1485174695869,23546
1485174699158,25386
1485174702178,28675
1485174705206,28675
1485174708698,28675
1485174713681,29298
1485174716936,30986
1485174720307,33999
1485174723483,35952
1485174726660,41232
1485174729687,43817
1485174733165,45484
1485174736254,49435
1485174739537,49435
1485174742962,49435
1485174746038,49435
1485174749169,51648
1485174752228,51648
1485174756092,52351
1485174759215,55171
1485174762268,59987
1485174766065,61605
1485174769090,63829
1485174772696,63829
1485174776577,65092
1485174780352,68003
1485174783623,69464
1485174787117,69591
1485174790555,70156
1485174793698,71364
1485174798106,75030
1485174801670,77412
1485174805068,80096
1485174808150,83342
1485174811466,86276
1485174814823,86276
1485174818017,86276
1485174821902,89664
1485174825042,90723
1485174828259,90723
1485174831276,92271
1485174834473,94639
1485174837636,99081
1485174840954,101982
1485174843971,103694
1485174848281,105998
1485174851841,107320
1485174854942,109328
1485174858748,112491
1485174861875,113788
1485174864924,115696
1485174868167,120833
1485174872795,126400
1485174875920,129731
1485174879375,133505
1485174883238,134000
1485174886569,139394
1485174890032,143651
1485174894754,145930
1485174897799,146557
1485174900834,149580
1485174904664,154383
1485174908204,171088
1485174911787,176258
1485174915605,181482
1485174918947,185093
1485174922376,186718
1485174926025,190183
1485174929386,194581
1485174936104,201813
1485174939150,204375
1485174942359,210525
1485174945932,216394
1485174948956,217540
1485174952129,220845
1485174955152,224437
1485174958791,227887
1485174962402,229592
1485174965793,234186
1485174969099,239248
1485174972614,242182
1485174976223,244793
1485174980822,250513
1485174983864,254697
1485174986888,256765
1485174990096,259079
1485174993706,261297
1485174997079,263122
1485175000833,267052
1485175004294,271641
1485175007333,278537
1485175010824,280325
1485175014986,282651
1485175018116,284112
1485175021760,290413
1485175026138,295873
1485175029797,297664
1485175033076,301873
1485175036847,306481
1485175040062,309834
1485175043746,314222
1485175047965,319366
1485175051585,325829
1485175054942,330797
1485175059065,333852
1485175062182,334499
1485175065478,335156
1485175069448,338625
1485175072464,344345
1485175075945,351021
1485175079395,354187
1485175082739,358717
1485175086791,362628
1485175090254,365002
1485175093600,367851
1485175097402,368191
1485175100754,369584
1485175103771,372774
1485175107457,375521
1485175114025,386329
1485175117850,391265
1485175122406,397885
1485175125424,402115
1485175128852,403049
1485175132576,405314
1485175135605,405314
1485175139538,409923
1485175144084,416133
1485175147104,418484
1485175150326,422288
1485175154325,429023
1485175157480,434127
1485175161089,439061
1485175164723,441233
1485175167754,442821
1485175171235,448336
1485175175064,453815
1485175178238,455426
1485175181500,459147
1485175185712,464785
1485175189313,466307
1485175193113,472436
1485175196858,479058
1485175200350,501041
1485175204065,504550
1485175207706,505880
1485175210728,505880
1485175214045,505880
1485175217205,513035
1485175220860,528492
1485175224615,536360
1485175228161,541125
1485175231592,546855
1485175235497,553576
1485175238943,560478
1485175242713,566586
1485175246105,569961
1485175249699,575110
1485175253127,578195
1485175256808,579747
1485175260253,584218
1485175264685,588347
1485175268118,597169
1485175271136,600591
1485175274781,607776
1485175278958,617773
1485175282074,622771
1485175286345,631713
1485175290086,634981
1485175293156,640395
1485175296651,646109
1485175300792,650271
1485175303819,656043
1485175307376,662416
1485175310693,668149
1485175314031,674857
1485175318151,680795
1485175321418,687599
1485175324439,692124
1485175327905,696696
1485175331309,699574
1485175334487,703965
1485175338508,710673
1485175341831,714940
1485175345074,717472
1485175348974,722976
1485175352842,730037
1485175356226,734753
1485175359492,740170
1485175362691,746506
1485175366013,751230
1485175369081,754491
1485175373113,758930
1485175377082,761198
1485175380238,765550
1485175383767,768434
1485175387468,775993
1485175391144,781997
1485175394521,789959
1485175398145,792858
1485175401239,794342
1485175404825,798500
1485175408399,803163
1485175411417,806117
1485175414480,808908
1485175417659,810641
1485175420920,813149
1485175423997,813917
1485175427014,815984
1485175430204,819210
1485175433408,821240
1485175436562,822539
1485175439757,824440
1485175442885,827186
1485175446250,828071
1485175449267,828071
1485175452308,828677
1485175455434,829652
1485175458589,831208
1485175461609,831933
1485175464625,832057
1485175467669,832057
1485175470795,832474
1485175473811,832474
1485175476824,833052
