timestamp_ms,total_time_in_millis
1485174344113,0
1485174347294,0
1485174350355,0
1485174353377,1935
1485174356394,2526
1485174359463,2526
1485174362487,3415
1485174365510,6046
1485174368731,9148
1485174371882,9707
1485174374914,9707
1485174377979,13658
1485174381289,17292
1485174384302,18155
1485174387324,19926
1485174390400,21588
1485174393649,25478
1485174396667,25478
1485174399716,25984
1485174402762,30388
1485174405789,32207
1485174408806,33669
1485174412456,41636
1485174415947,50380
1485174419090,54878
1485174422342,63415
1485174425418,67509
1485174429186,74774
1485174432390,83649
1485174435569,90065
1485174438697,93360
1485174441751,101680
1485174444857,107397
1485174448401,115229
1485174451504,121081
1485174454662,126948
1485174457844,132782
1485174460859,141274
1485174463889,144783
1485174468474,155236
1485174471559,162292
1485174474578,166380
1485174477601,173890
1485174480641,176210
1485174483691,185014
1485174486733,189777
1485174489762,198080
1485174492815,201664
1485174495843,210503
1485174499186,216150
1485174502302,222974
1485174505436,227551
1485174508452,235728
1485174511636,240955
1485174514665,246670
1485174517676,255175
1485174520691,259524
1485174523716,264313
1485174526980,273255
1485174530133,278624
1485174533340,284330
1485174536355,289938
1485174539697,297355
1485174542769,299872
1485174546007,309260
1485174549075,314924
1485174552813,321223
1485174556168,328958
1485174559298,334876
1485174562313,340866
1485174565536,346506
1485174568871,354769
1485174571890,362148
1485174574977,365202
1485174578094,373741
1485174581448,380501
1485174584473,386059
1485174587493,392885
1485174590716,399731
1485174594007,407541
1485174598583,415513
1485174601975,419548
1485174605387,429281
1485174608408,435505
1485174611664,440416
1485174614702,444664
1485174617730,454291
1485174620756,459458
1485174623792,463912
1485174626812,471566
1485174629987,478015
1485174633047,483028
1485174636206,488887
1485174639362,495007
1485174642685,500294
1485174645703,507349
1485174648723,516061
1485174651854,519274
1485174655264,527898
1485174658739,534180
1485174661839,542058
1485174664934,543793
1485174668024,552310
1485174671213,556579
1485174674483,561424
1485174679868,575468
1485174682977,580422
1485174686185,587671
1485174689615,595349
1485174692781,600823
1485174695867,607951
1485174699156,612687
1485174702180,619089
1485174705205,624878
1485174708696,630893
1485174713765,642324
1485174716973,649490
1485174720305,656356
1485174723481,663094
1485174726556,668112
1485174729684,673963
1485174733091,682039
1485174736257,687956
1485174739529,694065
1485174742960,702092
1485174746101,707563
1485174749166,711645
1485174752294,720448
1485174756089,726166
1485174759117,731635
1485174762265,738593
1485174765970,747976
1485174769143,752571
1485174772679,758452
1485174776577,768228
1485174780349,774764
1485174783621,780883
1485174787119,788665
1485174790553,795443
1485174793812,799626
1485174798084,809896
1485174801669,817543
1485174805032,823937
1485174808235,829569
1485174811463,835679
1485174814822,844293
1485174818025,849170
1485174822001,856944
1485174825027,862349
1485174828190,868929
1485174831274,876865
1485174834511,882239
1485174837675,888138
1485174840952,894780
1485174844198,898442
1485174848502,910309
1485174851918,915352
1485174854937,919534
1485174858676,926154
1485174861883,932082
1485174864921,936669
1485174868171,945290
1485174872793,954985
1485174875915,958400
1485174879373,966243
1485174883230,973836
1485174886559,981734
1485174890032,986174
1485174894715,994126
1485174897796,1001704
1485174900831,1007312
1485174905152,1016600
1485174908186,1024861
1485174911777,1024861
1485174915608,1035440
1485174918950,1044619
1485174922375,1049411
1485174925966,1059262
1485174929486,1062899
1485174936101,1076495
1485174939141,1086050
1485174942357,1086050
1485174945719,1095823
1485174948954,1104312
1485174952127,1108883
1485174955150,1114558
1485174958835,1119782
1485174962401,1131990
1485174965546,1133663
1485174969098,1146484
1485174972479,1150095
1485174976076,1154959
1485174980815,1167715
1485174983862,1172680
1485174986886,1180586
1485174990093,1185214
1485174993705,1193893
1485174996869,1201739
1485175000793,1205114
1485175004292,1215760
1485175007330,1221882
1485175011334,1228437
1485175014942,1233564
1485175018113,1245553
1485175021777,1250242
1485175026123,1258502
1485175029405,1263494
1485175033125,1275544
1485175036909,1279572
1485175039942,1282637
1485175043740,1295063
1485175047957,1296745
1485175051368,1309514
1485175054942,1314691
1485175058922,1321168
1485175062185,1330809
1485175065525,1336265
1485175069446,1345974
1485175072458,1352763
1485175075933,1358657
1485175079392,1365121
1485175082735,1368958
1485175086931,1375497
1485175090516,1386770
1485175093598,1395168
1485175097404,1397637
1485175100635,1407705
1485175103768,1412459
1485175107454,1424575
1485175114023,1431530
1485175117850,1443884
1485175122404,1453417
1485175125421,1459143
1485175128963,1465271
1485175132574,1469968
1485175135602,1479523
1485175139506,1487235
1485175144082,1491301
1485175147101,1499615
1485175150407,1509101
1485175154320,1513176
1485175157477,1520321
1485175160958,1530785
1485175164721,1536600
1485175167751,1539170
1485175171234,1549391
1485175175114,1557236
1485175178131,1563298
1485175181497,1566789
1485175185711,1572526
1485175189309,1582233
1485175193110,1594890
1485175196857,1598544
1485175200132,1607382
1485175204150,1610161
1485175207703,1622489
1485175210726,1625796
1485175214042,1630882
