timestamp_ms,doc_values_memory_in_bytes,fixed_bit_set_memory_in_bytes,index_writer_max_memory_in_bytes,index_writer_memory_in_bytes,memory_in_bytes,norms_memory_in_bytes,stored_fields_memory_in_bytes,term_vectors_memory_in_bytes,terms_memory_in_bytes,version_map_memory_in_bytes
1485174520699,0,0,0,0,0,0,0,0,0,0
1485174523719,0,0,0,0,0,0,0,0,0,0
1485174526983,0,0,0,0,0,0,0,0,0,0
1485174530136,0,0,0,0,0,0,0,0,0,0
1485174533342,0,0,0,0,0,0,0,0,0,0
1485174536360,0,0,0,0,0,0,0,0,0,0
1485174539731,0,0,0,0,0,0,0,0,0,0
1485174542771,0,0,0,0,0,0,0,0,0,0
1485174546058,0,0,0,0,0,0,0,0,0,0
1485174549076,0,0,0,0,0,0,0,0,0,0
1485174552770,0,0,0,0,0,0,0,0,0,0
1485174556170,0,0,0,0,0,0,0,0,0,0
1485174559188,0,0,0,0,0,0,0,0,0,0
1485174562315,0,0,0,0,0,0,0,0,0,0
1485174565423,0,0,0,0,0,0,0,0,0,0
1485174568876,0,0,0,0,0,0,0,0,0,0
1485174571893,0,0,0,0,0,0,0,0,0,0
1485174574919,0,0,0,0,0,0,0,0,0,0
1485174578093,0,0,0,0,0,0,0,0,0,0
1485174581451,0,0,0,0,0,0,0,0,0,0
1485174584475,0,0,0,0,0,0,0,0,0,0
1485174587493,0,0,0,0,0,0,0,0,0,0
1485174590719,0,0,0,0,0,0,0,0,0,0
1485174594030,0,0,0,0,0,0,0,0,0,0
1485174598602,0,0,0,0,0,0,0,0,0,0
1485174601852,0,0,0,0,0,0,0,0,0,0
1485174605389,0,0,0,0,0,0,0,0,0,0
1485174608410,0,0,0,0,0,0,0,0,0,0
1485174611669,0,0,0,0,0,0,0,0,0,0
1485174614704,0,0,0,0,0,0,0,0,0,0
1485174617732,0,0,0,0,0,0,0,0,0,0
1485174620757,0,0,0,0,0,0,0,0,0,0
1485174623795,0,0,0,0,0,0,0,0,0,0
1485174626876,0,0,0,0,0,0,0,0,0,0
1485174629889,0,0,0,0,0,0,0,0,0,0
1485174633050,0,0,0,0,0,0,0,0,0,0
1485174636208,0,0,0,0,0,0,0,0,0,0
1485174639636,0,0,0,0,0,0,0,0,0,0
1485174642686,0,0,0,0,0,0,0,0,0,0
1485174645705,0,0,0,0,0,0,0,0,0,0
1485174648721,0,0,0,0,0,0,0,0,0,0
1485174651857,0,0,0,0,0,0,0,0,0,0
1485174655266,0,0,0,0,0,0,0,0,0,0
1485174658740,0,0,0,0,0,0,0,0,0,0
1485174661841,0,0,0,0,0,0,0,0,0,0
1485174664978,472,0,51943833,3822956,90699,640,1704,0,87883,564
1485174668026,1180,0,103887666,3989376,189470,1600,3736,0,182954,0
1485174671082,1508,0,69258444,0,207756,2240,4400,0,199608,0
1485174674484,1508,0,51943832,0,207756,2240,4400,0,199608,0
1485174679885,2216,0,51943832,4439076,228128,3200,5352,0,217360,4997
1485174682903,2924,0,51943832,1935324,253970,4160,6336,0,240550,1859
1485174686235,3724,0,51943832,1143912,281926,5440,7616,0,265146,2747
1485174689625,3960,0,51943832,0,288246,5760,7936,0,270590,0
1485174692783,4052,0,51943832,2779028,292768,6080,8248,0,274388,705
1485174695869,4380,0,51943832,2973916,305398,6720,8872,0,285426,0
1485174699158,4852,0,51943832,1454320,321034,7360,9504,0,299318,0
1485174702178,5088,0,51943832,0,328554,7680,9808,0,305978,0
1485174705206,5088,0,51943832,0,328554,7680,9808,0,305978,0
1485174708698,5088,0,51943832,0,328554,7680,9808,0,305978,0
1485174713681,5180,0,51943832,2118124,333962,8000,10128,0,310654,286
1485174716936,3580,0,51943832,2334508,292784,5440,7760,0,276004,0
1485174720307,3816,0,51943832,2872848,301865,5760,8072,0,284217,1555
1485174723483,4052,0,51943832,4754876,310959,6080,8400,0,292427,1132
1485174726660,4380,0,51943832,3370200,326968,6720,9024,0,306844,564
1485174729687,4708,0,51943832,4574136,340293,7360,9664,0,318561,3847
1485174733165,4944,0,51943832,1573816,348774,7680,9992,0,326158,0
1485174736254,3724,0,51943832,0,313685,5440,7936,0,296585,0
1485174739537,3724,0,51943832,0,313685,5440,7936,0,296585,0
1485174742962,3724,0,51943832,0,313685,5440,7936,0,296585,0
1485174746038,3724,0,51943832,1286048,313685,5440,7936,0,296585,141
1485174749169,4196,0,51943832,0,327691,6080,8536,0,308879,0
1485174752228,4196,0,51943832,0,327691,6080,8536,0,308879,0
1485174756092,4432,0,51943832,2285520,333012,6400,8848,0,313332,1136
1485174759215,4904,0,51943832,4123332,346596,7040,9480,0,325172,1978
1485174762268,5468,0,51943832,1106744,370180,8000,10400,0,346312,1414
1485174766065,5796,0,51943832,2044588,382378,8640,11032,0,356910,0
1485174769090,6504,0,51943832,0,400265,9600,11960,0,372201,0
1485174772696,7212,0,77915748,2167148,492457,10560,13840,0,460845,0
1485174776577,7448,0,62332599,1494760,502192,10880,14160,0,469704,427
1485174780352,7920,0,62332599,1451604,515634,11520,14760,0,481434,2157
1485174783623,8156,0,62332599,0,524352,11840,15088,0,489268,0
1485174787117,4196,0,62332599,0,409888,6080,9768,0,389844,0
1485174790555,4288,0,62332599,1563212,415302,6400,10080,0,394534,141
1485174793698,4524,0,62332599,3893404,423524,6720,10400,0,401880,4610
1485174798106,5232,0,62332599,1114380,448580,7680,11368,0,424300,846
1485174801670,5508,0,62332599,2485936,465612,8640,12312,0,439152,423
1485174805068,5928,0,62332599,3690784,486626,9600,13264,0,457834,2697
1485174808150,6636,0,62332599,2611168,511886,10560,14208,0,480482,1414
1485174811466,7344,0,62332599,0,535195,11520,15184,0,501147,0
1485174814823,7344,0,62332599,0,535195,11520,15184,0,501147,0
1485174818017,7344,0,62332599,2326008,535195,11520,15184,0,501147,1692
1485174821902,4288,0,62332599,1481596,445208,6400,10456,0,424064,0
