timestamp_ms,doc_values_memory_in_bytes,fixed_bit_set_memory_in_bytes,index_writer_max_memory_in_bytes,index_writer_memory_in_bytes,memory_in_bytes,norms_memory_in_bytes,stored_fields_memory_in_bytes,term_vectors_memory_in_bytes,terms_memory_in_bytes,version_map_memory_in_bytes
1485174277722,0,0,0,0,0,0,0,0,0,0
1485174280768,0,0,103887665,0,0,0,0,0,0,0
1485174283784,0,0,103887665,0,0,0,0,0,0,0
1485174286793,0,0,103887665,0,0,0,0,0,0,0
1485174289808,656,0,103887665,8760484,17275,1152,1248,0,14219,7658
1485174292817,2308,0,103887665,0,86165,3392,3528,0,76937,0
1485174295826,3252,0,103887665,6806716,125991,4672,4824,0,113243,6375
1485174298836,3960,0,103887665,0,157433,5632,5792,0,142049,0
1485174301843,5612,0,64929790,0,229102,7872,8096,0,207522,0
1485174304868,5612,0,103887660,0,229102,7872,8096,0,207522,0
1485174307890,6792,0,103887660,1281476,291324,9472,9808,0,265252,0
1485174310899,7028,0,103887660,0,298056,9792,10112,0,271124,0
1485174313909,7828,0,103887660,16847772,332068,11008,11400,0,301832,21867
1485174316928,9716,0,103887660,0,429702,13568,14144,0,392274,0
1485174319940,10188,0,103887660,10226800,445105,14208,14752,0,405957,9036
1485174322963,12496,0,103887660,11253188,535860,17728,18304,0,487332,10002
1485174325974,11644,0,103887660,0,534342,16832,17616,0,488250,0
1485174328984,9520,0,103887660,3383480,470606,13952,14976,0,432158,2828
1485174332012,11880,0,103887660,11243376,563436,17152,18192,0,516212,7511
1485174335058,13532,0,103887660,0,630895,19392,20440,0,577531,0
1485174338074,9716,0,103887660,0,505905,13696,15160,0,467333,0
1485174341087,11368,0,103887660,9253904,579764,15936,17504,0,534956,15551
1485174344109,13020,0,103887660,0,653391,18176,19824,0,602371,0
1485174347289,13020,0,103887660,0,653391,18176,19824,0,602371,0
1485174350352,13112,0,103887660,12129308,659922,18496,20136,0,608178,20404
1485174353375,14856,0,103887660,2580500,737260,21056,22736,0,678612,3293
1485174356391,15000,0,103887660,0,757611,21120,23032,0,698459,0
1485174359458,12876,0,103887660,0,683987,18240,20496,0,632375,0
1485174362486,12876,0,103887660,0,683987,18240,20496,0,632375,0
1485174365508,14620,0,103887660,893244,758966,20800,23080,0,700466,999
1485174368729,14476,0,103887660,4292464,768505,20800,23288,0,709941,846
1485174371879,10844,0,103887660,0,667367,15680,18680,0,622163,282
1485174374912,11080,0,103887660,5018228,673777,16000,18992,0,627705,8131
1485174377950,13152,0,103887660,4925676,757128,19200,22208,0,702568,6717
1485174381201,13532,0,103887660,2910060,767744,19520,22784,0,711908,0
1485174384300,7972,0,103887660,0,595066,11200,15224,0,560670,0
1485174387318,9388,0,103887660,0,663505,13120,17264,0,623733,0
1485174390349,10516,0,103887667,3674232,716383,15040,19176,0,671651,6256
1485174393648,9336,0,103887660,0,683740,13440,17840,0,643124,0
1485174396665,9336,0,103887660,0,683740,13440,17840,0,643124,0
1485174399714,10372,0,103887660,6755648,728602,15040,19472,0,683718,8806
1485174402762,11080,0,103887660,0,759717,16000,20472,0,712165,0
1485174405778,12024,0,103887660,7999732,790807,17280,21752,0,739751,5976
1485174408805,13296,0,103887660,1733792,839333,19136,23616,0,783285,0
1485174412456,13572,0,103887660,634340,854327,19968,24544,0,796243,2726
1485174415945,14280,0,103887660,8016864,875519,20928,25488,0,814823,6539
1485174419082,15932,0,103887660,8556544,932829,23168,27688,0,866041,5978
1485174422333,16640,0,103887660,9344756,965525,24128,28664,0,896093,7808
1485174425398,17204,0,103887660,14986860,992860,25088,29616,0,920952,11193
1485174429130,16404,0,103887660,14462176,981347,23808,28600,0,912535,13214
1485174432387,17204,0,103887660,15095372,1017918,25088,29912,0,945714,16910
1485174435567,17912,0,103887660,16824952,1050293,26048,30896,0,975437,26217
1485174438586,18948,0,103887660,15017576,1098427,27648,32536,0,1019295,14474
1485174441748,19656,0,103887660,14351460,1133734,28608,33568,0,1051902,18768
1485174444853,20456,0,103887660,14127104,1174439,29888,34896,0,1089199,11489
1485174448398,21020,0,103887660,15191996,1202767,30848,35856,0,1115043,11390
1485174451504,21492,0,103887660,16720616,1227964,31488,36544,0,1138440,18919
1485174454660,21964,0,103887660,16416088,1249506,32128,37192,0,1158222,21149
1485174457679,22672,0,103887660,16911940,1286044,33088,38200,0,1192084,24461
1485174460858,23144,0,103887660,18692592,1309826,33728,38872,0,1214082,25547
1485174463887,23616,0,103887660,20120160,1333192,34368,39552,0,1235656,22643
1485174468491,22960,0,103887660,19018128,1321634,33088,38656,0,1226930,20464
1485174471546,23432,0,103887660,19881008,1349537,33728,39376,0,1253001,23636
