timestamp_ms,doc_values_memory_in_bytes,fixed_bit_set_memory_in_bytes,index_writer_max_memory_in_bytes,index_writer_memory_in_bytes,memory_in_bytes,norms_memory_in_bytes,stored_fields_memory_in_bytes,term_vectors_memory_in_bytes,terms_memory_in_bytes,version_map_memory_in_bytes
1485174344113,0,0,0,0,0,0,0,0,0,0
1485174347294,0,0,0,0,0,0,0,0,0,0
1485174350355,472,0,51943832,0,51131,640,984,0,49035,0
1485174353377,1036,0,51943832,2841216,77745,1600,1968,0,73141,3825
1485174356394,2216,0,69258444,0,161951,3200,3920,0,152615,0
1485174359463,2216,0,69258444,0,161951,3200,3920,0,152615,0
1485174362487,2688,0,89046570,0,239070,3840,5360,0,227182,0
1485174365510,3960,0,77915748,9186988,278046,5760,7240,0,261086,9833
1485174368731,5140,0,77915748,0,328864,7360,8864,0,307500,141
1485174371882,6084,0,90901706,0,400022,8640,10552,0,374746,141
1485174374914,6556,0,83110128,0,456332,9280,11672,0,428824,141
1485174377979,7972,0,83110128,6547908,504626,11200,13568,0,471886,6806
1485174381289,9388,0,83110128,1737532,563348,13120,15488,0,525352,2699
1485174384302,11604,0,103887660,0,737465,16320,19776,0,689765,0
1485174387324,12640,0,103887660,8030784,784221,17920,21416,0,732245,11791
1485174390400,14056,0,103887660,10863680,837186,19840,23344,0,779946,7918
1485174393649,16036,0,105423660,0,910454,22720,26200,0,845498,0
1485174396667,16036,0,105423660,0,910454,22720,26200,0,845498,0
1485174399716,16272,0,105423660,5585312,919187,23040,26536,0,853339,8272
1485174402762,18160,0,105423660,2676316,987093,25600,29096,0,914237,1414
1485174405789,18632,0,105423660,1551244,1001440,26240,29720,0,926848,572
1485174408806,18868,0,105423660,10962560,1008259,26560,30040,0,932791,10788
1485174412456,19812,0,105423660,8483792,1042041,27840,31320,0,963069,6383
1485174415947,20612,0,104911667,6206068,1079520,29120,32584,0,997204,3252
1485174419090,21176,0,103887660,10319036,1099205,30080,33504,0,1014445,11650
1485174422342,21884,0,103887660,13763008,1130355,31040,34504,0,1042927,17206
1485174425418,22356,0,103887660,14622440,1149514,31680,35120,0,1060358,16076
1485174429186,21268,0,103887660,11710524,1132459,30336,34184,0,1046671,15648
1485174432390,18344,0,103887660,14720204,1041828,26176,30592,0,966716,12323
1485174435569,14804,0,103887660,15765264,952230,21376,26392,0,889658,12059
1485174438697,15276,0,103887660,20251380,975409,22016,27064,0,911053,25186
1485174441751,16312,0,103887660,16043928,1027769,23616,28704,0,959137,23932
1485174444857,17020,0,103887660,16856032,1056847,24576,29696,0,985555,22508
1485174448401,17728,0,103887660,17997460,1090292,25536,30728,0,1016300,17497
1485174451504,18200,0,103887660,18995224,1115740,26176,31432,0,1039932,21219
1485174454662,18908,0,103887660,20170968,1147564,27136,32440,0,1069080,21934
1485174457844,19380,0,103887660,21876284,1173187,27776,33144,0,1092887,26742
1485174460859,18344,0,103887660,20590096,1147702,26176,31880,0,1071302,28200
1485174463889,16980,0,103887660,25335672,1102383,23936,29928,0,1031539,37070
1485174468474,17924,0,103887660,23713416,1150577,25216,31304,0,1076133,37315
1485174471559,17124,0,103887660,15959780,1137224,23936,30336,0,1065828,19364
1485174474578,17596,0,103887660,18303392,1162175,24576,31040,0,1088963,23342
1485174477601,16560,0,103887660,18013792,1141521,22976,29768,0,1072217,20931
1485174480641,16796,0,103887660,18424212,1153861,23296,30112,0,1083657,28138
1485174483691,17504,0,103887660,20892280,1192043,24256,31144,0,1119139,19461
1485174486733,17976,0,103887660,22710556,1214285,24896,31816,0,1139597,25955
1485174489762,18684,0,103887660,21854756,1252163,25856,32872,0,1174751,32555
1485174492815,19156,0,103887660,23564108,1276155,26496,33568,0,1196935,39697
1485174495843,20100,0,103887660,22684112,1324996,27776,34976,0,1242144,30192
1485174499186,20808,0,103887660,22204336,1359181,28736,36008,0,1273629,27695
1485174502302,21752,0,103887660,18982804,1405200,30016,37352,0,1316080,21733
1485174505436,22460,0,103887660,22384780,1436503,30976,38328,0,1344739,24093
1485174508452,23168,0,103887660,21526704,1476473,31936,39408,0,1381961,25207
1485174511636,21752,0,103887660,22365560,1426030,30016,37864,0,1336398,26045
1485174514665,22460,0,103887660,23350988,1459577,30976,38888,0,1367253,27056
1485174517676,23640,0,103887660,19575708,1514395,32576,40552,0,1417627,25350
1485174520691,24112,0,103887660,21818184,1536091,33216,41216,0,1437547,29803
1485174523716,24584,0,103887660,24725600,1560834,33856,41896,0,1460498,36037
1485174526980,25528,0,103887660,20837544,1608390,35136,43240,0,1504486,32907
1485174530133,26000,0,103887660,22333964,1630895,35776,43896,0,1525223,33229
1485174533340,26472,0,103887660,23202996,1656107,36416,44560,0,1548659,37180
1485174536355,26944,0,103887660,23670104,1681267,37056,45272,0,1571995,38818
1485174539697,27652,0,103887660,24037700,1714492,38016,46280,0,1602544,43016
1485174542769,27888,0,103887660,27607736,1726098,38336,46616,0,1613258,42108
1485174546007,28596,0,103887660,24138240,1764875,39296,47648,0,1649335,40845
1485174549075,29068,0,103887660,24085656,1789769,39936,48352,0,1672413,37848
1485174552813,29540,0,103887660,25027164,1814154,40576,49048,0,1694990,38851
1485174556168,30012,0,103887660,25320892,1837521,41216,49736,0,1716557,38140
1485174559298,30484,0,103887660,26015224,1861531,41856,50432,0,1738759,39423
1485174562313,30956,0,103887660,26103616,1885641,42496,51104,0,1761085,40424
1485174565536,31428,0,103887660,27406436,1909947,43136,51800,0,1783583,41703
1485174568871,32136,0,103887660,25546004,1943430,44096,52824,0,1814374,32875
1485174571890,32608,0,103887660,24933372,1971064,44736,53528,0,1840192,32758
1485174574977,32844,0,103887660,25140260,1983227,45056,53872,0,1851455,40996
1485174578094,33552,0,103887660,27406776,2017653,46016,54848,0,1883237,42899
1485174581448,34024,0,103887660,28761284,2043528,46656,55552,0,1907296,47713
