timestamp_ms,size_in_bytes
1485174344113,0
1485174347294,0
1485174350355,4934809
1485174353377,6442343
1485174356394,11862797
1485174359463,11862797
1485174362487,21802159
1485174365510,24689546
1485174368731,25331769
1485174371882,31361572
1485174374914,37365904
1485174377979,40156303
1485174381289,41696032
1485174384302,57219003
1485174387324,60376917
1485174390400,62816310
1485174393649,63577279
1485174396667,63577279
1485174399716,64733536
1485174402762,66733213
1485174405789,66906837
1485174408806,68893732
1485174412456,69903473
1485174415947,70941546
1485174419090,72244604
1485174422342,74185475
1485174425418,75328464
1485174429186,76898098
1485174432390,79207680
1485174435569,81179083
1485174438697,83302975
1485174441751,85096168
1485174444857,86857072
1485174448401,88664529
1485174451504,90379650
1485174454662,92086694
1485174457844,93812317
1485174460859,95581207
1485174463889,97429601
1485174468474,99578456
1485174471559,100853387
1485174474578,102846786
1485174477601,105036348
1485174480641,106825287
1485174483691,108411310
1485174486733,110168011
1485174489762,111868845
1485174492815,114035142
1485174495843,115931662
1485174499186,117736046
1485174502302,119422513
1485174505436,121785203
1485174508452,123735463
1485174511636,125937107
1485174514665,127854471
1485174517676,129947513
1485174520691,131379401
1485174523716,133308790
1485174526980,135269685
1485174530133,136511512
1485174533340,138139671
1485174536355,139627994
1485174539697,141383962
1485174542769,142696890
1485174546007,144139262
1485174549075,145557062
1485174552813,146970192
1485174556168,148321647
1485174559298,149688176
1485174562313,151193702
1485174565536,152748658
1485174568871,154033762
1485174571890,155583777
1485174574977,157180066
1485174578094,158613145
1485174581448,160244397
1485174584473,161379072
1485174587493,162918856
1485174590716,164554949
1485174594007,165873113
1485174598583,167431878
1485174601975,169516469
1485174605387,171374335
1485174608408,173185611
1485174611664,175155999
1485174614702,176395297
1485174617730,178017391
1485174620756,179691032
1485174623792,180913477
1485174626812,182128378
1485174629987,183394027
1485174633047,184491426
1485174636206,185373536
1485174639362,186314474
1485174642685,187892420
1485174645703,189437435
1485174648723,191007564
1485174651854,192172910
1485174655264,194124163
1485174658739,196088691
1485174661839,197459078
1485174664934,185650101
1485174668024,187103386
1485174671213,188848368
1485174674483,190856590
1485174679868,194233100
1485174682977,196400039
1485174686185,198346165
1485174689615,200890820
1485174692781,203129681
1485174695867,204575382
1485174699156,205647238
1485174702180,207366402
1485174705205,209172013
1485174708696,211892527
1485174713765,214425966
1485174716973,216087359
1485174720305,217346045
1485174723481,218508327
1485174726556,219612230
1485174729684,221477563
1485174733091,223212131
1485174736257,224736389
1485174739529,226711196
1485174742960,228392087
1485174746101,230031894
1485174749166,231256780
1485174752294,233195213
1485174756089,234494700
1485174759117,235355576
1485174762265,236600236
1485174765970,238374173
1485174769143,240015614
1485174772679,229225140
1485174776577,230723444
1485174780349,231518445
1485174783621,233058074
1485174787119,234431031
1485174790553,236338175
1485174793812,237813433
1485174798084,239994976
1485174801669,242036657
1485174805032,243589462
1485174808235,245533292
1485174811463,247083371
1485174814822,248156989
1485174818025,249419802
1485174822001,251169031
1485174825027,252978792
1485174828190,254657038
1485174831274,256132452
1485174834511,257724571
1485174837675,259390831
1485174840952,260589040
1485174844198,261937620
1485174848502,263410142
1485174851918,263747801
1485174854937,265222726
1485174858676,266611049
1485174861883,267368161
1485174864921,268678810
1485174868171,270002560
1485174872793,271405984
1485174875915,272470630
1485174879373,273994797
1485174883230,275604406
1485174886559,276768039
1485174890032,278168515
1485174894715,279952398
1485174897796,281159103
1485174900831,282283037
1485174905152,283517767
1485174908186,284742295
1485174911777,286477816
1485174915608,287980069
1485174918950,289431370
1485174922375,291030131
1485174925966,292463328
1485174929486,293782492
1485174936101,296109539
1485174939141,297306701
1485174942357,298253166
1485174945719,299826239
1485174948954,301259764
1485174952127,302591427
1485174955150,303962633
1485174958835,305509952
1485174962401,306708858
1485174965546,308434601
1485174969098,310212510
1485174972479,311781522
1485174976076,313521565
1485174980815,315346512
1485174983862,316435780
1485174986886,317681599
1485174990093,319354911
1485174993705,321075390
1485174996869,322466178
1485175000793,324222786
1485175004292,325489267
1485175007330,327093976
1485175011334,328915709
1485175014942,330622981
1485175018113,331956254
1485175021777,334020894
1485175026123,336285471
1485175029405,337699941
1485175033125,339254392
1485175036909,340403111
1485175039942,341721689
1485175043740,343327693
1485175047957,344739420
1485175051368,346035630
1485175054942,347733609
1485175058922,349439213
1485175062185,350345112
1485175065525,352195614
1485175069446,353607233
1485175072458,354788846
1485175075933,356275228
1485175079392,357543184
1485175082735,359042140
1485175086931,360654732
1485175090516,362453847
1485175093598,363885599
1485175097404,365632692
1485175100635,367053640
1485175103768,368365262
1485175107454,370204834
1485175114023,372566876
1485175117850,374434311
1485175122404,376247376
1485175125421,378095325
1485175128963,379959782
1485175132574,381807336
1485175135602,383457752
1485175139506,385356632
1485175144082,386808205
1485175147101,388388260
1485175150407,389667567
1485175154320,391377351
