timestamp_ms,total
1485174277722,0
1485174280768,10
1485174283784,10
1485174286793,10
1485174289808,18
1485174292817,32
1485174295826,40
1485174298836,46
1485174301843,60
1485174304868,70
1485174307890,80
1485174310899,82
1485174313909,90
1485174316928,106
1485174319940,110
1485174322963,132
1485174325974,148
1485174328984,149
1485174332012,169
1485174335058,186
1485174338074,188
1485174341087,202
1485174344109,216
1485174347289,216
1485174350352,218
1485174353375,235
1485174356391,255
1485174359458,258
1485174362486,258
1485174365508,276
1485174368729,296
1485174371879,304
1485174374912,306
1485174377950,326
1485174381201,349
1485174384300,358
1485174387318,370
1485174390349,388
1485174393648,405
1485174396665,405
1485174399714,415
1485174402762,421
1485174405778,429
1485174408805,442
1485174412456,448
1485174415945,454
1485174419082,468
1485174422333,475
1485174425398,481
1485174429130,491
1485174432387,499
1485174435567,505
1485174438586,516
1485174441748,522
1485174444853,530
1485174448398,537
1485174451504,541
1485174454660,545
1485174457679,551
1485174460858,556
1485174463887,561
1485174468491,572
1485174471546,577
1485174474576,583
1485174477598,588
1485174480615,594
1485174483688,600
1485174486731,605
1485174489761,609
1485174492814,615
1485174495842,620
1485174499167,628
1485174502252,636
1485174505434,640
1485174508451,647
1485174511634,651
1485174514650,657
1485174517673,663
1485174520689,667
1485174523714,673
1485174526976,675
1485174530128,683
1485174533337,687
1485174536354,691
1485174539693,695
1485174542762,697
1485174546004,704
1485174549071,708
1485174552695,713
1485174556165,715
1485174559183,719
1485174562311,723
1485174565421,728
1485174568869,732
1485174571888,737
1485174574918,739
1485174578089,741
1485174581442,746
1485174584471,750
1485174587491,750
1485174590715,754
1485174594006,754
1485174598576,760
1485174601851,764
1485174605383,768
1485174608406,770
1485174611662,774
1485174614698,776
1485174617727,780
1485174620754,783
1485174623790,785
1485174626809,789
1485174629889,789
1485174633045,793
1485174636204,794
1485174639278,799
1485174642683,801
1485174645701,805
1485174648720,809
1485174651853,811
1485174655263,813
1485174658738,815
1485174661838,819
1485174664932,823
1485174668022,831
1485174671081,774
1485174674479,780
1485174679862,784
1485174682900,788
1485174686191,794
1485174689597,798
1485174692778,800
1485174695866,804
1485174699155,806
1485174702176,810
1485174705202,815
1485174708694,817
1485174713681,823
1485174716914,828
1485174720304,832
1485174723478,836
1485174726554,838
1485174729679,841
1485174733087,843
1485174736250,847
1485174739426,851
1485174742959,855
1485174746037,857
1485174749165,859
1485174752226,861
1485174756088,865
1485174759115,868
1485174762259,873
1485174765956,877
1485174769080,877
1485174772687,883
1485174776564,887
1485174780348,889
1485174783626,893
1485174787115,895
1485174790551,899
1485174793698,901
1485174798049,906
1485174801669,912
1485174804960,912
1485174808148,916
1485174811460,922
1485174814805,924
1485174818014,928
1485174821888,930
1485174825014,934
1485174828099,938
1485174831272,940
1485174834472,944
1485174837635,946
1485174840950,948
1485174843970,950
1485174848278,956
1485174851839,960
1485174854936,962
1485174858674,871
1485174861871,873
1485174864920,875
1485174868159,877
1485174872792,882
1485174875914,882
1485174879371,886
1485174883217,888
1485174886542,888
1485174890023,892
1485174894711,894
1485174897794,897
1485174900828,900
1485174904663,905
1485174908169,907
1485174911763,867
1485174915603,869
1485174918944,871
1485174922373,873
1485174925965,877
1485174929385,881
1485174936095,883
1485174939139,885
1485174942356,888
1485174945671,890
1485174948952,893
1485174952124,897
1485174955148,899
1485174958790,901
1485174962399,903
1485174965545,907
1485174969096,909
1485174972478,911
1485174976074,915
1485174980812,915
1485174983860,919
1485174986884,921
1485174990090,923
1485174993704,925
1485174996842,927
1485175000791,929
1485175004284,933
1485175007328,937
1485175010822,937
1485175014934,941
1485175018107,943
1485175021750,945
1485175026123,951
1485175029232,955
1485175033074,957
1485175036845,960
1485175039930,963
1485175043737,965
1485175047951,969
1485175051366,969
1485175054940,969
1485175058920,973
1485175062181,975
1485175065477,977
1485175069435,981
1485175072457,983
1485175075933,985
1485175079390,989
1485175082728,989
1485175086789,995
1485175090253,997
1485175093598,1001
1485175097400,1003
1485175100633,1007
1485175103767,1007
1485175107453,1011
