timestamp_ms,total_time_in_millis
1485174520699,0
1485174523719,0
1485174526983,0
1485174530136,0
1485174533342,0
1485174536360,0
1485174539731,0
1485174542771,0
1485174546058,0
1485174549076,0
1485174552770,0
1485174556170,0
1485174559188,0
1485174562315,0
1485174565423,0
1485174568876,0
1485174571893,0
1485174574919,0
1485174578093,0
1485174581451,0
1485174584475,0
1485174587493,0
1485174590719,0
1485174594030,0
1485174598602,0
1485174601852,0
1485174605389,0
1485174608410,0
1485174611669,0
1485174614704,0
1485174617732,0
1485174620757,0
1485174623795,0
1485174626876,0
1485174629889,0
1485174633050,0
1485174636208,0
1485174639636,0
1485174642686,0
1485174645705,0
1485174648721,0
1485174651857,0
1485174655266,0
1485174658740,0
1485174661841,0
1485174664978,59
1485174668026,161
1485174671082,162
1485174674484,162
1485174679885,192
1485174682903,193
1485174686235,196
1485174689625,241
1485174692783,246
1485174695869,247
1485174699158,248
1485174702178,252
1485174705206,252
1485174708698,252
1485174713681,253
1485174716936,268
1485174720307,269
1485174723483,272
1485174726660,282
1485174729687,366
1485174733165,366
1485174736254,368
1485174739537,368
1485174742962,368
1485174746038,368
1485174749169,370
1485174752228,370
1485174756092,373
1485174759215,374
1485174762268,381
1485174766065,381
1485174769090,396
1485174772696,406
1485174776577,406
1485174780352,407
1485174783623,407
1485174787117,408
1485174790555,474
1485174793698,477
1485174798106,485
1485174801670,487
1485174805068,511
1485174808150,513
1485174811466,514
1485174814823,514
1485174818017,514
1485174821902,565
1485174825042,567
1485174828259,567
1485174831276,593
1485174834473,594
1485174837636,654
1485174840954,692
1485174843971,692
1485174848281,708
1485174851841,763
1485174854942,763
1485174858748,765
1485174861875,765
1485174864924,766
1485174868167,867
1485174872795,874
1485174875920,874
1485174879375,1024
1485174883238,1025
1485174886569,1030
1485174890032,1030
1485174894754,1030
1485174897799,1030
1485174900834,1142
1485174904664,1142
1485174908204,1457
1485174911787,1458
1485174915605,1459
1485174918947,1588
1485174922376,1588
1485174926025,1629
1485174929386,1633
1485174936104,1807
1485174939150,1891
1485174942359,2138
1485174945932,2138
1485174948956,2233
1485174952129,2233
1485174955152,2234
1485174958791,2234
1485174962402,2235
1485174965793,2350
1485174969099,2382
1485174972614,2417
1485174976223,2417
1485174980822,2438
1485174983864,2439
1485174986888,2439
1485174990096,2439
1485174993706,2514
1485174997079,2514
1485175000833,2527
1485175004294,2528
1485175007333,2528
1485175010824,2528
1485175014986,2528
1485175018116,2539
1485175021760,2539
1485175026138,2561
1485175029797,2562
1485175033076,2762
1485175036847,2779
1485175040062,2782
1485175043746,3040
1485175047965,3154
1485175051585,3192
1485175054942,3193
1485175059065,3193
1485175062182,3263
1485175065478,3266
1485175069448,3360
1485175072464,3362
1485175075945,3367
1485175079395,3368
1485175082739,3392
1485175086791,3395
1485175090254,3395
1485175093600,3501
1485175097402,3502
1485175100754,3502
1485175103771,3504
1485175107457,3514
1485175114025,3651
1485175117850,3674
1485175122406,3827
1485175125424,3860
1485175128852,4018
1485175132576,4018
1485175135605,4018
1485175139538,4019
1485175144084,4026
1485175147104,4039
1485175150326,4040
1485175154325,4045
1485175157480,4056
1485175161089,4126
1485175164723,4127
1485175167754,4127
1485175171235,4127
1485175175064,4142
1485175178238,4222
1485175181500,4223
1485175185712,4246
1485175189313,4246
1485175193113,4291
1485175196858,4319
1485175200350,4320
1485175204065,4330
1485175207706,4330
1485175210728,4330
1485175214045,4330
1485175217205,4331
1485175220860,4332
1485175224615,4347
1485175228161,4366
1485175231592,4367
1485175235497,4373
1485175238943,4387
1485175242713,4480
1485175246105,4481
1485175249699,4489
1485175253127,4505
1485175256808,4516
1485175260253,4553
1485175264685,4710
1485175268118,4714
1485175271136,4714
1485175274781,4760
1485175278958,4761
1485175282074,4767
1485175286345,4983
1485175290086,4984
1485175293156,5028
1485175296651,5090
1485175300792,5099
1485175303819,5173
1485175307376,5178
1485175310693,5258
1485175314031,5258
1485175318151,5329
1485175321418,5330
1485175324439,5340
1485175327905,5343
1485175331309,5424
1485175334487,5425
1485175338508,5425
1485175341831,5466
1485175345074,5473
1485175348974,5475
1485175352842,5518
1485175356226,5615
1485175359492,5619
1485175362691,5716
1485175366013,5717
1485175369081,5717
1485175373113,5718
1485175377082,5718
1485175380238,5744
1485175383767,5744
1485175387468,5778
1485175391144,5785
1485175394521,5786
1485175398145,5819
1485175401239,5819
1485175404825,5997
1485175408399,6012
1485175411417,6016
1485175414480,6030
1485175417659,6052
1485175420920,6118
1485175423997,6122
1485175427014,6124
1485175430204,6140
1485175433408,6157
1485175436562,6227
1485175439757,6234
1485175442885,6260
1485175446250,6265
1485175449267,6265
1485175452308,6269
1485175455434,6269
1485175458589,6282
1485175461609,6282
1485175464625,6282
1485175467669,6282
1485175470795,6283
1485175473811,6283
1485175476824,6283
