timestamp_ms,total_time_in_millis
1485174277722,0
1485174280768,39
1485174283784,39
1485174286793,39
1485174289808,52
1485174292817,54
1485174295826,61
1485174298836,67
1485174301843,70
1485174304868,70
1485174307890,75
1485174310899,75
1485174313909,91
1485174316928,105
1485174319940,113
1485174322963,134
1485174325974,189
1485174328984,189
1485174332012,260
1485174335058,290
1485174338074,290
1485174341087,299
1485174344109,306
1485174347289,306
1485174350352,331
1485174353375,355
1485174356391,411
1485174359458,411
1485174362486,411
1485174365508,452
1485174368729,495
1485174371879,518
1485174374912,532
1485174377950,535
1485174381201,555
1485174384300,555
1485174387318,557
1485174390349,589
1485174393648,598
1485174396665,598
1485174399714,615
1485174402762,620
1485174405778,718
1485174408805,722
1485174412456,722
1485174415945,817
1485174419082,856
1485174422333,885
1485174425398,886
1485174429130,925
1485174432387,953
1485174435567,954
1485174438586,998
1485174441748,998
1485174444853,1020
1485174448398,1051
1485174451504,1109
1485174454660,1143
1485174457679,1154
1485174460858,1155
1485174463887,1220
1485174468491,1255
1485174471546,1272
1485174474576,1300
1485174477598,1301
1485174480615,1328
1485174483688,1449
1485174486731,1455
1485174489761,1456
1485174492814,1477
1485174495842,1497
1485174499167,1497
1485174502252,1497
1485174505434,1528
1485174508451,1529
1485174511634,1541
1485174514650,1541
1485174517673,1542
1485174520689,1543
1485174523714,1633
1485174526976,1633
1485174530128,1633
1485174533337,1640
1485174536354,1641
1485174539693,1641
1485174542762,1641
1485174546004,1655
1485174549071,1656
1485174552695,1836
1485174556165,1848
1485174559183,1848
1485174562311,1856
1485174565421,1860
1485174568869,1940
1485174571888,1976
1485174574918,1976
1485174578089,1976
1485174581442,1976
1485174584471,2042
1485174587491,2042
1485174590715,2077
1485174594006,2077
1485174598576,2085
1485174601851,2087
1485174605383,2222
1485174608406,2225
1485174611662,2275
1485174614698,2276
1485174617727,2288
1485174620754,2288
1485174623790,2288
1485174626809,2303
1485174629889,2303
1485174633045,2305
1485174636204,2305
1485174639278,2305
1485174642683,2305
1485174645701,2344
1485174648720,2344
1485174651853,2477
1485174655263,2478
1485174658738,2482
1485174661838,2483
1485174664932,2484
1485174668022,2513
1485174671081,2435
1485174674479,2437
1485174679862,2441
1485174682900,2441
1485174686191,2459
1485174689597,2460
1485174692778,2460
1485174695866,2533
1485174699155,2533
1485174702176,2533
1485174705202,2657
1485174708694,2658
1485174713681,2664
1485174716914,2719
1485174720304,2770
1485174723478,2770
1485174726554,2784
1485174729679,2784
1485174733087,2784
1485174736250,2784
1485174739426,2801
1485174742959,2802
1485174746037,2805
1485174749165,2805
1485174752226,2805
1485174756088,2805
