timestamp_ms,total_capacity_in_bytes,used_in_bytes
1485174520456,5775988,5775988
1485174523619,6824564,6824564
1485174527116,7348852,7348852
1485174530139,7873660,7873660
1485174533324,7889784,7889784
1485174536326,7899607,7899607
1485174539733,7899607,7899607
1485174542772,7899607,7899607
1485174546059,7906168,7906168
1485174549077,7922552,7922552
1485174552771,7922552,7922552
1485174556114,7922552,7922552
1485174559132,7922552,7922552
1485174562316,7922552,7922552
1485174565416,7922552,7922552
1485174568743,7930744,7930744
1485174571769,7938936,7938936
1485174574920,7938936,7938936
1485174578098,7938936,7938936
1485174581386,7938936,7938936
1485174584476,7938936,7938936
1485174587494,7938936,7938936
1485174590721,7938936,7938936
1485174593964,7938936,7938936
1485174598604,7938936,7938936
1485174601860,7938936,7938936
1485174605390,7938936,7938936
1485174608410,7938936,7938936
1485174611673,7938936,7938936
1485174614707,7938936,7938936
1485174617733,7938936,7938936
1485174620758,7938936,7938936
1485174622971,7938936,7938936
1485174626479,7938936,7938936
1485174629868,7946998,7946998
1485174633051,7946998,7946998
1485174636196,7946998,7946998
1485174639671,7946998,7946998
1485174642687,7938806,7938806
1485174645706,7938806,7938806
1485174647965,7938806,7938806
1485174650987,7938806,7938806
1485174655267,7946998,7946998
1485174658743,7946998,7946998
1485174661842,7963382,7963382
1485174665012,9027714,9027714
1485174668069,9572149,9572149
1485174671177,9592962,9592962
1485174674502,9601024,9601024
1485174679394,9601024,9601024
1485174682490,9949029,9949029
1485174685600,10156238,10156238
1485174689029,10156238,10156238
1485174692466,10156238,10156238
1485174695560,10359282,10359282
1485174698603,10367474,10367474
1485174702094,10367474,10367474
1485174705213,10367474,10367474
1485174708719,10367474,10367474
1485174712915,10367474,10367474
1485174715989,10367474,10367474
1485174720337,10383858,10383858
1485174722780,10383858,10383858
1485174725795,10383858,10383858
1485174728809,10383858,10383858
1485174732424,10523243,10523243
1485174735587,10506859,10506859
1485174738646,10506859,10506859
1485174742964,10506859,10506859
1485174745455,10506859,10506859
1485174748472,10515051,10515051
1485174751486,10515051,10515051
1485174756099,10523243,10523243
1485174759219,10523243,10523243
1485174761315,10531435,10531435
1485174766069,10547819,10547819
1485174769128,10556011,10556011
1485174772856,10564203,10564203
1485174776579,10564203,10564203
1485174780364,10547819,10547819
1485174783823,10547819,10547819
1485174787124,10547819,10547819
1485174790588,10547819,10547819
1485174793719,10547819,10547819
1485174798109,10547819,10547819
1485174801694,10547819,10547819
1485174805114,10622351,10622351
1485174808159,10622351,10622351
1485174811468,10622351,10622351
1485174814941,10605967,10605967
1485174818181,10605967,10605967
1485174821950,10622351,10622351
1485174825073,10622351,10622351
1485174828260,10622351,10622351
1485174830898,10622351,10622351
1485174834486,10622351,10622351
1485174837664,10622351,10622351
1485174840772,10666877,10666877
1485174843855,10666877,10666877
1485174848284,10634109,10634109
1485174851725,10634109,10634109
1485174854927,10634109,10634109
1485174858407,10634109,10634109
1485174861878,10634109,10634109
1485174864925,10634109,10634109
1485174868182,10653649,10653649
1485174872906,10653649,10653649
1485174875931,10653649,10653649
1485174879381,10661841,10661841
1485174883507,10661841,10661841
1485174886523,10686417,10686417
1485174890044,10702801,10702801
1485174893990,10710993,10710993
1485174897277,10661841,10661841
1485174901011,10661841,10661841
1485174904881,10661841,10661841
1485174908185,11186129,11186129
1485174911792,11186129,11186129
1485174915568,11202513,11202513
1485174918962,11202513,11202513
1485174922364,11202513,11202513
1485174925400,11202513,11202513
1485174928612,11202513,11202513
1485174936128,11219921,11219921
1485174939237,11235281,11235281
1485174942249,11251665,11251665
1485174945559,11218897,11218897
1485174948891,11218897,11218897
1485174952086,11218897,11218897
1485174955189,11218897,11218897
1485174958666,11218897,11218897
1485174962487,11218897,11218897
1485174965736,11218897,11218897
1485174969177,11218897,11218897
1485174972874,11235281,11235281
1485174976227,11243473,11243473
1485174980848,11202513,11202513
1485174983480,11218897,11218897
1485174986973,11235281,11235281
1485174990040,11251665,11251665
1485174993741,11251665,11251665
1485174997085,11259857,11259857
1485175000114,11268049,11268049
1485175004231,11268049,11268049
1485175007462,11169745,11169745
1485175010487,11169745,11169745
