timestamp_ms,total_capacity_in_bytes,used_in_bytes
1485174277484,3154029,3154029
1485174280537,4203266,4203266
1485174283548,4727554,4727554
1485174286555,5776130,5776130
1485174289564,5842031,5842031
1485174292621,5833839,5833839
1485174295627,5833846,5833846
1485174298634,5833846,5833846
1485174301640,5850236,5850236
1485174304649,5850236,5850236
1485174307659,5850236,5850236
1485174310666,5850236,5850236
1485174313717,5850236,5850236
1485174316736,5850106,5850106
1485174319772,5850106,5850106
1485174322800,5866490,5866490
1485174325813,5882874,5882874
1485174328834,5882874,5882874
1485174331855,5866490,5866490
1485174334875,5882614,5882614
1485174337890,6406902,6406902
1485174340901,6931190,6931190
1485174343920,13665233,13665233
1485174346947,13681627,13681627
1485174349973,14211755,14211755
1485174353028,15016396,15016396
1485174356048,15032780,15032780
1485174359155,15053160,15053160
1485174362226,15054394,15054394
1485174365249,15194582,15194582
1485174368303,15145430,15145430
1485174371585,15150268,15150268
1485174374607,15150268,15150268
1485174377663,15240677,15240677
1485174380681,15265253,15265253
1485174383723,15283098,15283098
1485174386776,15283098,15283098
1485174389939,15199171,15199171
1485174392953,15215945,15215945
1485174395969,15215945,15215945
1485174398994,15199561,15199561
1485174402038,15199561,15199561
1485174405233,15199561,15199561
1485174408304,15207753,15207753
1485174412851,15215945,15215945
1485174415962,15215945,15215945
1485174419274,15767868,15767868
1485174422217,15767868,15767868
1485174425400,15734840,15734840
1485174429133,15887132,15887132
1485174432062,15887132,15887132
1485174435575,15895324,15895324
1485174438045,15903516,15903516
1485174441361,15911708,15911708
1485174445371,15919900,15919900
1485174448218,15903516,15903516
1485174450509,15911708,15911708
1485174454664,15919900,15919900
1485174457412,15928092,15928092
1485174460862,15928092,15928092
1485174464016,15927962,15927962
1485174467689,15944346,15944346
1485174470746,15944346,15944346
1485174474453,15961366,15961366
1485174477603,15961366,15961366
1485174480632,15920406,15920406
1485174483711,15920406,15920406
1485174486725,15928598,15928598
1485174489741,15928598,15928598
1485174492011,15928598,15928598
1485174495861,15928598,15928598
1485174499221,15895830,15895830
1485174502233,15895830,15895830
1485174505439,15895830,15895830
1485174508473,15895830,15895830
1485174511521,15895830,15895830
1485174514537,15879446,15879446
1485174517267,15879446,15879446
1485174520361,15887638,15887638
1485174523582,15895830,15895830
1485174527003,15895830,15895830
1485174530131,16354802,16354802
1485174533328,16354802,16354802
1485174536340,16362994,16362994
1485174539735,16362994,16362994
1485174542764,16372558,16372558
1485174546011,16431139,16431139
1485174549227,16455715,16455715
1485174552697,16464379,16464379
1485174556116,16496580,16496580
1485174559135,16499580,16499580
1485174562378,16499580,16499580
1485174565400,16499580,16499580
1485174568744,16743623,16743623
