timestamp_ms,total_capacity_in_bytes,used_in_bytes
1485174343923,7889524,7889524
1485174346962,7889524,7889524
1485174349973,9478772,9478772
1485174353030,9536116,9536116
1485174356044,9536116,9536116
1485174359189,9536116,9536116
1485174362225,9544308,9544308
1485174365248,9560692,9560692
1485174368308,9560692,9560692
1485174371583,9585268,9585268
1485174374604,9593460,9593460
1485174377660,9593460,9593460
1485174380684,9601652,9601652
1485174383731,9601652,9601652
1485174386867,9601652,9601652
1485174389940,9601652,9601652
1485174392950,9601912,9601912
1485174395972,9601912,9601912
1485174398992,9601912,9601912
1485174402040,9626488,9626488
1485174405250,9675640,9675640
1485174408300,9683832,9683832
1485174412607,9683832,9683832
1485174416072,9683832,9683832
1485174419098,10157871,10157871
1485174422386,10682159,10682159
1485174425421,10682159,10682159
1485174429191,10682159,10682159
1485174432073,10698543,10698543
1485174435575,10996520,10996520
1485174438057,10996520,10996520
1485174441359,10849064,10849064
1485174444890,10890024,10890024
1485174448274,10890024,10890024
1485174451563,10890024,10890024
1485174454666,10959410,10959410
1485174457217,10959410,10959410
1485174460880,10959410,10959410
1485174464640,10926382,10926382
1485174467687,10926382,10926382
1485174470745,10926382,10926382
1485174474498,10934574,10934574
1485174477604,10942766,10942766
1485174480666,10942766,10942766
1485174483699,10985057,10985057
1485174485745,10985057,10985057
1485174489740,10985057,10985057
1485174491999,10985057,10985057
1485174495857,10985057,10985057
1485174499179,10985057,10985057
1485174502275,10985057,10985057
1485174505438,10985057,10985057
1485174508475,10968673,10968673
1485174511519,11009469,11009469
1485174514533,11009469,11009469
1485174517263,11009469,11009469
1485174520362,11009469,11009469
1485174523584,11009469,11009469
1485174526982,11009469,11009469
1485174530137,11009469,11009469
1485174533322,11009469,11009469
1485174536344,11009469,11009469
1485174539750,11017661,11017661
1485174542774,11017661,11017661
1485174546012,11025853,11025853
1485174549230,11042237,11042237
1485174552822,11058621,11058621
1485174556112,11058621,11058621
1485174559130,11058621,11058621
1485174562323,11058621,11058621
1485174565539,11058621,11058621
1485174568758,11215526,11215526
1485174571767,11231910,11231910
1485174574979,11240102,11240102
1485174578150,11256486,11256486
1485174581456,11223718,11223718
1485174584478,11223718,11223718
1485174587509,11223718,11223718
1485174590729,11231910,11231910
1485174593958,11240102,11240102
1485174598585,11256486,11256486
1485174602373,11190950,11190950
1485174605392,11190950,11190950
1485174608414,11190950,11190950
1485174611678,11190950,11190950
1485174614710,11190950,11190950
1485174617743,11215526,11215526
1485174620764,11223718,11223718
1485174622974,11240102,11240102
1485174626477,11223718,11223718
1485174629992,11240102,11240102
1485174633180,11256486,11256486
1485174636194,11256486,11256486
1485174639366,11256486,11256486
1485174642688,11256486,11256486
1485174645708,11256486,11256486
1485174647962,11256486,11256486
1485174650985,11194497,11194497
1485174655668,11194497,11194497
1485174658801,11210881,11210881
1485174661882,11210881,11210881
1485174664936,11210881,11210881
1485174668031,11210881,11210881
1485174671215,11210881,11210881
1485174674498,11161729,11161729
1485174679393,11161729,11161729
1485174682505,11161729,11161729
1485174685704,11161729,11161729
1485174689054,11161729,11161729
1485174692354,11161729,11161729
1485174695484,11161729,11161729
1485174698605,11161729,11161729
1485174702092,11161729,11161729
1485174705215,11161729,11161729
1485174709041,11169921,11169921
1485174712912,11169921,11169921
1485174717189,11194497,11194497
1485174720373,11194497,11194497
1485174722769,11202689,11202689
1485174725792,11210881,11210881
1485174730080,11210881,11210881
1485174732326,11210881,11210881
1485174735432,11210881,11210881
1485174738644,11235457,11235457
1485174743026,11219073,11219073
1485174745314,11235457,11235457
1485174748464,11268225,11268225
1485174752836,11283587,11283587
1485174756101,11300993,11300993
1485174759120,11300993,11300993
1485174762378,11317377,11317377
1485174766017,11333761,11333761
1485174769635,11284609,11284609
1485174773068,11317507,11317507
1485174777341,11519530,11519530
1485174780438,11747495,11747495
1485174783677,11757541,11757541
1485174787497,11899641,11899641
1485174790681,11916025,11916025
1485174793985,11916025,11916025
1485174798647,12132969,12132969
1485174801893,12132969,12132969
1485174805139,12132969,12132969
1485174808350,12137423,12137423
1485174811465,12137423,12137423
1485174814865,12153807,12153807
1485174818048,12377408,12377408
1485174822003,12346761,12346761
1485174825064,12399516,12399516
1485174828193,12407708,12407708
1485174830947,12407708,12407708
1485174834489,12407708,12407708
1485174837657,12416924,12416924
1485174840766,12424092,12424092
1485174844202,12432284,12432284
1485174848504,12415770,12415770
1485174851787,12440346,12440346
1485174854982,12456730,12456730
1485174858568,12465946,12465946
1485174861875,12481306,12481306
1485174864949,12481306,12481306
1485174869199,12597754,12597754
1485174872817,12615162,12615162
1485174875936,12589562,12589562
1485174879227,12589562,12589562
1485174883240,12597754,12597754
1485174886525,12614138,12614138
1485174890196,12622330,12622330
1485174893992,12622330,12622330
1485174897275,12622330,12622330
1485174900963,12622330,12622330
1485174905155,12645251,12645251
1485174908205,12587907,12587907
1485174911722,12604291,12604291
1485174915566,12604291,12604291
1485174918953,12604291,12604291
1485174922280,12604291,12604291
1485174925401,12604291,12604291
1485174928541,12604291,12604291
1485174936111,12571523,12571523
1485174939145,12571523,12571523
1485174942299,12571523,12571523
1485174945561,12571523,12571523
1485174948910,12571523,12571523
1485174952089,12629662,12629662
1485174955159,12629662,12629662
1485174958839,12629662,12629662
1485174962412,12596894,12596894
1485174965565,12596894,12596894
1485174969080,12596894,12596894
1485174972486,12596894,12596894
1485174975904,12596894,12596894
1485174980817,12613278,12613278
1485174983483,12613278,12613278
1485174986684,12580510,12580510
1485174990037,12580510,12580510
1485174993721,12580510,12580510
1485174996867,12580510,12580510
1485175001272,12580510,12580510
1485175004205,12613278,12613278
1485175007349,12613278,12613278
1485175011923,12605086,12605086
1485175014944,12613278,12613278
1485175018121,12657798,12657798
