timestamp_ms,total_capacity_in_bytes,used_in_bytes
1485174520456,0,0
1485174523619,0,0
1485174527116,0,0
1485174530139,0,0
1485174533324,0,0
1485174536326,0,0
1485174539733,0,0
1485174542772,0,0
1485174546059,0,0
1485174549077,0,0
1485174552771,0,0
1485174556114,0,0
1485174559132,0,0
1485174562316,0,0
1485174565416,0,0
1485174568743,0,0
1485174571769,0,0
1485174574920,0,0
1485174578098,0,0
1485174581386,0,0
1485174584476,0,0
1485174587494,0,0
1485174590721,0,0
1485174593964,0,0
1485174598604,0,0
1485174601860,0,0
1485174605390,0,0
1485174608410,0,0
1485174611673,0,0
1485174614707,0,0
1485174617733,0,0
1485174620758,0,0
1485174622971,0,0
1485174626479,0,0
1485174629868,0,0
1485174633051,0,0
1485174636196,0,0
1485174639671,0,0
1485174642687,0,0
1485174645706,0,0
1485174647965,0,0
1485174650987,0,0
1485174655267,0,0
1485174658743,0,0
1485174661842,0,0
1485174665012,0,0
1485174668069,0,0
1485174671177,0,0
1485174674502,0,0
1485174679394,0,0
1485174682490,0,0
1485174685600,0,0
1485174689029,0,0
1485174692466,0,0
1485174695560,0,0
1485174698603,0,0
1485174702094,0,0
1485174705213,0,0
1485174708719,0,0
1485174712915,0,0
1485174715989,916232,916232
1485174720337,916232,916232
1485174722780,916232,916232
1485174725795,916232,916232
1485174728809,916232,916232
1485174732424,916232,916232
1485174735587,1902230,1902230
1485174738646,1902230,1902230
1485174742964,1902230,1902230
1485174745455,1902230,1902230
1485174748472,1902230,1902230
1485174751486,1902230,1902230
1485174756099,1902230,1902230
1485174759219,1902230,1902230
1485174761315,1902230,1902230
1485174766069,1902230,1902230
1485174769128,1902230,1902230
1485174772856,1902230,1902230
1485174776579,1902230,1902230
1485174780364,1902230,1902230
1485174783823,1902230,1902230
1485174787124,2845140,2845140
1485174790588,2845140,2845140
1485174793719,2845140,2845140
1485174798109,2845140,2845140
1485174801694,2845140,2845140
1485174805114,2845140,2845140
1485174808159,2845140,2845140
1485174811468,2845140,2845140
1485174814941,2845140,2845140
1485174818181,2845140,2845140
1485174821950,5455248,5455248
1485174825073,5455248,5455248
1485174828260,5455248,5455248
1485174830898,5455248,5455248
1485174834486,5455248,5455248
1485174837664,5455248,5455248
1485174840772,5455248,5455248
1485174843855,5455248,5455248
1485174848284,5455248,5455248
1485174851725,5455248,5455248
1485174854927,5455248,5455248
1485174858407,5455248,5455248
1485174861878,5455248,5455248
1485174864925,5455248,5455248
1485174868182,9128545,9128545
1485174872906,7697629,7697629
1485174875931,7697629,7697629
1485174879381,7697629,7697629
1485174883507,7697629,7697629
1485174886523,7697629,7697629
1485174890044,7697629,7697629
1485174893990,7697629,7697629
1485174897277,7697629,7697629
1485174901011,7697629,7697629
1485174904881,7697629,7697629
1485174908185,8107419,8107419
1485174911792,8107419,8107419
1485174915568,8107419,8107419
1485174918962,8107419,8107419
1485174922364,8107419,8107419
1485174925400,8107419,8107419
1485174928612,8107419,8107419
1485174936128,7818924,7818924
1485174939237,7818924,7818924
1485174942249,8431440,8431440
1485174945559,7818924,7818924
1485174948891,7818924,7818924
1485174952086,7818924,7818924
1485174955189,7818924,7818924
1485174958666,12130563,12130563
1485174962487,12130563,12130563
1485174965736,12130563,12130563
1485174969177,13207899,13207899
1485174972874,12130563,12130563
1485174976227,14164760,14164760
1485174980848,14164760,14164760
1485174983480,16267363,16267363
1485174986973,16267363,16267363
1485174990040,17381149,17381149
1485174993741,18153642,18153642
1485174997085,20315575,20315575
1485175000114,20315575,20315575
1485175004231,20315575,20315575
1485175007462,20315575,20315575
1485175010487,20315575,20315575
1485175014979,21352721,21352721
1485175018157,23902172,23902172
1485175021837,23902172,23902172
1485175026141,23902172,23902172
1485175029824,23902172,23902172
1485175032972,23902172,23902172
1485175036811,23902172,23902172
1485175040214,23902172,23902172
1485175043759,23902172,23902172
1485175047981,23902172,23902172
1485175051303,23902172,23902172
1485175054898,23902172,23902172
1485175059068,23902172,23902172
1485175062204,24748257,24748257
1485175065493,24748467,24748467
1485175069324,27580547,27580547
1485175072628,26543401,26543401
1485175075936,26543401,26543401
1485175079449,26543401,26543401
