timestamp_ms,total_capacity_in_bytes,used_in_bytes
1485174277484,0,0
1485174280537,0,0
1485174283548,0,0
1485174286555,0,0
1485174289564,0,0
1485174292621,0,0
1485174295627,0,0
1485174298634,0,0
1485174301640,0,0
1485174304649,0,0
1485174307659,0,0
1485174310666,0,0
1485174313717,0,0
1485174316736,0,0
1485174319772,0,0
1485174322800,0,0
1485174325813,2511343,2511343
1485174328834,2511343,2511343
1485174331855,2511343,2511343
1485174334875,5329699,5329699
1485174337890,5329699,5329699
1485174340901,5329699,5329699
1485174343920,5329699,5329699
1485174346947,5329699,5329699
1485174349973,5329699,5329699
1485174353028,5329699,5329699
1485174356048,6639163,6639163
1485174359155,8225878,8225878
1485174362226,8225878,8225878
1485174365249,9540154,9540154
1485174368303,9540154,9540154
1485174371585,11402450,11402450
1485174374607,11402450,11402450
1485174377663,11402450,11402450
1485174380681,12630909,12630909
1485174383723,15138146,15138146
1485174386776,15138146,15138146
1485174389939,15138146,15138146
1485174392953,17107947,17107947
1485174395969,15716418,15716418
1485174398994,15716418,15716418
1485174402038,15716418,15716418
1485174405233,15946203,15946203
1485174408304,15716418,15716418
1485174412851,15716418,15716418
1485174415962,15716418,15716418
1485174419274,15716418,15716418
1485174422217,17869539,17869539
1485174425400,17869539,17869539
1485174429133,16142783,16142783
1485174432062,16142783,16142783
1485174435575,16142783,16142783
1485174438045,16142783,16142783
1485174441361,16142783,16142783
1485174445371,16142783,16142783
1485174448218,16142783,16142783
1485174450509,16142783,16142783
1485174454664,16142783,16142783
1485174457412,16142783,16142783
1485174460862,18300140,18300140
1485174464016,20278286,20278286
1485174467689,20278286,20278286
1485174470746,20585318,20585318
1485174474453,19275854,19275854
1485174477603,21620264,21620264
1485174480632,20018904,20018904
1485174483711,20018904,20018904
1485174486725,22100248,22100248
1485174489741,20785972,20785972
1485174492011,19565444,19565444
1485174495861,22110329,22110329
1485174499221,20199661,20199661
1485174502233,20199661,20199661
1485174505439,20199661,20199661
1485174508473,22732355,22732355
1485174511521,22732355,22732355
1485174514537,20773435,20773435
1485174517267,20773435,20773435
1485174520361,20773435,20773435
1485174523582,20773435,20773435
1485174527003,20773435,20773435
1485174530131,20773435,20773435
1485174533328,20773435,20773435
1485174536340,20773435,20773435
1485174539735,20773435,20773435
1485174542764,20773435,20773435
1485174546011,22257448,22257448
1485174549227,22693675,22693675
1485174552697,24600818,24600818
1485174556116,24600818,24600818
1485174559135,24600818,24600818
1485174562378,24600818,24600818
1485174565400,24597169,24597169
1485174568744,24597169,24597169
1485174571772,26241170,26241170
1485174574924,26241170,26241170
1485174578117,26241170,26241170
1485174581389,28942343,28942343
1485174584477,28942343,28942343
1485174587528,28942343,28942343
1485174590727,26972542,26972542
1485174593961,27561585,27561585
1485174598843,26972542,26972542
1485174601867,26972542,26972542
1485174605394,26972542,26972542
1485174608413,26972542,26972542
1485174611677,26972542,26972542
1485174614708,26972542,26972542
1485174617740,26972542,26972542
1485174620764,28783263,28783263
1485174622972,28783263,28783263
1485174626480,28783263,28783263
1485174629869,28783263,28783263
1485174633086,28783263,28783263
1485174636198,30659353,30659353
1485174639280,32368052,32368052
1485174642690,32368052,32368052
1485174645707,32368052,32368052
1485174647956,32368219,32368219
1485174652189,32368052,32368052
1485174655328,32368052,32368052
1485174658827,32368052,32368052
1485174661846,32368052,32368052
1485174664940,32368052,32368052
1485174668035,32368052,32368052
1485174671088,30396543,30396543
1485174674843,30396543,30396543
1485174679377,30396543,30396543
1485174682479,30396543,30396543
1485174685599,30396543,30396543
1485174689052,30396543,30396543
1485174692389,30396543,30396543
1485174695486,30396543,30396543
1485174698585,30396543,30396543
1485174702093,30396543,30396543
1485174705644,32278317,32278317
1485174708716,32278317,32278317
1485174712918,32278317,32278317
1485174717185,34054936,34054936
1485174720406,34054936,34054936
1485174722766,34054936,34054936
1485174725789,34054936,34054936
1485174728805,34054936,34054936
1485174732325,35959014,35959014
1485174735435,35959014,35959014
1485174739908,35959014,35959014
1485174742973,35959014,35959014
1485174745313,35959014,35959014
1485174748470,35959014,35959014
1485174751489,35959014,35959014
1485174756109,35959014,35959014
1485174759119,38298714,38298714
1485174762899,39831466,39831466
1485174766028,39831466,39831466
1485174769119,39831466,39831466
1485174773504,39831466,39831466
1485174776742,39831466,39831466
1485174780373,39831466,39831466
1485174783675,39831466,39831466
1485174787157,39831466,39831466
1485174790595,39831466,39831466
1485174793715,39831466,39831466
1485174798083,41932685,41932685
1485174801699,41932685,41932685
1485174804978,41932685,41932685
1485174808169,41932685,41932685
1485174811463,41932685,41932685
1485174814883,41932685,41932685
1485174818475,41932685,41932685
1485174821913,41932685,41932685
1485174825063,41932685,41932685
1485174828104,41932685,41932685
1485174830907,41932685,41932685
1485174834491,45865935,45865935
1485174837658,45865935,45865935
1485174840767,45865935,45865935
1485174843855,45865935,45865935
1485174848253,45865935,45865935
1485174851729,45865935,45865935
1485174854944,45865935,45865935
1485174858408,41316876,41316876
1485174861873,41316876,41316876
1485174864925,41316876,41316876
1485174868187,41316876,41316876
1485174872843,43581543,43581543
1485174876180,43581543,43581543
1485174879379,43581543,43581543
1485174883281,43581543,43581543
1485174886524,43581543,43581543
1485174890201,43581543,43581543
1485174893988,43581543,43581543
1485174897281,45764244,45764244
1485174900904,48043231,48043231
1485174904683,50281615,50281615
1485174908168,50281615,50281615
1485174911717,50281615,50281615
1485174915571,48405525,48405525
1485174918960,48405525,48405525
1485174922277,48405525,48405525
1485174925387,48405525,48405525
1485174930093,48405525,48405525
1485174936119,48405525,48405525
1485174939149,48405525,48405525
1485174942245,50470054,50470054
1485174945560,50470054,50470054
1485174948907,52427813,52427813
1485174952067,52427813,52427813
1485174955241,52427813,52427813
1485174958664,52427813,52427813
1485174962421,52427813,52427813
1485174965597,52427813,52427813
1485174969083,52427813,52427813
1485174972490,52427813,52427813
1485174975901,52427813,52427813
1485174980814,52427813,52427813
1485174983485,52427813,52427813
1485174986686,52427813,52427813
1485174990043,52859692,52859692
1485174993739,52427813,52427813
1485174996888,52427813,52427813
1485175000120,52427813,52427813
1485175004201,52427813,52427813
1485175007463,52427813,52427813
1485175010491,52427813,52427813
1485175014960,52427813,52427813
1485175018728,52427813,52427813
1485175022148,52427813,52427813
1485175026142,52427813,52427813
1485175029247,52427813,52427813
1485175032909,52427813,52427813
1485175036813,54985680,54985680
1485175039976,57854356,57854356
1485175043750,57193740,57193740
1485175047935,57193740,57193740
