timestamp_ms,collection_count
1485174277484,4
1485174280537,4
1485174283548,4
1485174286555,4
1485174289564,6
1485174292621,9
1485174295627,11
1485174298634,12
1485174301640,16
1485174304649,16
1485174307659,20
1485174310666,20
1485174313717,23
1485174316736,27
1485174319772,29
1485174322800,33
1485174325813,38
1485174328834,38
1485174331855,43
1485174334875,49
1485174337890,49
1485174340901,54
1485174343920,57
1485174346947,57
1485174349973,59
1485174353028,63
1485174356048,68
1485174359155,70
1485174362226,70
1485174365249,76
1485174368303,81
1485174371585,84
1485174374607,85
1485174377663,91
1485174380681,97
1485174383723,104
1485174386776,107
1485174389939,111
1485174392953,116
1485174395969,116
1485174398994,118
1485174402038,119
1485174405233,121
1485174408304,124
1485174412851,126
1485174415962,128
1485174419274,132
1485174422217,135
1485174425400,136
1485174429133,140
1485174432062,141
1485174435575,145
1485174438045,146
1485174441361,149
1485174445371,152
1485174448218,156
1485174450509,158
1485174454664,161
1485174457412,164
1485174460862,167
1485174464016,170
1485174467689,174
1485174470746,177
1485174474453,183
1485174477603,187
1485174480632,191
1485174483711,193
1485174486725,195
1485174489741,198
1485174492011,202
1485174495861,206
1485174499221,208
1485174502233,212
1485174505439,215
1485174508473,217
1485174511521,219
1485174514537,223
1485174517267,225
1485174520361,227
1485174523582,229
1485174527003,231
1485174530131,233
1485174533328,236
1485174536340,239
1485174539735,242
1485174542764,244
1485174546011,247
1485174549227,249
1485174552697,253
1485174556116,255
1485174559135,258
1485174562378,261
1485174565400,264
1485174568744,267
1485174571772,268
1485174574924,271
1485174578117,274
1485174581389,275
1485174584477,276
1485174587528,277
1485174590727,278
1485174593961,281
1485174598843,284
1485174601867,286
1485174605394,289
1485174608413,291
1485174611677,296
1485174614708,298
1485174617740,300
1485174620764,302
1485174622972,304
1485174626480,306
1485174629869,308
1485174633086,310
1485174636198,313
1485174639280,315
1485174642690,317
1485174645707,318
1485174647956,319
1485174652189,322
1485174655328,323
1485174658827,325
1485174661846,327
1485174664940,329
1485174668035,330
1485174671088,333
1485174674843,337
1485174679377,339
1485174682479,342
1485174685599,344
1485174689052,346
1485174692389,348
1485174695486,351
1485174698585,353
1485174702093,356
1485174705644,359
1485174708716,361
1485174712918,365
1485174717185,369
1485174720406,372
1485174722766,373
1485174725789,375
1485174728805,376
1485174732325,379
1485174735435,380
1485174739908,384
1485174742973,387
1485174745313,389
1485174748470,392
1485174751489,394
1485174756109,398
1485174759119,400
1485174762899,403
1485174766028,404
1485174769119,406
1485174773504,408
1485174776742,409
1485174780373,412
1485174783675,414
1485174787157,415
1485174790595,418
1485174793715,420
1485174798083,424
1485174801699,427
1485174804978,429
1485174808169,430
1485174811463,432
1485174814883,434
1485174818475,437
1485174821913,440
1485174825063,442
1485174828104,444
1485174830907,446
1485174834491,450
1485174837658,452
1485174840767,454
1485174843855,455
1485174848253,458
1485174851729,462
1485174854944,465
1485174858408,467
1485174861873,469
1485174864925,471
1485174868187,473
1485174872843,475
1485174876180,478
1485174879379,481
1485174883281,485
1485174886524,487
1485174890201,490
1485174893988,492
1485174897281,494
1485174900904,496
1485174904683,498
1485174908168,499
1485174911717,501
1485174915571,502
1485174918960,505
1485174922277,506
1485174925387,507
1485174930093,510
1485174936119,516
1485174939149,517
1485174942245,519
1485174945560,521
1485174948907,522
1485174952067,523
1485174955241,524
1485174958664,527
1485174962421,529
1485174965597,530
1485174969083,532
1485174972490,533
1485174975901,535
1485174980814,537
1485174983485,539
1485174986686,540
1485174990043,541
1485174993739,544
1485174996888,546
1485175000120,548
1485175004201,550
1485175007463,551
1485175010491,553
1485175014960,556
1485175018728,558
1485175022148,561
1485175026142,563
1485175029247,565
1485175032909,568
1485175036813,571
1485175039976,573
1485175043750,575
1485175047935,578
1485175051271,578
1485175054914,580
1485175058735,582
1485175062195,584
1485175065655,586
1485175069326,588
1485175072564,591
1485175075942,593
1485175079401,594
1485175083705,599
1485175086786,601
1485175090174,603
1485175093590,604
1485175096762,606
1485175100638,607
1485175104442,609
1485175107695,612
1485175114834,619
1485175118168,620
1485175122412,623
1485175125625,625
1485175128837,627
1485175132587,629
1485175135628,632
1485175139978,635
1485175143638,637
1485175146767,640
1485175150212,644
1485175154324,647
1485175157475,650
1485175160881,652
1485175164731,655
1485175167755,656
1485175171114,658
1485175175027,661
1485175178140,664
1485175181519,666
1485175185718,669
1485175189917,673
1485175193015,676
1485175196862,678
1485175200164,680
1485175203648,683
1485175207695,685
1485175210803,687
1485175214041,689
1485175217193,690
1485175220668,691
1485175225086,694
1485175228159,695
1485175232395,696
1485175235921,699
1485175239012,701
1485175242813,704
1485175246093,705
1485175249460,707
1485175253166,709
1485175256673,712
1485175260264,713
1485175264439,716
1485175267987,717
1485175271012,720
1485175274418,722
1485175279009,724
1485175282056,726
1485175286657,728
1485175289754,730
1485175293140,732
1485175296748,733
1485175300166,734
1485175303822,735
1485175307342,738
1485175310789,739
1485175313988,742
1485175317646,743
1485175321292,747
1485175324435,749
1485175328127,752
1485175331304,756
1485175334487,758
1485175338569,761
1485175341884,764
1485175345077,766
1485175349784,769
1485175352441,772
1485175355858,773
1485175359392,776
1485175362700,778
1485175365934,779
1485175369002,781
1485175373101,783
1485175377131,785
1485175380166,786
1485175383569,789
1485175387507,790
1485175390825,792
1485175394217,796
1485175397846,799
1485175401217,803
1485175404702,809
1485175408380,818
1485175411470,825
1485175414485,833
1485175417875,840
1485175420904,846
1485175423936,853
1485175427027,860
1485175430224,866
1485175433390,873
1485175436557,877
1485175439587,882
1485175442855,890
1485175446187,898
1485175449271,905
1485175452288,915
1485175455473,924
1485175458554,934
1485175461609,938
1485175464625,938
1485175467676,939
1485175470784,944
1485175473806,944
1485175476813,947
