timestamp_ms,collection_time_in_millis
1485174520456,574
1485174523619,574
1485174527116,574
1485174530139,574
1485174533324,574
1485174536326,767
1485174539733,767
1485174542772,767
1485174546059,767
1485174549077,767
1485174552771,808
1485174556114,808
1485174559132,808
1485174562316,808
1485174565416,808
1485174568743,822
1485174571769,822
1485174574920,822
1485174578098,822
1485174581386,822
1485174584476,837
1485174587494,837
1485174590721,837
1485174593964,837
1485174598604,853
1485174601860,853
1485174605390,853
1485174608410,853
1485174611673,853
1485174614707,867
1485174617733,867
1485174620758,867
1485174622971,867
1485174626479,867
1485174629868,867
1485174633051,867
1485174636196,867
1485174639671,883
1485174642687,896
1485174645706,908
1485174647965,908
1485174650987,917
1485174655267,929
1485174658743,952
1485174661842,990
1485174665012,990
1485174668069,1043
1485174671177,1043
1485174674502,1079
1485174679394,1205
1485174682490,1386
1485174685600,1504
1485174689029,1504
1485174692466,1581
1485174695560,1608
1485174698603,1621
1485174702094,1621
1485174705213,1698
1485174708719,1698
1485174712915,1729
1485174715989,1794
1485174720337,1816
1485174722780,1816
1485174725795,1865
1485174728809,1889
1485174732424,1934
1485174735587,1945
1485174738646,1989
1485174742964,2009
1485174745455,2082
1485174748472,2082
1485174751486,2095
1485174756099,2095
1485174759219,2119
1485174761315,2134
1485174766069,2221
1485174769128,2233
1485174772856,2259
1485174776579,2349
1485174780364,2414
1485174783823,2441
1485174787124,2452
1485174790588,2479
1485174793719,2491
1485174798109,2552
1485174801694,2619
1485174805114,2791
1485174808159,2814
1485174811468,2840
1485174814941,2918
1485174818181,3006
1485174821950,3043
1485174825073,3067
1485174828260,3092
1485174830898,3126
1485174834486,3237
1485174837664,3257
1485174840772,3291
1485174843855,3313
1485174848284,3337
1485174851725,3370
1485174854927,3381
1485174858407,3394
1485174861878,3447
1485174864925,3593
1485174868182,3650
1485174872906,3773
1485174875931,3784
1485174879381,3897
1485174883507,3952
1485174886523,3978
1485174890044,4000
1485174893990,4025
1485174897277,4050
1485174901011,4079
1485174904881,4106
1485174908185,4179
1485174911792,4379
1485174915568,4414
1485174918962,4439
1485174922364,4461
1485174925400,4485
1485174928612,4560
1485174936128,4645
1485174939237,4691
1485174942249,4758
1485174945559,4820
1485174948891,4914
1485174952086,4938
1485174955189,4972
1485174958666,5028
1485174962487,5098
1485174965736,5293
1485174969177,5362
1485174972874,5395
1485174976227,5418
1485174980848,5464
1485174983480,5494
1485174986973,5526
1485174990040,5560
1485174993741,5598
1485174997085,5664
1485175000114,5784
1485175004231,5847
1485175007462,5889
1485175010487,5913
1485175014979,5927
1485175018157,5974
1485175021837,6087
1485175026141,6240
1485175029824,6308
1485175032972,6344
1485175036811,6367
1485175040214,6433
1485175043759,6499
1485175047981,6537
1485175051303,6562
1485175054898,6668
1485175059068,6693
1485175062204,6724
1485175065493,6767
1485175069324,6793
1485175072628,6835
1485175075936,6868
1485175079449,6891
1485175082770,6937
1485175086793,6980
1485175090199,7117
1485175093588,7259
1485175096766,7321
1485175100745,7355
1485175103917,7420
1485175107475,7501
1485175114248,7586
1485175117902,7679
1485175122409,7745
1485175125621,7769
1485175128834,7783
1485175132578,7796
1485175135627,7796
1485175139739,7839
1485175143748,7901
1485175146763,7957
1485175150210,8006
1485175154315,8051
1485175157491,8074
1485175160876,8124
1485175164727,8165
1485175167760,8203
1485175171110,8246
1485175175025,8272
1485175178240,8285
1485175181525,8318
1485175185716,8361
1485175189763,8375
1485175193013,8417
1485175196860,8457
1485175200131,8493
1485175203646,8510
1485175207713,8569
1485175210800,8594
1485175214051,8633
1485175217196,8662
1485175220670,8710
1485175223707,8733
1485175228164,8887
1485175232143,8973
1485175235512,9120
1485175238998,9226
1485175242811,9301
1485175246099,9402
1485175249442,9500
1485175253164,9619
1485175256794,9705
1485175260331,9829
1485175264436,9952
1485175267981,10159
1485175271008,10204
1485175275831,10545
1485175278964,10662
1485175282096,10798
1485175286662,10933
1485175289754,11077
1485175293141,11152
1485175296727,11217
1485175300165,11253
1485175303821,11353
1485175307343,11518
1485175310710,11573
1485175313992,11617
1485175317984,11661
1485175321290,11797
1485175324476,11838
1485175327907,11876
1485175331312,11906
1485175334491,11945
1485175338566,12008
1485175341881,12056
1485175345084,12098
1485175349422,12190
1485175352577,12354
1485175355861,12439
1485175359394,12642
1485175362704,12660
1485175365950,12778
1485175369045,12795
1485175373123,12889
1485175377086,12916
1485175380165,12953
1485175383697,13165
1485175387472,13456
1485175390716,13544
1485175394221,13646
1485175397844,13758
1485175401229,13852
1485175404688,14084
1485175408382,14200
1485175411422,14381
1485175414482,14494
1485175417881,14562
1485175420918,14707
1485175423941,14817
1485175427046,14898
1485175430224,15064
1485175433410,15206
1485175436557,15357
1485175439761,15465
1485175442861,15613
1485175446188,15708
1485175449269,15729
1485175452288,15797
1485175455476,15861
1485175458559,15906
1485175461611,15965
1485175464636,15976
1485175467661,15976
1485175470787,16016
1485175473807,16016
1485175476814,16057
