timestamp_ms,collection_time_in_millis
1485174277484,37
1485174280537,37
1485174283548,37
1485174286555,37
1485174289564,94
1485174292621,119
1485174295627,141
1485174298634,146
1485174301640,213
1485174304649,213
1485174307659,260
1485174310666,260
1485174313717,339
1485174316736,406
1485174319772,442
1485174322800,497
1485174325813,597
1485174328834,597
1485174331855,704
1485174334875,805
1485174337890,805
1485174340901,864
1485174343920,910
1485174346947,910
1485174349973,952
1485174353028,1049
1485174356048,1189
1485174359155,1208
1485174362226,1208
1485174365249,1309
1485174368303,1458
1485174371585,1538
1485174374607,1570
1485174377663,1710
1485174380681,1988
1485174383723,2105
1485174386776,2161
1485174389939,2279
1485174392953,2359
1485174395969,2359
1485174398994,2451
1485174402038,2475
1485174405233,2549
1485174408304,2689
1485174412851,2752
1485174415962,2921
1485174419274,3183
1485174422217,3397
1485174425400,3420
1485174429133,3571
1485174432062,3675
1485174435575,3810
1485174438045,3835
1485174441361,3896
1485174445371,4066
1485174448218,4168
1485174450509,4230
1485174454664,4305
1485174457412,4445
1485174460862,4491
1485174464016,4532
1485174467689,4754
1485174470746,4874
1485174474453,5013
1485174477603,5188
1485174480632,5322
1485174483711,5439
1485174486725,5505
1485174489741,5621
1485174492011,5811
1485174495861,6061
1485174499221,6111
1485174502233,6173
1485174505439,6209
1485174508473,6248
1485174511521,6304
1485174514537,6376
1485174517267,6405
1485174520361,6465
1485174523582,6503
1485174527003,6551
1485174530131,6621
1485174533328,6672
1485174536340,6734
1485174539735,6778
1485174542764,6813
1485174546011,6894
1485174549227,6919
1485174552697,7028
1485174556116,7060
1485174559135,7099
1485174562378,7153
1485174565400,7192
1485174568744,7230
1485174571772,7245
1485174574924,7290
1485174578117,7360
1485174581389,7383
1485174584477,7440
1485174587528,7458
1485174590727,7473
1485174593961,7553
1485174598843,7633
1485174601867,7750
1485174605394,7799
1485174608413,7836
1485174611677,7934
1485174614708,7965
1485174617740,7996
1485174620764,8028
1485174622972,8082
1485174626480,8117
1485174629869,8147
1485174633086,8171
1485174636198,8225
1485174639280,8282
1485174642690,8311
1485174645707,8324
1485174647956,8340
1485174652189,8485
1485174655328,8496
1485174658827,8534
1485174661846,8637
1485174664940,8689
1485174668035,8720
1485174671088,8768
1485174674843,8902
1485174679377,9049
1485174682479,9190
1485174685599,9326
1485174689052,9449
1485174692389,9588
1485174695486,9631
1485174698585,9758
1485174702093,9820
1485174705644,9975
1485174708716,10083
1485174712918,10187
1485174717185,10315
1485174720406,10395
