timestamp_ms,collection_time_in_millis
1485174343923,195
1485174346962,214
1485174349973,281
1485174353030,329
1485174356044,394
1485174359189,447
1485174362225,490
1485174365248,624
1485174368308,662
1485174371583,788
1485174374604,860
1485174377660,936
1485174380684,1013
1485174383731,1111
1485174386867,1171
1485174389940,1199
1485174392950,1312
1485174395972,1312
1485174398992,1335
1485174402040,1446
1485174405250,1462
1485174408300,1580
1485174412607,1692
1485174416072,1794
1485174419098,1908
1485174422386,2037
1485174425421,2100
1485174429191,2266
1485174432073,2306
1485174435575,2430
1485174438057,2567
1485174441359,2617
1485174444890,2754
1485174448274,2863
1485174451563,3055
1485174454666,3170
1485174457217,3477
1485174460880,3563
1485174464640,3699
1485174467687,3865
1485174470745,3900
1485174474498,3992
1485174477604,4113
1485174480666,4221
1485174483699,4299
1485174485745,4359
1485174489740,4501
1485174491999,4539
1485174495857,4728
1485174499179,4754
1485174502275,4877
1485174505438,4928
1485174508475,4942
1485174511519,4977
1485174514533,5003
1485174517263,5051
1485174520362,5112
1485174523584,5166
1485174526982,5180
1485174530137,5219
1485174533322,5244
1485174536344,5364
1485174539750,5382
1485174542774,5429
1485174546012,5441
1485174549230,5471
1485174552822,5502
1485174556112,5520
1485174559130,5546
1485174562323,5591
1485174565539,5636
1485174568758,5674
1485174571767,5716
1485174574979,5753
1485174578150,5789
1485174581456,5838
1485174584478,5875
1485174587509,5915
1485174590729,5968
1485174593958,6005
1485174598585,6071
1485174602373,6132
1485174605392,6161
1485174608414,6190
1485174611678,6239
1485174614710,6278
1485174617743,6315
1485174620764,6351
1485174622974,6380
1485174626477,6434
1485174629992,6474
1485174633180,6503
1485174636194,6540
1485174639366,6579
1485174642688,6663
1485174645708,6746
1485174647962,6781
1485174650985,6811
1485174655668,6867
1485174658801,6903
1485174661882,7051
1485174664936,7129
1485174668031,7218
1485174671215,7256
1485174674498,7343
1485174679393,7457
1485174682505,7508
1485174685704,7631
1485174689054,7727
1485174692354,7808
1485174695484,7871
1485174698605,7919
1485174702092,7966
1485174705215,8001
1485174709041,8043
1485174712912,8101
1485174717189,8217
1485174720373,8246
1485174722769,8276
1485174725792,8304
1485174730080,8366
1485174732326,8435
1485174735432,8463
1485174738644,8509
1485174743026,8614
1485174745314,8646
1485174748464,8711
1485174752836,8879
1485174756101,8940
1485174759120,8996
1485174762378,9057
1485174766017,9110
1485174769635,9360
1485174773068,9502
1485174777341,9544
1485174780438,9604
1485174783677,9676
1485174787497,9868
1485174790681,9988
1485174793985,10148
1485174798647,10399
1485174801893,10491
1485174805139,10581
1485174808350,10633
1485174811465,10657
1485174814865,10764
1485174818048,10885
1485174822003,11296
1485174825064,11355
1485174828193,11439
1485174830947,11480
1485174834489,11588
1485174837657,11668
1485174840766,11718
1485174844202,11729
1485174848504,11868
1485174851787,11896
1485174854982,12037
1485174858568,12139
1485174861875,12237
1485174864949,12337
1485174869199,12455
1485174872817,12531
1485174875936,12706
1485174879227,12853
1485174883240,12939
1485174886525,13131
1485174890196,13239
1485174893992,13298
1485174897275,13330
1485174900963,13371
1485174905155,13410
1485174908205,13500
1485174911722,13629
1485174915566,13672
1485174918953,13734
1485174922280,13763
1485174925401,13788
1485174928541,13876
1485174936111,13961
1485174939145,13975
1485174942299,14018
1485174945561,14067
1485174948910,14136
1485174952089,14161
1485174955159,14208
1485174958839,14247
1485174962412,14358
1485174965565,14447
1485174969080,14477
1485174972486,14523
1485174975904,14539
1485174980817,14580
1485174983483,14594
1485174986684,14634
1485174990037,14666
1485174993721,14779
1485174996867,14794
1485175001272,14834
1485175004205,14847
1485175007349,14916
1485175011923,15018
1485175014944,15126
1485175018121,15183
1485175022662,15407
1485175026151,15531
1485175029400,15736
1485175033127,15765
1485175036912,15780
1485175039964,15861
1485175044904,16010
1485175047923,16047
1485175051271,16100
1485175054896,16138
1485175058738,16184
1485175062191,16216
1485175065658,16261
1485175069320,16297
1485175072460,16331
1485175075934,16396
1485175079402,16424
1485175082737,16481
1485175086934,16583
1485175090576,16772
1485175093594,16836
1485175096764,16851
1485175100637,16879
1485175103771,16922
1485175108811,16952
1485175114031,17004
1485175119372,17040
1485175122410,17058
1485175125433,17107
1485175128965,17147
1485175132584,17174
1485175135612,17215
1485175141033,17264
1485175143641,17280
1485175146761,17318
1485175150212,17332
1485175154313,17360
1485175157483,17395
1485175160872,17419
1485175164733,17469
1485175167746,17484
1485175171108,17574
1485175175117,17631
1485175178134,17673
1485175182652,17712
1485175185715,17747
1485175189312,17787
1485175193011,17815
1485175196862,17857
1485175200135,17888
1485175203752,17912
1485175207710,17945
1485175210734,18002
1485175214048,18020
1485175217259,18061
1485175220676,18116
1485175224745,18294
1485175228541,18415
1485175231576,18479
1485175235605,18543
1485175239106,18609
1485175242498,18705
1485175246174,18737
1485175249444,18795
1485175253148,18937
1485175256673,19043
1485175261543,19188
1485175264553,19267
1485175267980,19296
1485175271011,19314
1485175274425,19405
1485175278957,19514
1485175283098,20072
1485175286177,20164
1485175289755,20234
1485175293176,20301
1485175296724,20342
1485175300670,20442
1485175303843,20464
1485175307433,20502
1485175310706,20542
1485175314004,20582
1485175317646,20645
1485175321359,20696
1485175324613,20736
1485175327905,20797
1485175331459,20871
1485175335112,20885
1485175338641,20949
1485175341975,20978
1485175345135,21019
1485175348316,21066
1485175352448,21151
1485175355869,21226
1485175359493,21334
1485175362698,21387
1485175365932,21553
1485175369051,21626
1485175373117,21686
1485175377127,21727
1485175380162,21779
1485175383567,21839
1485175387588,22075
1485175390757,22167
1485175394221,22258
1485175397842,22523
1485175401221,22634
1485175404688,22825
1485175408380,22979
1485175411421,23079
1485175414630,23322
1485175417665,23456
1485175420900,23573
1485175423939,23761
1485175427044,23958
1485175430224,24088
1485175433547,24245
1485175436562,24401
1485175439584,24471
1485175442865,24649
1485175446191,24755
1485175449271,24795
1485175452315,24989
1485175455473,25049
1485175458553,25071
1485175461611,25082
1485175464637,25131
1485175467659,25139
1485175470784,25171
1485175473806,25171
1485175476813,25184
