timestamp_ms,heap_used_percent
1485174520456,6
1485174523619,6
1485174527116,7
1485174530139,8
1485174533324,9
1485174536326,4
1485174539733,5
1485174542772,6
1485174546059,7
1485174549077,9
1485174552771,5
1485174556114,6
1485174559132,8
1485174562316,9
1485174565416,10
1485174568743,6
1485174571769,8
1485174574920,10
1485174578098,11
1485174581386,12
1485174584476,8
1485174587494,11
1485174590721,12
1485174593964,13
1485174598604,11
1485174601860,12
1485174605390,13
1485174608410,14
1485174611673,16
1485174614707,12
1485174617733,13
1485174620758,14
1485174622971,15
1485174626479,16
1485174629868,17
1485174633051,17
1485174636196,18
1485174639671,16
1485174642687,9
1485174645706,8
1485174647965,12
1485174650987,11
1485174655267,15
1485174658743,11
1485174661842,10
1485174665012,12
1485174668069,10
1485174671177,14
1485174674502,11
1485174679394,16
1485174682490,13
1485174685600,16
1485174689029,19
1485174692466,8
1485174695560,7
1485174698603,8
1485174702094,12
1485174705213,10
1485174708719,13
1485174712915,13
1485174715989,14
1485174720337,13
1485174722780,17
1485174725795,17
1485174728809,18
1485174732424,19
1485174735587,13
1485174738646,13
1485174742964,11
1485174745455,10
1485174748472,16
1485174751486,11
1485174756099,17
1485174759219,17
1485174761315,16
1485174766069,14
1485174769128,16
1485174772856,17
1485174776579,20
1485174780364,8
1485174783823,12
1485174787124,13
1485174790588,9
1485174793719,11
1485174798109,14
1485174801694,16
1485174805114,13
1485174808159,18
1485174811468,20
1485174814941,13
1485174818181,10
1485174821950,9
1485174825073,13
1485174828260,9
1485174830898,13
1485174834486,12
1485174837664,19
1485174840772,15
1485174843855,14
1485174848284,12
1485174851725,9
1485174854927,12
1485174858407,13
1485174861878,11
1485174864925,10
1485174868182,11
1485174872906,11
1485174875931,14
1485174879381,12
1485174883507,14
1485174886523,16
1485174890044,17
1485174893990,18
1485174897277,6
1485174901011,7
1485174904881,12
1485174908185,9
1485174911792,8
1485174915568,15
1485174918962,14
1485174922364,13
1485174925400,13
1485174928612,12
1485174936128,15
1485174939237,14
1485174942249,17
1485174945559,12
1485174948891,9
1485174952086,13
1485174955189,12
1485174958666,12
1485174962487,15
1485174965736,13
1485174969177,15
1485174972874,15
1485174976227,18
1485174980848,10
1485174983480,9
1485174986973,12
1485174990040,13
1485174993741,15
1485174997085,12
1485175000114,16
1485175004231,20
1485175007462,8
1485175010487,11
1485175014979,13
1485175018157,11
1485175021837,11
1485175026141,17
1485175029824,14
1485175032972,11
1485175036811,10
1485175040214,8
1485175043759,9
1485175047981,11
1485175051303,17
1485175054898,17
1485175059068,19
1485175062204,11
1485175065493,10
1485175069324,13
1485175072628,12
1485175075936,11
1485175079449,14
1485175082770,19
1485175086793,9
1485175090199,8
1485175093588,10
1485175096766,12
1485175100745,10
1485175103917,14
1485175107475,14
1485175114248,7
1485175117902,14
1485175122409,11
1485175125621,13
1485175128834,15
1485175132578,16
1485175135627,17
1485175139739,18
1485175143748,6
1485175146763,8
1485175150210,13
1485175154315,10
1485175157491,15
1485175160876,18
1485175164727,15
1485175167760,15
1485175171110,12
1485175175025,8
1485175178240,11
1485175181525,9
1485175185716,12
1485175189763,17
1485175193013,15
1485175196860,19
1485175200131,7
1485175203646,13
1485175207713,10
1485175210800,11
1485175214051,11
1485175217196,12
1485175220670,17
1485175223707,15
1485175228164,18
1485175232143,12
1485175235512,13
1485175238998,10
1485175242811,12
1485175246099,14
1485175249442,18
1485175253164,17
1485175256794,19
1485175260331,10
1485175264436,13
1485175267981,12
1485175271008,13
1485175275831,15
1485175278964,13
1485175282096,12
1485175286662,13
1485175289754,15
1485175293141,18
1485175296727,8
1485175300165,12
1485175303821,9
1485175307343,14
1485175310710,18
1485175313992,18
1485175317984,19
1485175321290,10
1485175324476,14
1485175327907,12
1485175331312,15
1485175334491,15
1485175338566,17
1485175341881,11
1485175345084,12
1485175349422,14
1485175352577,12
1485175355861,13
1485175359394,16
1485175362704,11
1485175365950,11
1485175369045,15
1485175373123,11
1485175377086,10
1485175380165,15
1485175383697,13
1485175387472,17
1485175390716,14
1485175394221,11
1485175397844,12
1485175401229,16
1485175404688,11
1485175408382,10
1485175411422,15
1485175414482,17
1485175417881,12
1485175420918,9
1485175423941,14
1485175427046,15
1485175430224,9
1485175433410,15
1485175436557,15
1485175439761,12
1485175442861,15
1485175446188,16
1485175449269,10
1485175452288,11
1485175455476,13
1485175458559,10
1485175461611,9
1485175464636,14
1485175467661,15
1485175470787,11
1485175473807,11
1485175476814,9
