timestamp_ms,heap_used_percent
1485174343923,3
1485174346962,7
1485174349973,6
1485174353030,13
1485174356044,6
1485174359189,8
1485174362225,11
1485174365248,13
1485174368308,19
1485174371583,12
1485174374604,11
1485174377660,12
1485174380684,20
1485174383731,13
1485174386867,9
1485174389940,16
1485174392950,16
1485174395972,16
1485174398992,12
1485174402040,15
1485174405250,16
1485174408300,16
1485174412607,9
1485174416072,5
1485174419098,9
1485174422386,10
1485174425421,8
1485174429191,11
1485174432073,14
1485174435575,19
1485174438057,17
1485174441359,8
1485174444890,9
1485174448274,14
1485174451563,15
1485174454666,15
1485174457217,16
1485174460880,17
1485174464640,8
1485174467687,9
1485174470745,13
1485174474498,10
1485174477604,12
1485174480666,13
1485174483699,10
1485174485745,12
1485174489740,11
1485174491999,12
1485174495857,12
1485174499179,17
1485174502275,13
1485174505438,15
1485174508475,12
1485174511519,13
1485174514533,13
1485174517263,14
1485174520362,12
1485174523584,13
1485174526982,20
1485174530137,8
1485174533322,13
1485174536344,11
1485174539750,16
1485174542774,12
1485174546012,17
1485174549230,14
1485174552822,14
1485174556112,12
1485174559130,14
1485174562323,12
1485174565539,10
1485174568758,13
1485174571767,14
1485174574979,18
1485174578150,20
1485174581456,13
1485174584478,14
1485174587509,15
1485174590729,12
1485174593958,18
1485174598585,15
1485174602373,8
1485174605392,11
1485174608414,12
1485174611678,12
1485174614710,14
1485174617743,15
1485174620764,20
1485174622974,19
1485174626477,8
1485174629992,8
1485174633180,12
1485174636194,14
1485174639366,10
1485174642688,15
1485174645708,19
1485174647962,17
1485174650985,17
1485174655668,12
1485174658801,13
1485174661882,13
1485174664936,15
1485174668031,18
1485174671215,14
1485174674498,6
1485174679393,13
1485174682505,15
1485174685704,15
1485174689054,17
1485174692354,18
1485174695484,8
1485174698605,12
1485174702092,13
1485174705215,12
1485174709041,15
1485174712912,17
1485174717189,19
1485174720373,12
1485174722769,12
1485174725792,14
1485174730080,15
1485174732326,14
1485174735432,16
1485174738644,14
1485174743026,9
1485174745314,13
1485174748464,14
1485174752836,14
1485174756101,12
1485174759120,12
1485174762378,14
1485174766017,20
1485174769635,9
1485174773068,9
1485174777341,13
1485174780438,12
1485174783677,13
1485174787497,13
1485174790681,19
1485174793985,17
1485174798647,11
1485174801893,10
1485174805139,10
1485174808350,12
1485174811465,17
1485174814865,19
1485174818048,18
1485174822003,6
1485174825064,12
1485174828193,9
1485174830947,13
1485174834489,11
1485174837657,15
1485174840766,14
1485174844202,18
1485174848504,7
1485174851787,7
1485174854982,13
1485174858568,14
1485174861875,14
1485174864949,13
1485174869199,13
1485174872817,18
1485174875936,20
1485174879227,11
1485174883240,14
1485174886525,14
1485174890196,14
1485174893992,13
1485174897275,17
1485174900963,19
1485174905155,19
1485174908205,10
1485174911722,13
1485174915566,16
1485174918953,12
1485174922280,13
1485174925401,14
1485174928541,16
1485174936111,12
1485174939145,15
1485174942299,14
1485174945561,17
1485174948910,15
1485174952089,18
1485174955159,15
1485174958839,18
1485174962412,9
1485174965565,10
1485174969080,12
1485174972486,13
1485174975904,19
1485174980817,19
1485174983483,19
1485174986684,9
1485174990037,10
1485174993721,11
1485174996867,15
1485175001272,15
1485175004205,16
1485175007349,16
1485175011923,12
1485175014944,8
1485175018121,10
1485175022662,13
1485175026151,13
1485175029400,13
1485175033127,13
1485175036912,17
1485175039964,10
1485175044904,9
1485175047923,14
1485175051271,13
1485175054896,12
1485175058738,14
1485175062191,18
1485175065658,14
1485175069320,16
1485175072460,16
1485175075934,12
1485175079402,13
1485175082737,17
1485175086934,9
1485175090576,9
1485175093594,10
1485175096764,16
1485175100637,16
1485175103771,13
1485175108811,14
1485175114031,8
1485175119372,9
1485175122410,13
1485175125433,12
1485175128965,13
1485175132584,19
1485175135612,18
1485175141033,12
1485175143641,15
1485175146761,12
1485175150212,17
1485175154313,19
1485175157483,15
1485175160872,19
1485175164733,12
1485175167746,15
1485175171108,15
1485175175117,13
1485175178134,14
1485175182652,19
1485175185715,13
1485175189312,15
1485175193011,16
1485175196862,17
1485175200135,18
1485175203752,20
1485175207710,14
1485175210734,12
1485175214048,17
1485175217259,13
1485175220676,16
1485175224745,12
1485175228541,13
1485175231576,16
1485175235605,17
1485175239106,18
1485175242498,15
1485175246174,17
1485175249444,11
1485175253148,10
1485175256673,11
1485175261543,13
1485175264553,12
1485175267980,14
1485175271011,20
1485175274425,10
1485175278957,10
1485175283098,10
1485175286177,11
1485175289755,11
1485175293176,17
1485175296724,18
1485175300670,18
1485175303843,7
1485175307433,7
1485175310706,9
1485175314004,10
1485175317646,11
1485175321359,11
1485175324613,13
1485175327905,14
1485175331459,14
1485175335112,18
1485175338641,6
1485175341975,12
1485175345135,8
1485175348316,10
1485175352448,13
1485175355869,15
1485175359493,11
1485175362698,16
1485175365932,19
1485175369051,18
1485175373117,11
1485175377127,12
1485175380162,12
1485175383567,15
1485175387588,11
1485175390757,12
1485175394221,14
1485175397842,19
1485175401221,17
1485175404688,9
1485175408380,9
1485175411421,10
1485175414630,11
1485175417665,12
1485175420900,16
1485175423939,9
1485175427044,12
1485175430224,12
1485175433547,14
1485175436562,7
1485175439584,13
1485175442865,15
1485175446191,14
1485175449271,15
1485175452315,12
1485175455473,13
1485175458553,14
1485175461611,18
1485175464637,13
1485175467659,15
1485175470784,13
1485175473806,13
1485175476813,14
