timestamp_ms,non_heap_committed_in_bytes,non_heap_used_in_bytes
1485174520456,47005696,46046824
1485174523619,48119808,47360504
1485174527116,49692672,48758536
1485174530139,51068928,50104200
1485174533324,52117504,51158520
1485174536326,52314112,51405896
1485174539733,52510720,51657176
1485174542772,52641792,51817896
1485174546059,53231616,52189456
1485174549077,53297152,52308384
1485174552771,53428224,52498288
1485174556114,53559296,52625712
1485174559132,53886976,52992816
1485174562316,54018048,53067192
1485174565416,54149120,53358104
1485174568743,54345728,53602032
1485174571769,54738944,53745904
1485174574920,54935552,53758872
1485174578098,54935552,53903112
1485174581386,55197696,54001520
1485174584476,55328768,54185784
1485174587494,55394304,54318096
1485174590721,55459840,54275504
1485174593964,55459840,54409624
1485174598604,55590912,54552504
1485174601860,55721984,54689560
1485174605390,55721984,54536360
1485174608410,55721984,54665520
1485174611673,55721984,54699608
1485174614707,55947264,54747896
1485174617733,56143872,54868248
1485174620758,56143872,54891600
1485174622971,56143872,54865160
1485174626479,56143872,54941024
1485174629868,56143872,55024776
1485174633051,56406016,55404792
1485174636196,56733696,55873936
1485174639671,56930304,56086664
1485174642687,57454592,56335792
1485174645706,57585664,56502064
1485174647965,57585664,56544856
1485174650987,57651200,56608664
1485174655267,57782272,56762888
1485174658743,57782272,56797440
1485174661842,58044416,57050200
1485174665012,58306560,57464096
1485174668069,58306560,57479528
1485174671177,58765312,57658208
1485174674502,58765312,57698016
1485174679394,58765312,57804184
1485174682490,59027456,58033384
1485174685600,59486208,58388096
1485174689029,59617280,58645648
1485174692466,59879424,58906232
1485174695560,60141568,59257864
1485174698603,60862464,59743904
1485174702094,60993536,59887112
1485174705213,61190144,60031592
1485174708719,61255680,60099352
1485174712915,61255680,59998608
1485174715989,61517824,60413960
1485174720337,61583360,60472024
1485174722780,61714432,60635584
1485174725795,61714432,60474240
1485174728809,61714432,60575472
1485174732424,61779968,60776032
1485174735587,61976576,60986368
1485174738646,62042112,60970440
1485174742964,62107648,61050824
1485174745455,62107648,61108616
1485174748472,62238720,61175208
1485174751486,62238720,61022640
1485174756099,62238720,61225552
1485174759219,62238720,61134200
1485174761315,62304256,61232560
1485174766069,62566400,61313392
1485174769128,62697472,61377944
1485174772856,62959616,61707672
1485174776579,63090688,61851384
1485174780364,63156224,61931624
1485174783823,63156224,61830096
1485174787124,63156224,62021496
1485174790588,63287296,62174112
1485174793719,63352832,62263192
1485174798109,63549440,62411984
1485174801694,63549440,62301592
1485174805114,63549440,62451592
1485174808159,63549440,62419800
1485174811468,63614976,62495112
1485174814941,63614976,62391680
1485174818181,63614976,62494848
1485174821950,63680512,62611240
1485174825073,63680512,62636872
1485174828260,63680512,62696856
1485174830898,63746048,62746680
1485174834486,63877120,62872520
1485174837664,64008192,63006248
1485174840772,64139264,63090128
1485174843855,64204800,63216664
1485174848284,64335872,63296576
1485174851725,64335872,63377440
1485174854927,64401408,63418568
1485174858407,64729088,63493504
1485174861878,64860160,63578584
1485174864925,64860160,63609000
1485174868182,64925696,63719632
1485174872906,64925696,63711808
1485174875931,64925696,63682784
1485174879381,64925696,63713376
1485174883507,65122304,63916144
1485174886523,65187840,64027176
1485174890044,65187840,64069896
1485174893990,65253376,64150096
1485174897277,65318912,64197088
1485174901011,65318912,64256080
1485174904881,65384448,64329448
1485174908185,65449984,64408056
1485174911792,65581056,64518512
1485174915568,65712128,64679112
1485174918962,65974272,64967080
1485174922364,66039808,64983464
1485174925400,66367488,65115896
1485174928612,66367488,65140448
1485174936128,66760704,65535032
1485174939237,66826240,65599320
1485174942249,66826240,65656256
1485174945559,66891776,65682040
1485174948891,66891776,65701912
1485174952086,67284992,65963272
1485174955189,67284992,66018272
1485174958666,67284992,66059088
1485174962487,67284992,66088856
1485174965736,67284992,66125176
1485174969177,67481600,66296304
1485174972874,67678208,66354056
1485174976227,67678208,66384440
1485174980848,67678208,66427280
1485174983480,67678208,66397384
1485174986973,67678208,66479368
1485174990040,67678208,66477832
1485174993741,67678208,66483864
1485174997085,67678208,66565200
1485175000114,67743744,66520384
1485175004231,67809280,66690256
1485175007462,68071424,67010272
1485175010487,68136960,67075456
1485175014979,68136960,67146568
1485175018157,68202496,67174256
1485175021837,68202496,67225280
1485175026141,68268032,67259896
1485175029824,68268032,67292608
1485175032972,68464640,67451080
1485175036811,68726784,67504920
1485175040214,68792320,67577728
1485175043759,68857856,67673504
1485175047981,68923392,67712008
1485175051303,68988928,67777136
1485175054898,68988928,67812000
1485175059068,69185536,67960424
1485175062204,69185536,67942032
1485175065493,69185536,67941008
1485175069324,69185536,67917512
1485175072628,69185536,67973472
1485175075936,69185536,67954264
1485175079449,69185536,67965432
1485175082770,69185536,67979256
1485175086793,69185536,68010744
1485175090199,69185536,68005168
1485175093588,69185536,67958264
1485175096766,69185536,67962832
1485175100745,69578752,68237592
1485175103917,69578752,68341616
1485175107475,69644288,68423864
1485175114248,69644288,68462576
1485175117902,69644288,68507944
1485175122409,69644288,68570528
1485175125621,69644288,68558400
1485175128834,69644288,68608640
1485175132578,69709824,68615976
1485175135627,69709824,68662424
1485175139739,69840896,68783576
1485175143748,69971968,68847200
1485175146763,69971968,68828816
1485175150210,69971968,68839248
1485175154315,69971968,68867728
1485175157491,69971968,68856888
1485175160876,69971968,68870328
1485175164727,69971968,68848432
1485175167760,69971968,68930400
1485175171110,70103040,69045096
1485175175025,70168576,69156088
1485175178240,70234112,69175608
1485175181525,70234112,69194712
1485175185716,70234112,69213272
1485175189763,70299648,69263016
1485175193013,70299648,69272992
1485175196860,70299648,69341080
1485175200131,70365184,69374168
1485175203646,70496256,69495504
1485175207713,70496256,69509992
1485175210800,70692864,69566344
1485175214051,70758400,69680720
1485175217196,70758400,69701912
1485175220670,71086080,69843416
1485175223707,71151616,69913176
1485175228164,71151616,69891880
1485175232143,71282688,69914192
1485175235512,71348224,70004552
1485175238998,71479296,70039328
1485175242811,71479296,70105928
1485175246099,71479296,70188912
1485175249442,71479296,70226936
1485175253164,71544832,70358312
1485175256794,71544832,70355048
1485175260331,71544832,70356520
1485175264436,71544832,70330704
1485175267981,71544832,70347792
1485175271008,71544832,70371472
1485175275831,71544832,70331904
