timestamp_ms,non_heap_committed_in_bytes,non_heap_used_in_bytes
1485174343923,52535296,51519840
1485174346962,54894592,54081048
1485174349973,56729600,55564240
1485174353030,57126912,55873968
1485174356044,57585664,56543408
1485174359189,57913344,56925432
1485174362225,58826752,57759496
1485174365248,59613184,57983328
1485174368308,59613184,58392280
1485174371583,59875328,58746200
1485174374604,60137472,59100568
1485174377660,60727296,59462320
1485174380684,60858368,59664232
1485174383731,61120512,59942816
1485174386867,61317120,60232824
1485174389940,61841408,60627752
1485174392950,62038016,60929856
1485174395972,62103552,60985752
1485174398992,62103552,60971968
1485174402040,62693376,61667544
1485174405250,63021056,62023608
1485174408300,63086592,62107736
1485174412607,63676416,62588872
1485174416072,64004096,62993712
1485174419098,64331776,63388544
1485174422386,64593920,63357888
1485174425421,64593920,63434984
1485174429191,64921600,63153288
1485174432073,65183744,63313624
1485174435575,65183744,63294632
1485174438057,65183744,63387608
1485174441359,65183744,63342968
1485174444890,65183744,63450096
1485174448274,65183744,63691904
1485174451563,65183744,63831824
1485174454666,65249280,64009104
1485174457217,65380352,64119864
1485174460880,65511424,64189896
1485174464640,65576960,64368520
1485174467687,65839104,64571344
1485174470745,65904640,64649248
1485174474498,66035712,64872672
1485174477604,66166784,64995128
1485174480666,66166784,64799480
1485174483699,66232320,64918544
1485174485745,66232320,64972024
1485174489740,66297856,65107056
1485174491999,66428928,65216976
1485174495857,67018752,65560160
1485174499179,67084288,65688360
1485174502275,67149824,65640040
1485174505438,67149824,65683168
1485174508475,67149824,65759680
1485174511519,67215360,65787712
1485174514533,67280896,65910792
1485174517263,67280896,65933920
1485174520362,67280896,65706480
1485174523584,67280896,65842504
1485174526982,67608576,66132480
1485174530137,67608576,66249024
1485174533322,67674112,66298496
1485174536344,67674112,66305056
1485174539750,67674112,66226568
1485174542774,67674112,66269704
1485174546012,67739648,66414912
1485174549230,67936256,66648392
1485174552822,68001792,66607184
1485174556112,68001792,66642216
1485174559130,68001792,66648272
1485174562323,68132864,66775048
1485174565539,68263936,66859024
1485174568758,68329472,66954872
1485174571767,68329472,67052112
1485174574979,68329472,67099088
1485174578150,68395008,67262208
1485174581456,68460544,67245288
1485174584478,68788224,67391688
1485174587509,68984832,67616384
1485174590729,69050368,67594344
1485174593958,69050368,67717024
1485174598585,69312512,67924872
1485174602373,69378048,68124904
1485174605392,69509120,68249616
1485174608414,69574656,68291472
1485174611678,69574656,68287088
1485174614710,69574656,68315552
1485174617743,69574656,68353032
1485174620764,69771264,68511792
1485174622974,69771264,68511792
1485174626477,69771264,68363832
1485174629992,69771264,68363784
1485174633180,69836800,68430184
1485174636194,69836800,68458848
1485174639366,69836800,68466768
1485174642688,69836800,68411152
1485174645708,69836800,68468632
1485174647962,69836800,68483288
1485174650985,69836800,68517040
1485174655668,69836800,68579912
1485174658801,69836800,68610632
1485174661882,69902336,68591128
1485174664936,70033408,68772856
1485174668031,70033408,68823576
1485174671215,70295552,68851216
1485174674498,70295552,68881176
1485174679393,70295552,68958168
1485174682505,70426624,69074160
1485174685704,70492160,69133216
1485174689054,70492160,69121696
1485174692354,70492160,69126888
1485174695484,70492160,69126888
1485174698605,70492160,69140784
1485174702092,70557696,69190640
1485174705215,70557696,69193456
1485174709041,70557696,69086768
