timestamp_ms,max_in_bytes,peak_max_in_bytes,peak_used_in_bytes,used_in_bytes
1485174520456,724828160,724828160,14439272,14439272
1485174523619,724828160,724828160,14439272,14439272
1485174527116,724828160,724828160,14439272,14439272
1485174530139,724828160,724828160,14439272,14439272
1485174533324,724828160,724828160,14439272,14439272
1485174536326,724828160,724828160,25574928,25574928
1485174539733,724828160,724828160,25574928,25574928
1485174542772,724828160,724828160,25574928,25574928
1485174546059,724828160,724828160,25574928,25574928
1485174549077,724828160,724828160,25574928,25574928
1485174552771,724828160,724828160,39971752,39971752
1485174556114,724828160,724828160,39971752,39971752
1485174559132,724828160,724828160,39971752,39971752
1485174562316,724828160,724828160,39971752,39971752
1485174565416,724828160,724828160,39971752,39971752
1485174568743,724828160,724828160,56583080,56583080
1485174571769,724828160,724828160,56583080,56583080
1485174574920,724828160,724828160,56583080,56583080
1485174578098,724828160,724828160,56583080,56583080
1485174581386,724828160,724828160,56583080,56583080
1485174584476,724828160,724828160,74402400,74402400
1485174587494,724828160,724828160,74402400,74402400
1485174590721,724828160,724828160,74402400,74402400
1485174593964,724828160,724828160,74402400,74402400
1485174598604,724828160,724828160,95238784,95238784
1485174601860,724828160,724828160,95238784,95238784
1485174605390,724828160,724828160,95238784,95238784
1485174608410,724828160,724828160,95238784,95238784
1485174611673,724828160,724828160,95238784,95238784
1485174614707,724828160,724828160,118130944,118130944
1485174617733,724828160,724828160,118130944,118130944
1485174620758,724828160,724828160,118130944,118130944
1485174622971,724828160,724828160,118130944,118130944
1485174626479,724828160,724828160,118130944,118130944
1485174629868,724828160,724828160,118130944,118130944
1485174633051,724828160,724828160,118130944,118130944
1485174636196,724828160,724828160,118130944,118130944
1485174639671,724828160,724828160,134557384,134557384
1485174642687,724828160,724828160,134557384,84842384
1485174645706,724828160,724828160,134557384,84842384
1485174647965,724828160,724828160,134557384,84842384
1485174650987,724828160,724828160,134557384,84842384
1485174655267,724828160,724828160,134557384,84842384
1485174658743,724828160,724828160,134557384,87205304
1485174661842,724828160,724828160,134557384,88700360
1485174665012,724828160,724828160,134557384,88700360
1485174668069,724828160,724828160,134557384,88700360
1485174671177,724828160,724828160,134557384,88700360
1485174674502,724828160,724828160,134557384,91682352
