timestamp_ms,max_in_bytes,peak_max_in_bytes,peak_used_in_bytes,used_in_bytes
1485174277484,724828160,724828160,11751872,11751872
1485174280537,724828160,724828160,11751872,11751872
1485174283548,724828160,724828160,11751872,11751872
1485174286555,724828160,724828160,11751872,11751872
1485174289564,724828160,724828160,32353216,32353216
1485174292621,724828160,724828160,42607768,37313128
1485174295627,724828160,724828160,55146504,55146504
1485174298634,724828160,724828160,62287600,62287600
1485174301640,724828160,724828160,85321072,85321072
1485174304649,724828160,724828160,85321072,85321072
1485174307659,724828160,724828160,107196576,107196576
1485174310666,724828160,724828160,107196576,107196576
1485174313717,724828160,724828160,125218976,125218976
1485174316736,724828160,724828160,141162632,44469224
1485174319772,724828160,724828160,141162632,50022472
1485174322800,724828160,724828160,141162632,74347600
1485174325813,724828160,724828160,141162632,87999168
1485174328834,724828160,724828160,141162632,87999168
1485174331855,724828160,724828160,141162632,117068584
1485174334875,724828160,724828160,141162632,24677040
1485174337890,724828160,724828160,141162632,24677040
1485174340901,724828160,724828160,141162632,50532552
1485174343920,724828160,724828160,141162632,72795952
1485174346947,724828160,724828160,141162632,72795952
1485174349973,724828160,724828160,141162632,79362496
1485174353028,724828160,724828160,141162632,90296376
1485174356048,724828160,724828160,141162632,114002792
1485174359155,724828160,724828160,141162632,114002792
1485174362226,724828160,724828160,141162632,114002792
1485174365249,724828160,724828160,141162632,133180248
1485174368303,724828160,724828160,145459552,48793752
1485174371585,724828160,724828160,145459552,53396712
1485174374607,724828160,724828160,145459552,53557480
1485174377663,724828160,724828160,145459552,83137512
1485174380681,724828160,724828160,145459552,103808496
1485174383723,724828160,724828160,145459552,111930624
1485174386776,724828160,724828160,145459552,133187600
1485174389939,724828160,724828160,154168016,46030984
1485174392953,724828160,724828160,154168016,46030984
1485174395969,724828160,724828160,154168016,46030984
1485174398994,724828160,724828160,154168016,59616384
1485174402038,724828160,724828160,154168016,65585416
1485174405233,724828160,724828160,154168016,71622736
1485174408304,724828160,724828160,154168016,85411728
1485174412851,724828160,724828160,154168016,89778408
1485174415962,724828160,724828160,154168016,98803912
1485174419274,724828160,724828160,154168016,122182336
1485174422217,724828160,724828160,154168016,137661256
1485174425400,724828160,724828160,154168016,103460792
1485174429133,724828160,724828160,154168016,72684784
1485174432062,724828160,724828160,154168016,80645992
1485174435575,724828160,724828160,154168016,109164464
1485174438045,724828160,724828160,154168016,110051832
1485174441361,724828160,724828160,154168016,125362168
1485174445371,724828160,724828160,154168016,143844504
1485174448218,724828160,724828160,154168016,78570392
1485174450509,724828160,724828160,154168016,83502432
1485174454664,724828160,724828160,154168016,99215744
1485174457412,724828160,724828160,154168016,112158888
1485174460862,724828160,724828160,154168016,127380912
1485174464016,724828160,724828160,154168016,112812520
1485174467689,724828160,724828160,154168016,86313048
1485174470746,724828160,724828160,154168016,97488368
1485174474453,724828160,724828160,154168016,119631112
1485174477603,724828160,724828160,154168016,132898048
1485174480632,724828160,724828160,154168016,117718312
1485174483711,724828160,724828160,154168016,84565256
1485174486725,724828160,724828160,154168016,91982200
1485174489741,724828160,724828160,154168016,104032896
1485174492011,724828160,724828160,154168016,123186184
1485174495861,724828160,724828160,154168016,139721720
1485174499221,724828160,724828160,154168016,85874824
1485174502233,724828160,724828160,154168016,103869704
1485174505439,724828160,724828160,154168016,111086576
1485174508473,724828160,724828160,154168016,124259144
1485174511521,724828160,724828160,154168016,139035344
1485174514537,724828160,724828160,154168016,95792896
1485174517267,724828160,724828160,154168016,104561832
1485174520361,724828160,724828160,154168016,119036832
1485174523582,724828160,724828160,154168016,131661584
1485174527003,724828160,724828160,154168016,145014240
1485174530131,724828160,724828160,154168016,100269240
1485174533328,724828160,724828160,154168016,116754888
1485174536340,724828160,724828160,154168016,134516176
1485174539735,724828160,724828160,154168016,144020088
1485174542764,724828160,724828160,154168016,99644976
1485174546011,724828160,724828160,154168016,119644232
1485174549227,724828160,724828160,154168016,122976968
1485174552697,724828160,724828160,154168016,143978840
1485174556116,724828160,724828160,154168016,126233752
1485174559135,724828160,724828160,154168016,111338488
1485174562378,724828160,724828160,154168016,128729688
1485174565400,724828160,724828160,154168016,142721928
1485174568744,724828160,724828160,154168016,154110536
1485174571772,724828160,724828160,154168016,114006776
1485174574924,724828160,724828160,154168016,128723784
1485174578117,724828160,724828160,154168016,146301208
1485174581389,724828160,724828160,154168016,106961504
1485174584477,724828160,724828160,154168016,116312704
1485174587528,724828160,724828160,154168016,121259504
1485174590727,724828160,724828160,154168016,128499112
1485174593961,724828160,724828160,154168016,146931984
1485174598843,724828160,724828160,154168016,119643224
1485174601867,724828160,724828160,154168016,135810384
1485174605394,724828160,724828160,154168016,148002520
1485174608413,724828160,724828160,163956376,150826320
1485174611677,724828160,724828160,163956376,131991176
1485174614708,724828160,724828160,163956376,142667744
1485174617740,724828160,724828160,163956376,98653888
1485174620764,724828160,724828160,163956376,115644944
1485174622972,724828160,724828160,163956376,125813296
1485174626480,724828160,724828160,163956376,132749784
1485174629869,724828160,724828160,163956376,142605360
1485174633086,724828160,724828160,163956376,149210760
1485174636198,724828160,724828160,163956376,108886048
1485174639280,724828160,724828160,163956376,120351880
1485174642690,724828160,724828160,163956376,129801512
1485174645707,724828160,724828160,163956376,129801512
1485174647956,724828160,724828160,163956376,138462720
1485174652189,724828160,724828160,163956376,162229120
1485174655328,724828160,724828160,163956376,99828368
1485174658827,724828160,724828160,163956376,116178544
1485174661846,724828160,724828160,163956376,132429368
1485174664940,724828160,724828160,163956376,149449600
1485174668035,724828160,724828160,163956376,114329392
1485174671088,724828160,724828160,163956376,108827064
1485174674843,724828160,724828160,163956376,138171392
1485174679377,724828160,724828160,163956376,99392776
1485174682479,724828160,724828160,163956376,112652992
1485174685599,724828160,724828160,163956376,124090624
1485174689052,724828160,724828160,163956376,141711072
1485174692389,724828160,724828160,163956376,158694248
1485174695486,724828160,724828160,164245640,112754112
1485174698585,724828160,724828160,164245640,122606440
1485174702093,724828160,724828160,164245640,138414776
1485174705644,724828160,724828160,164245640,153632080
1485174708716,724828160,724828160,164245640,104804392
1485174712918,724828160,724828160,164245640,127408632
1485174717185,724828160,724828160,164245640,153409560
1485174720406,724828160,724828160,166376352,166376352
1485174722766,724828160,724828160,166376352,96702936
1485174725789,724828160,724828160,166376352,111428536
1485174728805,724828160,724828160,166376352,115733272
1485174732325,724828160,724828160,166376352,131841360
1485174735435,724828160,724828160,166376352,137386640
1485174739908,724828160,724828160,166376352,108941776
1485174742973,724828160,724828160,166376352,116216328
1485174745313,724828160,724828160,166376352,127191872
1485174748470,724828160,724828160,166376352,143323192
1485174751489,724828160,724828160,166376352,91732472
1485174756109,724828160,724828160,166376352,115620928
1485174759119,724828160,724828160,166376352,122343352
1485174762899,724828160,724828160,166376352,134568480
1485174766028,724828160,724828160,166376352,142706712
1485174769119,724828160,724828160,166376352,93406112
1485174773504,724828160,724828160,166376352,106769296
1485174776742,724828160,724828160,166376352,114429888
1485174780373,724828160,724828160,166376352,135159904
1485174783675,724828160,724828160,166376352,148236688
1485174787157,724828160,724828160,166376352,153368992
1485174790595,724828160,724828160,166376352,105720128
1485174793715,724828160,724828160,166376352,115363904
1485174798083,724828160,724828160,166376352,141735224
1485174801699,724828160,724828160,166376352,160492344
1485174804978,724828160,724828160,166376352,111392368
1485174808169,724828160,724828160,166376352,118491456
1485174811463,724828160,724828160,166376352,134994320
1485174814883,724828160,724828160,166376352,146784816
1485174818475,724828160,724828160,166376352,113238552
1485174821913,724828160,724828160,166376352,131345576
1485174825063,724828160,724828160,166376352,134135112
1485174828104,724828160,724828160,166376352,145028872
1485174830907,724828160,724828160,166376352,117789472
1485174834491,724828160,724828160,166376352,116934232
1485174837658,724828160,724828160,166376352,132282192
1485174840767,724828160,724828160,166376352,140876288
1485174843855,724828160,724828160,166376352,146357368
1485174848253,724828160,724828160,166376352,159822784
1485174851729,724828160,724828160,166376352,117515720
1485174854944,724828160,724828160,166376352,132510824
1485174858408,724828160,724828160,166376352,145329928
1485174861873,724828160,724828160,166376352,152996880
1485174864925,724828160,724828160,166376352,102755320
