timestamp_ms,max_in_bytes,peak_max_in_bytes,peak_used_in_bytes,used_in_bytes
1485174343923,724828160,724828160,25170328,25170328
1485174346962,724828160,724828160,38341576,38341576
1485174349973,724828160,724828160,52121368,52121368
1485174353030,724828160,724828160,78067240,78067240
1485174356044,724828160,724828160,86329456,49545384
1485174359189,724828160,724828160,86329456,71313528
1485174362225,724828160,724828160,87210592,87210592
1485174365248,724828160,724828160,116750608,116750608
1485174368308,724828160,724828160,132467096,132467096
1485174371583,724828160,724828160,149776080,58967376
1485174374604,724828160,724828160,149776080,84536936
1485174377660,724828160,724828160,149776080,119452520
1485174380684,724828160,724828160,149776080,138564272
1485174383731,724828160,724828160,150383368,71176344
1485174386867,724828160,724828160,150383368,87043960
1485174389940,724828160,724828160,150383368,90483056
1485174392950,724828160,724828160,150383368,110124688
1485174395972,724828160,724828160,150383368,110124688
1485174398992,724828160,724828160,150383368,110124688
1485174402040,724828160,724828160,150383368,128221008
1485174405250,724828160,724828160,150383368,133361560
1485174408300,724828160,724828160,150383368,140016936
1485174412607,724828160,724828160,150383368,42118424
1485174416072,724828160,724828160,150383368,48918112
1485174419098,724828160,724828160,150383368,62164408
1485174422386,724828160,724828160,150383368,76488080
1485174425421,724828160,724828160,150383368,83532848
1485174429191,724828160,724828160,150383368,94065944
1485174432073,724828160,724828160,150383368,108367088
1485174435575,724828160,724828160,150383368,129481200
1485174438057,724828160,724828160,150383368,142553384
1485174441359,724828160,724828160,150383368,61745192
1485174444890,724828160,724828160,150383368,77318368
1485174448274,724828160,724828160,150383368,85658784
1485174451563,724828160,724828160,150383368,102466328
1485174454666,724828160,724828160,150383368,109903376
1485174457217,724828160,724828160,150383368,123526512
1485174460880,724828160,724828160,150383368,138036248
1485174464640,724828160,724828160,150383368,65891816
1485174467687,724828160,724828160,150383368,74638352
1485174470745,724828160,724828160,150383368,83532264
1485174474498,724828160,724828160,150383368,100808120
1485174477604,724828160,724828160,150383368,117927376
1485174480666,724828160,724828160,150383368,132389160
1485174483699,724828160,724828160,150383368,48956680
1485174485745,724828160,724828160,150383368,55784320
1485174489740,724828160,724828160,150383368,72658872
1485174491999,724828160,724828160,150383368,84923512
