timestamp_ms,max_in_bytes,peak_max_in_bytes,peak_used_in_bytes,used_in_bytes
1485174520456,34865152,34865152,8912896,8912896
1485174523619,34865152,34865152,8912896,8912896
1485174527116,34865152,34865152,8912896,8912896
1485174530139,34865152,34865152,8912896,8912896
1485174533324,34865152,34865152,8912896,8912896
1485174536326,34865152,34865152,8912896,8912896
1485174539733,34865152,34865152,8912896,8912896
1485174542772,34865152,34865152,8912896,8912896
1485174546059,34865152,34865152,8912896,8912896
1485174549077,34865152,34865152,8912896,8912896
1485174552771,34865152,34865152,8912896,8912896
1485174556114,34865152,34865152,8912896,8912896
1485174559132,34865152,34865152,8912896,8912896
1485174562316,34865152,34865152,8912896,8912896
1485174565416,34865152,34865152,8912896,8912896
1485174568743,34865152,34865152,8912896,8912896
1485174571769,34865152,34865152,8912896,8912896
1485174574920,34865152,34865152,8912896,8912896
1485174578098,34865152,34865152,8912896,8912896
1485174581386,34865152,34865152,8912896,8912896
1485174584476,34865152,34865152,8912896,8912896
1485174587494,34865152,34865152,8912896,8912896
1485174590721,34865152,34865152,8912896,8912896
1485174593964,34865152,34865152,8912896,8912896
1485174598604,34865152,34865152,8912896,8912896
1485174601860,34865152,34865152,8912896,8912896
1485174605390,34865152,34865152,8912896,8912896
1485174608410,34865152,34865152,8912896,8912896
1485174611673,34865152,34865152,8912896,8912896
1485174614707,34865152,34865152,8912896,8912896
1485174617733,34865152,34865152,8912896,8912896
1485174620758,34865152,34865152,8912896,8912896
1485174622971,34865152,34865152,8912896,8912896
1485174626479,34865152,34865152,8912896,8912896
1485174629868,34865152,34865152,8912896,8912896
1485174633051,34865152,34865152,8912896,8912896
1485174636196,34865152,34865152,8912896,8912896
1485174639671,34865152,34865152,8912896,8912896
1485174642687,34865152,34865152,8912896,6750464
1485174645706,34865152,34865152,8912896,880608
1485174647965,34865152,34865152,8912896,880608
1485174650987,34865152,34865152,8912896,2564656
1485174655267,34865152,34865152,8912896,5143160
1485174658743,34865152,34865152,8912896,6035920
1485174661842,34865152,34865152,8912896,4651488
1485174665012,34865152,34865152,8912896,4651488
1485174668069,34865152,34865152,8912896,6400216
1485174671177,34865152,34865152,8912896,6400216
1485174674502,34865152,34865152,8912896,8912896
1485174679394,34865152,34865152,8912896,8912896
1485174682490,34865152,34865152,8912896,8912896
1485174685600,34865152,34865152,8912896,8912896
1485174689029,34865152,34865152,8912896,8912896
1485174692466,34865152,34865152,8912896,8912896
1485174695560,34865152,34865152,8912896,8912896
1485174698603,34865152,34865152,8912896,8912896
1485174702094,34865152,34865152,8912896,8912896
1485174705213,34865152,34865152,8912896,8912896
1485174708719,34865152,34865152,8912896,8912896
1485174712915,34865152,34865152,8912896,8912896
1485174715989,34865152,34865152,8912896,8912896
1485174720337,34865152,34865152,8912896,8912896
1485174722780,34865152,34865152,8912896,8912896
1485174725795,34865152,34865152,8912896,8912896
1485174728809,34865152,34865152,8912896,8912896
1485174732424,34865152,34865152,8912896,6623264
1485174735587,34865152,34865152,8912896,7672872
1485174738646,34865152,34865152,8912896,6446328
1485174742964,34865152,34865152,8912896,5850928
1485174745455,34865152,34865152,8912896,8054808
1485174748472,34865152,34865152,8912896,8054808
1485174751486,34865152,34865152,8912896,8912896
1485174756099,34865152,34865152,8912896,8912896
1485174759219,34865152,34865152,8912896,8912896
1485174761315,34865152,34865152,8912896,8912896
1485174766069,34865152,34865152,8912896,8912896
1485174769128,34865152,34865152,8912896,8433440
1485174772856,34865152,34865152,8912896,7600992
1485174776579,34865152,34865152,8912896,8196632
1485174780364,34865152,34865152,8912896,8553952
1485174783823,34865152,34865152,8912896,8912896
1485174787124,34865152,34865152,8912896,8912896
1485174790588,34865152,34865152,8912896,8912896
1485174793719,34865152,34865152,8912896,8912896
1485174798109,34865152,34865152,8912896,8912896
1485174801694,34865152,34865152,8912896,8912896
1485174805114,34865152,34865152,8912896,8912896
1485174808159,34865152,34865152,8912896,8912896
1485174811468,34865152,34865152,8912896,8675704
1485174814941,34865152,34865152,8912896,8912896
1485174818181,34865152,34865152,8912896,8912896
1485174821950,34865152,34865152,8912896,8912896
1485174825073,34865152,34865152,8912896,8623992
1485174828260,34865152,34865152,8912896,8912896
1485174830898,34865152,34865152,8912896,8605808
1485174834486,34865152,34865152,8912896,8912896
1485174837664,34865152,34865152,8912896,8912896
1485174840772,34865152,34865152,8912896,8912896
1485174843855,34865152,34865152,8912896,8912896
1485174848284,34865152,34865152,8912896,8912896
1485174851725,34865152,34865152,8912896,8655040
1485174854927,34865152,34865152,8912896,8196520
1485174858407,34865152,34865152,8912896,6499400
1485174861878,34865152,34865152,8912896,8912896
