timestamp_ms,max_in_bytes,peak_max_in_bytes,peak_used_in_bytes,used_in_bytes
1485174277484,34865152,34865152,8912896,8912896
1485174280537,34865152,34865152,8912896,8912896
1485174283548,34865152,34865152,8912896,8912896
1485174286555,34865152,34865152,8912896,8912896
1485174289564,34865152,34865152,8912896,8912896
1485174292621,34865152,34865152,8912896,5276544
1485174295627,34865152,34865152,8912896,8912896
1485174298634,34865152,34865152,8912896,5879472
1485174301640,34865152,34865152,8912896,7693152
1485174304649,34865152,34865152,8912896,7693152
1485174307659,34865152,34865152,8912896,5698584
1485174310666,34865152,34865152,8912896,5698584
1485174313717,34865152,34865152,8912896,8912896
1485174316736,34865152,34865152,8912896,3320016
1485174319772,34865152,34865152,8912896,8912896
1485174322800,34865152,34865152,8912896,8912896
1485174325813,34865152,34865152,8912896,3184216
1485174328834,34865152,34865152,8912896,3184216
1485174331855,34865152,34865152,8912896,8912896
1485174334875,34865152,34865152,8912896,3360384
1485174337890,34865152,34865152,8912896,3360384
1485174340901,34865152,34865152,8912896,8912896
1485174343920,34865152,34865152,8912896,3245704
1485174346947,34865152,34865152,8912896,3245704
1485174349973,34865152,34865152,8912896,8912896
1485174353028,34865152,34865152,8912896,7678592
1485174356048,34865152,34865152,8912896,5554496
1485174359155,34865152,34865152,8912896,3443200
1485174362226,34865152,34865152,8912896,3443200
1485174365249,34865152,34865152,8912896,5530400
1485174368303,34865152,34865152,8912896,7843712
1485174371585,34865152,34865152,8912896,3383200
1485174374607,34865152,34865152,8912896,8912896
1485174377663,34865152,34865152,8912896,3593888
1485174380681,34865152,34865152,8912896,8912896
1485174383723,34865152,34865152,8912896,2869816
1485174386776,34865152,34865152,8912896,6048632
1485174389939,34865152,34865152,8912896,4750248
1485174392953,34865152,34865152,8912896,3610920
1485174395969,34865152,34865152,8912896,3610920
1485174398994,34865152,34865152,8912896,8912896
1485174402038,34865152,34865152,8912896,8912896
1485174405233,34865152,34865152,8912896,8912896
1485174408304,34865152,34865152,8912896,7058744
1485174412851,34865152,34865152,8912896,5942640
1485174415962,34865152,34865152,8912896,8912896
1485174419274,34865152,34865152,8912896,5170416
1485174422217,34865152,34865152,8912896,7988640
1485174425400,34865152,34865152,8912896,8912896
1485174429133,34865152,34865152,8912896,8493624
1485174432062,34865152,34865152,8912896,8912896
1485174435575,34865152,34865152,8912896,7622560
1485174438045,34865152,34865152,8912896,8912896
1485174441361,34865152,34865152,8912896,8912896
1485174445371,34865152,34865152,8912896,8912896
1485174448218,34865152,34865152,8912896,5530816
