timestamp_ms,max_in_bytes,peak_max_in_bytes,peak_used_in_bytes,used_in_bytes
1485174343923,34865152,34865152,8912896,8912896
1485174346962,34865152,34865152,8912896,8912896
1485174349973,34865152,34865152,8912896,8912896
1485174353030,34865152,34865152,8912896,8912896
1485174356044,34865152,34865152,8912896,8912896
1485174359189,34865152,34865152,8912896,8912896
1485174362225,34865152,34865152,8912896,1714080
1485174365248,34865152,34865152,8912896,8912896
1485174368308,34865152,34865152,8912896,8912896
1485174371583,34865152,34865152,8912896,5417000
1485174374604,34865152,34865152,8912896,6055200
1485174377660,34865152,34865152,8912896,8912896
1485174380684,34865152,34865152,8912896,8912896
1485174383731,34865152,34865152,8912896,3072272
1485174386867,34865152,34865152,8912896,8446360
1485174389940,34865152,34865152,8912896,8912896
1485174392950,34865152,34865152,8912896,6884488
1485174395972,34865152,34865152,8912896,6884488
1485174398992,34865152,34865152,8912896,8813464
1485174402040,34865152,34865152,8912896,8912896
1485174405250,34865152,34865152,8912896,3630048
1485174408300,34865152,34865152,8912896,8912896
1485174412607,34865152,34865152,8912896,8493240
1485174416072,34865152,34865152,8912896,8912896
1485174419098,34865152,34865152,8912896,8512840
1485174422386,34865152,34865152,8912896,8912896
1485174425421,34865152,34865152,8912896,7040808
1485174429191,34865152,34865152,8912896,8912896
1485174432073,34865152,34865152,8912896,8912896
1485174435575,34865152,34865152,8912896,6329088
1485174438057,34865152,34865152,8912896,8912896
1485174441359,34865152,34865152,8912896,8910064
1485174444890,34865152,34865152,8912896,8912896
1485174448274,34865152,34865152,8912896,8912896
1485174451563,34865152,34865152,8912896,3129920
1485174454666,34865152,34865152,8912896,8912896
1485174457217,34865152,34865152,8912896,8026448
1485174460880,34865152,34865152,8912896,8912896
1485174464640,34865152,34865152,8912896,8912896
1485174467687,34865152,34865152,8912896,8912896
1485174470745,34865152,34865152,8912896,8912896
1485174474498,34865152,34865152,8912896,8912896
1485174477604,34865152,34865152,8912896,8912896
1485174480666,34865152,34865152,8912896,8912896
1485174483699,34865152,34865152,8912896,8912896
1485174485745,34865152,34865152,8912896,8912896
1485174489740,34865152,34865152,8912896,8912896
1485174491999,34865152,34865152,8912896,8912896
1485174495857,34865152,34865152,8912896,8912896
1485174499179,34865152,34865152,8912896,8912896
1485174502275,34865152,34865152,8912896,8912896
1485174505438,34865152,34865152,8912896,8912896
1485174508475,34865152,34865152,8912896,8912896
1485174511519,34865152,34865152,8912896,8912896
1485174514533,34865152,34865152,8912896,8912896
1485174517263,34865152,34865152,8912896,8912896
1485174520362,34865152,34865152,8912896,8912896
1485174523584,34865152,34865152,8912896,8912896
1485174526982,34865152,34865152,8912896,8912896
1485174530137,34865152,34865152,8912896,8912896
1485174533322,34865152,34865152,8912896,8912896
1485174536344,34865152,34865152,8912896,8912896
1485174539750,34865152,34865152,8912896,8912896
1485174542774,34865152,34865152,8912896,8912896
1485174546012,34865152,34865152,8912896,8912896
1485174549230,34865152,34865152,8912896,8912896
1485174552822,34865152,34865152,8912896,8051592
1485174556112,34865152,34865152,8912896,8912896
1485174559130,34865152,34865152,8912896,8912896
1485174562323,34865152,34865152,8912896,8912896
1485174565539,34865152,34865152,8912896,6747112
1485174568758,34865152,34865152,8912896,8912896
1485174571767,34865152,34865152,8912896,6654176
1485174574979,34865152,34865152,8912896,8912896
1485174578150,34865152,34865152,8912896,7861952
1485174581456,34865152,34865152,8912896,8912896
1485174584478,34865152,34865152,8912896,4960944
1485174587509,34865152,34865152,8912896,8912896
1485174590729,34865152,34865152,8912896,8912896
1485174593958,34865152,34865152,8912896,6197696
1485174598585,34865152,34865152,8912896,8912896
1485174602373,34865152,34865152,8912896,8912896
1485174605392,34865152,34865152,8912896,8912896
1485174608414,34865152,34865152,8912896,8912896
1485174611678,34865152,34865152,8912896,8912896
1485174614710,34865152,34865152,8912896,7209416
1485174617743,34865152,34865152,8912896,8912896
1485174620764,34865152,34865152,8912896,8800072
1485174622974,34865152,34865152,8912896,8912896
1485174626477,34865152,34865152,8912896,7957760
1485174629992,34865152,34865152,8912896,8912896
1485174633180,34865152,34865152,8912896,7779456
1485174636194,34865152,34865152,8912896,6085880
1485174639366,34865152,34865152,8912896,6892272
1485174642688,34865152,34865152,8912896,8912896
1485174645708,34865152,34865152,8912896,8912896
1485174647962,34865152,34865152,8912896,8912896
1485174650985,34865152,34865152,8912896,7180800
1485174655668,34865152,34865152,8912896,8912896
