timestamp_ms,max_in_bytes,peak_max_in_bytes,peak_used_in_bytes,used_in_bytes
1485174277484,279183360,279183360,71630848,39256040
1485174280537,279183360,279183360,71630848,61850760
1485174283548,279183360,279183360,71630848,61850760
1485174286555,279183360,279183360,71630848,62571864
1485174289564,279183360,279183360,71630848,21431656
1485174292621,279183360,279183360,71630848,18706088
1485174295627,279183360,279183360,71630848,68536040
1485174298634,279183360,279183360,71630848,69503072
1485174301640,279183360,279183360,71630848,50700152
1485174304649,279183360,279183360,71630848,59074280
1485174307659,279183360,279183360,71630848,28721256
1485174310666,279183360,279183360,71630848,42883888
1485174313717,279183360,279183360,71630848,68479224
1485174316736,279183360,279183360,71630848,58044288
1485174319772,279183360,279183360,71630848,15431112
1485174322800,279183360,279183360,71630848,60907584
1485174325813,279183360,279183360,71630848,25181880
1485174328834,279183360,279183360,71630848,49575112
1485174331855,279183360,279183360,71630848,62711416
1485174334875,279183360,279183360,71630848,37779376
1485174337890,279183360,279183360,71630848,40576080
1485174340901,279183360,279183360,71630848,14947144
1485174343920,279183360,279183360,71630848,34804992
1485174346947,279183360,279183360,71630848,48844024
1485174349973,279183360,279183360,71630848,5459800
1485174353028,279183360,279183360,71630848,52111456
1485174356048,279183360,279183360,71630848,38532104
1485174359155,279183360,279183360,71630848,53978080
1485174362226,279183360,279183360,71630848,63173888
1485174365249,279183360,279183360,71630848,23493184
1485174368303,279183360,279183360,71630848,18034712
1485174371585,279183360,279183360,71630848,26616272
1485174374607,279183360,279183360,71630848,22151416
1485174377663,279183360,279183360,71630848,57813048
1485174380681,279183360,279183360,71630848,56346504
1485174383723,279183360,279183360,71630848,15801048
1485174386776,279183360,279183360,71630848,49066464
1485174389939,279183360,279183360,71630848,59373008
1485174392953,279183360,279183360,71630848,12735304
1485174395969,279183360,279183360,71630848,14339632
1485174398994,279183360,279183360,71630848,26144120
1485174402038,279183360,279183360,71630848,70197264
1485174405233,279183360,279183360,71630848,53093800
1485174408304,279183360,279183360,71630848,51148616
1485174412851,279183360,279183360,71630848,21932064
1485174415962,279183360,279183360,71630848,48042208
1485174419274,279183360,279183360,71630848,62729192
1485174422217,279183360,279183360,71630848,14819544
1485174425400,279183360,279183360,71630848,55549600
1485174429133,279183360,279183360,71630848,9550880
1485174432062,279183360,279183360,71630848,68938568
1485174435575,279183360,279183360,71630848,20907992
1485174438045,279183360,279183360,71630848,62075392
1485174441361,279183360,279183360,71630848,45472720
1485174445371,279183360,279183360,71630848,4877656
1485174448218,279183360,279183360,71630848,14630008
1485174450509,279183360,279183360,71630848,34433888
1485174454664,279183360,279183360,71630848,45170560
1485174457412,279183360,279183360,71630848,9863232
1485174460862,279183360,279183360,71630848,39756384
1485174464016,279183360,279183360,71630848,49969008
1485174467689,279183360,279183360,71630848,71630848
1485174470746,279183360,279183360,71630848,61543144
1485174474453,279183360,279183360,71630848,34558424
1485174477603,279183360,279183360,71630848,44255424
1485174480632,279183360,279183360,71630848,373968
1485174483711,279183360,279183360,71630848,6321472
1485174486725,279183360,279183360,71630848,20044104
1485174489741,279183360,279183360,71630848,58141704
1485174492011,279183360,279183360,71630848,25201264
1485174495861,279183360,279183360,71630848,26613488
1485174499221,279183360,279183360,71630848,32807864
1485174502233,279183360,279183360,71630848,12445864
1485174505439,279183360,279183360,71630848,35841192
1485174508473,279183360,279183360,71630848,57589008
1485174511521,279183360,279183360,71630848,55685048
1485174514537,279183360,279183360,71630848,22496688
1485174517267,279183360,279183360,71630848,15257752
1485174520361,279183360,279183360,71630848,5338464
1485174523582,279183360,279183360,71630848,50445752
1485174527003,279183360,279183360,71630848,68994256
1485174530131,279183360,279183360,71630848,63884448
1485174533328,279183360,279183360,71630848,17567016
1485174536340,279183360,279183360,71630848,31075544
1485174539735,279183360,279183360,71630848,46365440
1485174542764,279183360,279183360,71630848,69742256
1485174546011,279183360,279183360,71630848,70193096
1485174549227,279183360,279183360,71630848,71337656
1485174552697,279183360,279183360,71630848,5593864
1485174556116,279183360,279183360,71630848,16217664
1485174559135,279183360,279183360,71630848,48423376
1485174562378,279183360,279183360,71630848,7345376
1485174565400,279183360,279183360,71630848,24242624
1485174568744,279183360,279183360,71630848,19561312
1485174571772,279183360,279183360,71630848,63898480
1485174574924,279183360,279183360,71630848,47723640
1485174578117,279183360,279183360,71630848,4485680
1485174581389,279183360,279183360,71630848,7902368
1485174584477,279183360,279183360,71630848,33137232
1485174587528,279183360,279183360,71630848,55827768
1485174590727,279183360,279183360,71630848,46554224
1485174593961,279183360,279183360,71630848,43460536
1485174598843,279183360,279183360,71630848,33717080
1485174601867,279183360,279183360,71630848,14128312
1485174605394,279183360,279183360,71630848,24286240
1485174608413,279183360,279183360,71630848,56409264
1485174611677,279183360,279183360,71630848,172104
1485174614708,279183360,279183360,71630848,44657768
1485174617740,279183360,279183360,71630848,5699176
1485174620764,279183360,279183360,71630848,20885704
1485174622972,279183360,279183360,71630848,19469752
1485174626480,279183360,279183360,71630848,47836696
1485174629869,279183360,279183360,71630848,69936592
1485174633086,279183360,279183360,71630848,29936480
1485174636198,279183360,279183360,71630848,4915808
1485174639280,279183360,279183360,71630848,24619592
1485174642690,279183360,279183360,71630848,61451096
1485174645707,279183360,279183360,71630848,62773952
1485174647956,279183360,279183360,71630848,68509792
1485174652189,279183360,279183360,71630848,29940632
1485174655328,279183360,279183360,71630848,63892472
1485174658827,279183360,279183360,71630848,46381064
1485174661846,279183360,279183360,71630848,11114312
1485174664940,279183360,279183360,71630848,8205688
1485174668035,279183360,279183360,71630848,61899000
1485174671088,279183360,279183360,71630848,70208680
1485174674843,279183360,279183360,71630848,18911704
1485174679377,279183360,279183360,71630848,53931176
1485174682479,279183360,279183360,71630848,47096576
1485174685599,279183360,279183360,71630848,14368696
1485174689052,279183360,279183360,71630848,37033568
1485174692389,279183360,279183360,71630848,37052040
1485174695486,279183360,279183360,71630848,26903224
1485174698585,279183360,279183360,71630848,42449576
1485174702093,279183360,279183360,71630848,10495440
1485174705644,279183360,279183360,71630848,3676928
1485174708716,279183360,279183360,71630848,17475328
1485174712918,279183360,279183360,71630848,36430312
1485174717185,279183360,279183360,71630848,50542440
1485174720406,279183360,279183360,71630848,47771072
1485174722766,279183360,279183360,71630848,55412480
1485174725789,279183360,279183360,71630848,21611336
1485174728805,279183360,279183360,71630848,64694872
1485174732325,279183360,279183360,71630848,55617280
1485174735435,279183360,279183360,71630848,69084560
1485174739908,279183360,279183360,71630848,45509704
