timestamp_ms,max_in_bytes,peak_max_in_bytes,peak_used_in_bytes,used_in_bytes
1485174343923,279183360,279183360,71630848,7380496
1485174346962,279183360,279183360,71630848,26077864
1485174349973,279183360,279183360,71630848,10066344
1485174353030,279183360,279183360,71630848,48909664
1485174356044,279183360,279183360,71630848,7946048
1485174359189,279183360,279183360,71630848,3791248
1485174362225,279183360,279183360,71630848,27779968
1485174365248,279183360,279183360,71630848,19469760
1485174368308,279183360,279183360,71630848,64549560
1485174371583,279183360,279183360,71630848,65671136
1485174374604,279183360,279183360,71630848,29715096
1485174377660,279183360,279183360,71630848,5417720
1485174380684,279183360,279183360,71630848,62243160
1485174383731,279183360,279183360,71630848,63989592
1485174386867,279183360,279183360,71630848,4221432
1485174389940,279183360,279183360,71630848,67957560
1485174392950,279183360,279183360,71630848,49285712
1485174395972,279183360,279183360,71630848,53230008
1485174398992,279183360,279183360,71630848,11609904
1485174402040,279183360,279183360,71630848,20967864
1485174405250,279183360,279183360,71630848,39319944
1485174408300,279183360,279183360,71630848,22050528
1485174412607,279183360,279183360,71630848,52971608
1485174416072,279183360,279183360,71630848,2149480
1485174419098,279183360,279183360,71630848,29949840
1485174422386,279183360,279183360,71630848,23972096
1485174425421,279183360,279183360,71630848,136128
1485174429191,279183360,279183360,71630848,19926152
1485174432073,279183360,279183360,71630848,37275576
1485174435575,279183360,279183360,71630848,69950968
1485174438057,279183360,279183360,71630848,26697816
1485174441359,279183360,279183360,71630848,15656400
1485174444890,279183360,279183360,71630848,7763992
1485174448274,279183360,279183360,71630848,55849320
1485174451563,279183360,279183360,71630848,55867744
1485174454666,279183360,279183360,71630848,41174352
1485174457217,279183360,279183360,71630848,36891232
1485174460880,279183360,279183360,71630848,33044320
1485174464640,279183360,279183360,71630848,11774216
1485174467687,279183360,279183360,71630848,13924952
1485174470745,279183360,279183360,71630848,42767624
1485174474498,279183360,279183360,71630848,52640
1485174477604,279183360,279183360,71630848,2943128
1485174480666,279183360,279183360,71630848,78944
1485174483699,279183360,279183360,71630848,52671512
1485174485745,279183360,279183360,71630848,65550960
1485174489740,279183360,279183360,71630848,37487672
1485174491999,279183360,279183360,71630848,32240872
1485174495857,279183360,279183360,71630848,17969312
1485174499179,279183360,279183360,71630848,56001296
1485174502275,279183360,279183360,71630848,10776
1485174505438,279183360,279183360,71630848,5874656
1485174508475,279183360,279183360,71630848,57736224
1485174511519,279183360,279183360,71630848,60178544
1485174514533,279183360,279183360,71630848,39779528
1485174517263,279183360,279183360,71630848,39237928
