timestamp_ms,load_average
1485174520699,19.54
1485174523719,19.54
1485174526983,19.58
1485174530136,19.58
1485174533342,20.17
1485174536360,20.64
1485174539731,20.64
1485174542771,21.39
1485174546058,21.68
1485174549076,21.68
1485174552770,22.18
1485174556170,22.17
1485174559188,22.17
1485174562315,22.56
1485174565423,22.91
1485174568876,22.91
1485174571893,23.4
1485174574919,23.4
1485174578093,22.97
1485174581451,22.89
1485174584475,22.89
1485174587493,22.98
1485174590719,23.22
1485174594030,23.22
1485174598602,22.88
1485174601852,23.29
1485174605389,23.27
1485174608410,23.27
1485174611669,23.17
1485174614704,23.17
1485174617732,23.47
1485174620757,23.2
1485174623795,23.2
1485174626876,23.74
1485174629889,23.74
1485174633050,24
1485174636208,24.48
1485174639636,24.48
1485174642686,24.6
1485174645705,24.64
1485174648721,24.64
1485174651857,24.67
1485174655266,24.67
1485174658740,24.85
1485174661841,25.02
1485174664978,25.02
1485174668026,25.18
1485174671082,24.85
1485174674484,24.85
1485174679885,24.54
1485174682903,24.5
1485174686235,24.3
1485174689625,24.3
1485174692783,24.27
1485174695869,23.93
1485174699158,23.93
1485174702178,24.26
1485174705206,24.26
1485174708698,23.67
1485174713681,24.02
1485174716936,24.1
1485174720307,24.1
1485174723483,24.49
1485174726660,25.17
1485174729687,25.17
1485174733165,25.4
1485174736254,25.13
1485174739537,25.13
1485174742962,24.08
1485174746038,24.23
1485174749169,24.23
1485174752228,24.53
1485174756092,25.21
1485174759215,25.21
1485174762268,24.55
1485174766065,25.39
1485174769090,25.39
1485174772696,25.76
1485174776577,25.86
1485174780352,26.19
1485174783623,26.19
1485174787117,26.66
1485174790555,26.52
1485174793698,26.52
1485174798106,26.24
1485174801670,26.22
1485174805068,26.22
1485174808150,25.8
1485174811466,25.42
1485174814823,25.42
1485174818017,25.55
1485174821902,26.06
1485174825042,26.06
1485174828259,25.74
1485174831276,26.16
1485174834473,26.16
1485174837636,25.99
1485174840954,26.07
1485174843971,26.07
1485174848281,26.46
1485174851841,25.86
1485174854942,25.86
1485174858748,26.6
1485174861875,27.27
1485174864924,27.27
1485174868167,28.13
1485174872795,28.68
1485174875920,28.79
1485174879375,28.79
1485174883238,29.36
1485174886569,29.09
1485174890032,29.09
1485174894754,29.65
1485174897799,29.68
1485174900834,29.86
1485174904664,29.86
1485174908204,30.19
1485174911787,30.34
1485174915605,30.55
1485174918947,30.55
1485174922376,30.11
1485174926025,30.11
1485174929386,30.1
1485174936104,30.48
1485174939150,30.48
1485174942359,30.92
1485174945932,30.93
1485174948956,30.93
1485174952129,31.25
1485174955152,31.25
1485174958791,30.83
1485174962402,30.77
1485174965793,30.38
1485174969099,30.38
1485174972614,30.27
1485174976223,30.09
1485174980822,30.24
1485174983864,30.24
1485174986888,30.06
1485174990096,30.06
1485174993706,29.74
1485174997079,29.68
1485175000833,29.68
1485175004294,29.78
1485175007333,29.72
1485175010824,29.66
1485175014986,29.66
1485175018116,29.61
1485175021760,29.64
1485175026138,29.43
1485175029797,29.43
1485175033076,30.04
1485175036847,29.87
1485175040062,29.87
1485175043746,29.8
1485175047965,29.98
1485175051585,30.38
1485175054942,30.38
1485175059065,30.67
1485175062182,30.38
1485175065478,30.59
1485175069448,30.59
1485175072464,30.94
1485175075945,31.03
1485175079395,31.03
1485175082739,31.18
1485175086791,30.93
1485175090254,30.93
1485175093600,30.77
1485175097402,30.71
1485175100754,30.98
1485175103771,30.98
1485175107457,30.66
1485175114025,30.44
1485175117850,30.49
1485175122406,30.53
1485175125424,30.65
1485175128852,30.65
1485175132576,30.2
1485175135605,29.22
1485175139538,29.22
1485175144084,29.52
1485175147104,29.24
1485175150326,29.24
1485175154325,29.7
1485175157480,29.56
1485175161089,29.28
1485175164723,29.28
1485175167754,29.26
1485175171235,29
1485175175064,29
1485175178238,27.87
1485175181500,28.29
1485175185712,28.34
1485175189313,28.34
1485175193113,28.48
1485175196858,28.52
1485175200350,28.52
1485175204065,29.12
1485175207706,29.03
1485175210728,28.95
1485175214045,28.95
1485175217205,29.03
1485175220860,28.55
1485175224615,28.55
1485175228161,28.82
1485175231592,29.16
1485175235497,29.31
1485175238943,29.31
1485175242713,29.2
1485175246105,29.18
1485175249699,29.18
1485175253127,29.33
1485175256808,29.54
1485175260253,29.54
1485175264685,30.06
1485175268118,30.38
1485175271136,30.59
1485175274781,30.86
1485175278958,30.86
1485175282074,30.63
1485175286345,30.82
1485175290086,30.82
1485175293156,30.6
1485175296651,29.91
1485175300792,29.91
1485175303819,29.51
1485175307376,29.71
1485175310693,29.34
1485175314031,29.34
1485175318151,28.83
1485175321418,28.84
1485175324439,28.84
1485175327905,28.85
1485175331309,28.87
1485175334487,28.87
1485175338508,28.48
1485175341831,28.6
1485175345074,28.6
1485175348974,28.95
1485175352842,28.79
1485175356226,28.65
1485175359492,28.65
1485175362691,28.68
1485175366013,28.94
1485175369081,28.94
1485175373113,29.19
1485175377082,29.66
1485175380238,29.66
1485175383767,30.32
1485175387468,29.82
1485175391144,30.39
1485175394521,30.39
1485175398145,30.12
1485175401239,30.67
1485175404825,30.67
1485175408399,30.62
1485175411417,30.25
1485175414480,30.25
1485175417659,29.11
1485175420920,28.7
1485175423997,28.7
1485175427014,28
1485175430204,28
1485175433408,26.56
1485175436562,25.63
1485175439757,25.63
1485175442885,25.26
1485175446250,24.28
1485175449267,24.28
1485175452308,23.86
1485175455434,23.86
1485175458589,22.99
1485175461609,21.79
1485175464625,21.79
1485175467669,20.2
1485175470795,18.74
1485175473811,18.74
1485175476824,17.4
