timestamp_ms,load_average
1485174344113,3.42
1485174347294,3.63
1485174350355,3.63
1485174353377,4.14
1485174356394,4.77
1485174359463,4.77
1485174362487,5.19
1485174365510,5.19
1485174368731,5.57
1485174371882,5.93
1485174374914,5.93
1485174377979,6.49
1485174381289,7.26
1485174384302,7.26
1485174387324,7.32
1485174390400,7.32
1485174393649,7.69
1485174396667,7.47
1485174399716,7.47
1485174402762,8.24
1485174405789,8.24
1485174408806,9.26
1485174412456,9.8
1485174415947,10.94
1485174419090,10.94
1485174422342,11.98
1485174425418,12.87
1485174429186,12.87
1485174432390,13.2
1485174435569,14.06
1485174438697,14.06
1485174441751,14.78
1485174444857,14.78
1485174448401,15.76
1485174451504,16.26
1485174454662,16.26
1485174457844,16.08
1485174460859,16.15
1485174463889,16.15
1485174468474,16.46
1485174471559,16.82
1485174474578,16.82
1485174477601,17.56
1485174480641,18.31
1485174483691,18.31
1485174486733,19.41
1485174489762,19.41
1485174492815,19.46
1485174495843,19.98
1485174499186,19.98
1485174502302,19.9
1485174505436,19.75
1485174508452,19.75
1485174511636,19.93
1485174514665,19.93
1485174517676,19.94
1485174520691,19.54
1485174523716,19.54
1485174526980,19.58
1485174530133,19.58
1485174533340,20.17
1485174536355,20.64
1485174539697,20.64
1485174542769,21.39
1485174546007,21.68
1485174549075,21.68
1485174552813,22.18
1485174556168,22.17
1485174559298,22.17
1485174562313,22.56
1485174565536,22.91
1485174568871,22.91
1485174571890,23.4
1485174574977,23.4
1485174578094,22.97
1485174581448,22.89
1485174584473,22.89
1485174587493,22.98
1485174590716,23.22
1485174594007,23.22
1485174598583,22.88
1485174601975,23.29
1485174605387,23.27
1485174608408,23.27
1485174611664,23.17
1485174614702,23.17
1485174617730,23.47
1485174620756,23.2
1485174623792,23.2
1485174626812,23.74
1485174629987,23.74
1485174633047,24
1485174636206,24.48
1485174639362,24.48
1485174642685,24.6
1485174645703,24.64
1485174648723,24.64
1485174651854,24.67
1485174655264,24.85
1485174658739,24.85
1485174661839,25.02
1485174664934,25.02
1485174668024,25.18
1485174671213,24.85
1485174674483,24.85
1485174679868,24.54
1485174682977,24.5
