timestamp_ms,free_percent,used_percent
1485174520699,15,85
1485174523719,15,85
1485174526983,15,85
1485174530136,15,85
1485174533342,14,86
1485174536360,14,86
1485174539731,14,86
1485174542771,14,86
1485174546058,14,86
1485174549076,13,87
1485174552770,13,87
1485174556170,13,87
1485174559188,13,87
1485174562315,13,87
1485174565423,13,87
1485174568876,13,87
1485174571893,12,88
1485174574919,12,88
1485174578093,12,88
1485174581451,12,88
1485174584475,12,88
1485174587493,12,88
1485174590719,12,88
1485174594030,12,88
1485174598602,11,89
1485174601852,11,89
1485174605389,11,89
1485174608410,11,89
1485174611669,11,89
1485174614704,10,90
1485174617732,10,90
1485174620757,10,90
1485174623795,10,90
1485174626876,10,90
1485174629889,9,91
1485174633050,9,91
1485174636208,9,91
1485174639636,9,91
1485174642686,9,91
1485174645705,9,91
1485174648721,9,91
1485174651857,9,91
1485174655266,9,91
1485174658740,9,91
1485174661841,8,92
1485174664978,8,92
1485174668026,8,92
1485174671082,9,91
1485174674484,8,92
1485174679885,8,92
1485174682903,8,92
1485174686235,8,92
1485174689625,8,92
1485174692783,7,93
1485174695869,7,93
1485174699158,7,93
1485174702178,7,93
1485174705206,6,94
1485174708698,6,94
1485174713681,6,94
1485174716936,5,95
1485174720307,5,95
1485174723483,5,95
1485174726660,5,95
1485174729687,4,96
1485174733165,4,96
1485174736254,4,96
1485174739537,4,96
1485174742962,4,96
1485174746038,3,97
1485174749169,3,97
1485174752228,3,97
1485174756092,3,97
1485174759215,3,97
1485174762268,3,97
1485174766065,2,98
1485174769090,2,98
1485174772696,2,98
1485174776577,2,98
1485174780352,3,97
1485174783623,2,98
1485174787117,3,97
1485174790555,2,98
1485174793698,2,98
1485174798106,2,98
1485174801670,2,98
1485174805068,2,98
1485174808150,2,98
1485174811466,2,98
1485174814823,2,98
1485174818017,2,98
1485174821902,2,98
1485174825042,2,98
1485174828259,2,98
1485174831276,2,98
1485174834473,2,98
1485174837636,2,98
1485174840954,2,98
1485174843971,2,98
1485174848281,2,98
1485174851841,2,98
1485174854942,2,98
1485174858748,2,98
1485174861875,2,98
1485174864924,2,98
1485174868167,2,98
1485174872795,2,98
1485174875920,2,98
1485174879375,2,98
1485174883238,2,98
1485174886569,2,98
1485174890032,2,98
1485174894754,1,99
1485174897799,2,98
1485174900834,2,98
1485174904664,2,98
1485174908204,2,98
1485174911787,2,98
1485174915605,2,98
1485174918947,2,98
1485174922376,2,98
1485174926025,2,98
1485174929386,2,98
1485174936104,2,98
1485174939150,2,98
1485174942359,2,98
1485174945932,2,98
1485174948956,2,98
1485174952129,2,98
1485174955152,2,98
1485174958791,2,98
1485174962402,2,98
1485174965793,2,98
1485174969099,2,98
1485174972614,1,99
1485174976223,2,98
1485174980822,2,98
1485174983864,2,98
1485174986888,2,98
1485174990096,2,98
1485174993706,2,98
1485174997079,1,99
1485175000833,2,98
1485175004294,2,98
1485175007333,2,98
1485175010824,2,98
1485175014986,2,98
1485175018116,1,99
1485175021760,2,98
1485175026138,1,99
1485175029797,2,98
1485175033076,2,98
1485175036847,2,98
1485175040062,2,98
1485175043746,2,98
1485175047965,2,98
1485175051585,2,98
1485175054942,2,98
1485175059065,2,98
1485175062182,2,98
1485175065478,2,98
1485175069448,2,98
1485175072464,2,98
1485175075945,2,98
1485175079395,2,98
1485175082739,2,98
1485175086791,2,98
1485175090254,2,98
1485175093600,2,98
1485175097402,2,98
1485175100754,2,98
1485175103771,2,98
1485175107457,2,98
1485175114025,2,98
1485175117850,1,99
1485175122406,2,98
1485175125424,2,98
1485175128852,2,98
1485175132576,1,99
1485175135605,2,98
1485175139538,2,98
1485175144084,2,98
1485175147104,2,98
1485175150326,2,98
1485175154325,2,98
1485175157480,2,98
1485175161089,2,98
1485175164723,2,98
1485175167754,2,98
1485175171235,2,98
1485175175064,2,98
1485175178238,2,98
1485175181500,2,98
1485175185712,2,98
1485175189313,2,98
1485175193113,2,98
1485175196858,2,98
1485175200350,2,98
1485175204065,2,98
1485175207706,3,97
1485175210728,2,98
1485175214045,2,98
1485175217205,3,97
1485175220860,3,97
1485175224615,3,97
1485175228161,3,97
1485175231592,3,97
1485175235497,3,97
1485175238943,2,98
1485175242713,2,98
1485175246105,2,98
1485175249699,2,98
1485175253127,2,98
1485175256808,2,98
1485175260253,2,98
1485175264685,2,98
1485175268118,2,98
1485175271136,2,98
1485175274781,2,98
1485175278958,1,99
1485175282074,2,98
1485175286345,2,98
1485175290086,2,98
1485175293156,2,98
1485175296651,1,99
1485175300792,2,98
1485175303819,2,98
1485175307376,2,98
1485175310693,2,98
1485175314031,2,98
1485175318151,3,97
1485175321418,2,98
1485175324439,2,98
1485175327905,2,98
1485175331309,2,98
1485175334487,2,98
1485175338508,2,98
1485175341831,2,98
1485175345074,2,98
1485175348974,2,98
1485175352842,2,98
1485175356226,2,98
1485175359492,2,98
1485175362691,2,98
1485175366013,1,99
1485175369081,2,98
1485175373113,2,98
1485175377082,2,98
1485175380238,2,98
1485175383767,2,98
1485175387468,2,98
1485175391144,15,85
1485175394521,16,84
1485175398145,16,84
1485175401239,15,85
1485175404825,30,70
1485175408399,31,69
1485175411417,31,69
1485175414480,30,70
1485175417659,30,70
1485175420920,29,71
1485175423997,29,71
1485175427014,28,72
1485175430204,28,72
1485175433408,27,73
1485175436562,26,74
1485175439757,25,75
1485175442885,25,75
1485175446250,24,76
1485175449267,24,76
1485175452308,23,77
1485175455434,24,76
1485175458589,25,75
1485175461609,27,73
1485175464625,26,74
1485175467669,27,73
1485175470795,26,74
1485175473811,26,74
1485175476824,26,74
