timestamp_ms,free_percent,used_percent
1485174277722,70,30
1485174280768,70,30
1485174283784,63,37
1485174286793,61,39
1485174289808,61,39
1485174292817,60,40
1485174295826,60,40
1485174298836,60,40
1485174301843,60,40
1485174304868,54,46
1485174307890,51,49
1485174310899,51,49
1485174313909,50,50
1485174316928,50,50
1485174319940,50,50
1485174322963,50,50
1485174325974,49,51
1485174328984,49,51
1485174332012,45,55
1485174335058,44,56
1485174338074,43,57
1485174341087,43,57
1485174344109,43,57
1485174347289,42,58
1485174350352,42,58
1485174353375,42,58
1485174356391,42,58
1485174359458,41,59
1485174362486,41,59
1485174365508,40,60
1485174368729,40,60
1485174371879,40,60
1485174374912,40,60
1485174377950,39,61
1485174381201,39,61
1485174384300,39,61
1485174387318,39,61
1485174390349,39,61
1485174393648,37,63
1485174396665,32,68
1485174399714,29,71
1485174402762,29,71
1485174405778,29,71
1485174408805,28,72
1485174412456,28,72
1485174415945,28,72
1485174419082,28,72
1485174422333,27,73
1485174425398,27,73
1485174429130,27,73
1485174432387,27,73
1485174435567,26,74
1485174438586,26,74
1485174441748,24,76
1485174444853,21,79
1485174448398,21,79
1485174451504,21,79
1485174454660,20,80
1485174457679,20,80
1485174460858,20,80
1485174463887,20,80
1485174468491,19,81
1485174471546,19,81
1485174474576,19,81
1485174477598,19,81
1485174480615,19,81
1485174483688,18,82
1485174486731,18,82
1485174489761,18,82
1485174492814,17,83
1485174495842,17,83
1485174499167,17,83
1485174502252,17,83
1485174505434,16,84
1485174508451,16,84
1485174511634,16,84
1485174514650,16,84
1485174517673,16,84
1485174520689,15,85
1485174523714,15,85
1485174526976,15,85
1485174530128,15,85
1485174533337,14,86
1485174536354,14,86
1485174539693,14,86
1485174542762,14,86
1485174546004,14,86
1485174549071,13,87
1485174552695,13,87
1485174556165,13,87
1485174559183,13,87
1485174562311,13,87
1485174565421,13,87
1485174568869,13,87
1485174571888,12,88
1485174574918,12,88
1485174578089,12,88
1485174581442,12,88
1485174584471,12,88
1485174587491,12,88
1485174590715,12,88
1485174594006,12,88
1485174598576,11,89
1485174601851,11,89
1485174605383,11,89
1485174608406,11,89
1485174611662,11,89
1485174614698,10,90
1485174617727,10,90
1485174620754,10,90
1485174623790,10,90
1485174626809,10,90
1485174629889,9,91
1485174633045,9,91
1485174636204,9,91
1485174639278,9,91
1485174642683,9,91
1485174645701,9,91
1485174648720,9,91
1485174651853,9,91
1485174655263,9,91
1485174658738,9,91
1485174661838,8,92
1485174664932,8,92
1485174668022,8,92
1485174671081,9,91
1485174674479,8,92
1485174679862,8,92
1485174682900,8,92
1485174686191,8,92
1485174689597,8,92
1485174692778,7,93
1485174695866,7,93
1485174699155,7,93
1485174702176,7,93
1485174705202,6,94
1485174708694,6,94
1485174713681,6,94
1485174716914,5,95
1485174720304,5,95
1485174723478,5,95
1485174726554,5,95
1485174729679,5,95
1485174733087,4,96
1485174736250,4,96
1485174739426,4,96
1485174742959,4,96
1485174746037,3,97
1485174749165,3,97
1485174752226,3,97
1485174756088,3,97
1485174759115,3,97
1485174762259,3,97
1485174765956,2,98
1485174769080,2,98
1485174772687,2,98
1485174776564,2,98
1485174780348,3,97
1485174783626,2,98
1485174787115,3,97
1485174790551,2,98
1485174793698,2,98
1485174798049,2,98
1485174801669,2,98
1485174804960,2,98
1485174808148,2,98
1485174811460,2,98
1485174814805,2,98
1485174818014,2,98
1485174821888,2,98
1485174825014,2,98
1485174828099,2,98
1485174831272,2,98
1485174834472,2,98
1485174837635,2,98
1485174840950,2,98
1485174843970,2,98
1485174848278,2,98
1485174851839,2,98
1485174854936,2,98
1485174858674,2,98
1485174861871,2,98
1485174864920,2,98
1485174868159,2,98
1485174872792,2,98
1485174875914,2,98
1485174879371,2,98
1485174883217,2,98
1485174886542,2,98
1485174890023,2,98
1485174894711,1,99
1485174897794,2,98
1485174900828,2,98
1485174904663,2,98
1485174908169,2,98
1485174911763,2,98
1485174915603,2,98
1485174918944,2,98
1485174922373,2,98
1485174925965,2,98
1485174929385,2,98
1485174936095,2,98
1485174939139,2,98
1485174942356,2,98
1485174945671,2,98
1485174948952,2,98
1485174952124,2,98
1485174955148,2,98
1485174958790,2,98
1485174962399,2,98
1485174965545,2,98
1485174969096,2,98
1485174972478,2,98
1485174976074,2,98
1485174980812,2,98
1485174983860,2,98
1485174986884,2,98
1485174990090,2,98
1485174993704,2,98
1485174996842,2,98
1485175000791,2,98
1485175004284,2,98
1485175007328,2,98
1485175010822,2,98
1485175014934,2,98
1485175018107,2,98
1485175021750,2,98
1485175026123,1,99
1485175029232,2,98
1485175033074,2,98
1485175036845,2,98
1485175039930,2,98
1485175043737,2,98
1485175047951,2,98
1485175051366,2,98
1485175054940,2,98
1485175058920,2,98
1485175062181,2,98
1485175065477,2,98
1485175069435,2,98
1485175072457,2,98
1485175075933,2,98
1485175079390,2,98
1485175082728,2,98
1485175086789,2,98
1485175090253,2,98
1485175093598,2,98
1485175097400,2,98
1485175100633,2,98
1485175103767,2,98
1485175107453,2,98
1485175114022,2,98
1485175117849,1,99
1485175122401,2,98
1485175125420,2,98
1485175128851,2,98
1485175132572,1,99
1485175135601,2,98
1485175139472,2,98
1485175144079,2,98
1485175147099,2,98
1485175150322,2,98
1485175154318,2,98
1485175157474,2,98
1485175160956,2,98
1485175164718,2,98
1485175167748,2,98
1485175171230,2,98
1485175175062,2,98
1485175178129,2,98
1485175181497,2,98
1485175185708,2,98
1485175189301,2,98
1485175193109,2,98
1485175196853,2,98
1485175200128,2,98
1485175204063,2,98
1485175207693,3,97
1485175210724,2,98
1485175214039,2,98
1485175217200,3,97
1485175220772,3,97
1485175224582,3,97
1485175228151,3,97
1485175231575,3,97
1485175235443,3,97
1485175238934,2,98
1485175242484,2,98
1485175246091,2,98
1485175249691,2,98
1485175253105,2,98
1485175256806,2,98
1485175260251,2,98
1485175264617,2,98
1485175268116,2,98
1485175271136,2,98
1485175274702,2,98
1485175278959,1,99
1485175282040,2,98
1485175286173,2,98
1485175290084,2,98
1485175293139,2,98
1485175296643,2,98
1485175300786,2,98
1485175303814,2,98
1485175307373,2,98
1485175310690,2,98
1485175314029,2,98
1485175318129,3,97
1485175321416,2,98
1485175324433,2,98
1485175327902,2,98
1485175331306,2,98
1485175334484,2,98
1485175338505,2,98
1485175341825,2,98
1485175345071,2,98
1485175348971,2,98
1485175352821,2,98
1485175356202,2,98
1485175359478,2,98
1485175362690,2,98
1485175366010,1,99
1485175369067,2,98
1485175373112,2,98
1485175376964,2,98
1485175380235,2,98
1485175383771,2,98
1485175387468,2,98
1485175391141,15,85
1485175394521,16,84
1485175398132,16,84
1485175401238,15,85
1485175404769,30,70
1485175408397,31,69
1485175411412,31,69
1485175414483,30,70
1485175417639,30,70
1485175420921,29,71
1485175423991,29,71
1485175427016,28,72
1485175430210,28,72
1485175433403,27,73
1485175436559,26,74
1485175439590,25,75
1485175442884,25,75
1485175446246,24,76
1485175449268,24,76
1485175452308,23,77
1485175455438,24,76
1485175458579,25,75
1485175461606,27,73
1485175464623,26,74
1485175467666,27,73
1485175470793,26,74
1485175473810,26,74
1485175476822,26,74
