timestamp_ms,free_percent,used_percent
1485174344113,43,57
1485174347294,42,58
1485174350355,42,58
1485174353377,42,58
1485174356394,42,58
1485174359463,41,59
1485174362487,41,59
1485174365510,40,60
1485174368731,40,60
1485174371882,40,60
1485174374914,40,60
1485174377979,39,61
1485174381289,39,61
1485174384302,39,61
1485174387324,39,61
1485174390400,39,61
1485174393649,37,63
1485174396667,32,68
1485174399716,29,71
1485174402762,29,71
1485174405789,29,71
1485174408806,28,72
1485174412456,28,72
1485174415947,28,72
1485174419090,28,72
1485174422342,27,73
1485174425418,27,73
1485174429186,27,73
1485174432390,27,73
1485174435569,26,74
1485174438697,26,74
1485174441751,24,76
1485174444857,21,79
1485174448401,21,79
1485174451504,21,79
1485174454662,20,80
1485174457844,20,80
1485174460859,20,80
1485174463889,20,80
1485174468474,19,81
1485174471559,19,81
1485174474578,19,81
1485174477601,19,81
1485174480641,19,81
1485174483691,18,82
1485174486733,18,82
1485174489762,18,82
1485174492815,17,83
1485174495843,17,83
1485174499186,17,83
1485174502302,17,83
1485174505436,16,84
1485174508452,16,84
1485174511636,16,84
1485174514665,16,84
1485174517676,16,84
1485174520691,15,85
1485174523716,15,85
1485174526980,15,85
1485174530133,15,85
1485174533340,14,86
1485174536355,14,86
1485174539697,14,86
1485174542769,14,86
1485174546007,14,86
1485174549075,13,87
1485174552813,13,87
1485174556168,13,87
1485174559298,13,87
1485174562313,13,87
1485174565536,13,87
1485174568871,13,87
1485174571890,12,88
1485174574977,12,88
1485174578094,12,88
1485174581448,12,88
1485174584473,12,88
1485174587493,12,88
1485174590716,12,88
1485174594007,12,88
1485174598583,11,89
1485174601975,11,89
1485174605387,11,89
1485174608408,11,89
1485174611664,11,89
1485174614702,10,90
1485174617730,10,90
1485174620756,10,90
1485174623792,10,90
1485174626812,10,90
1485174629987,9,91
1485174633047,9,91
1485174636206,9,91
1485174639362,9,91
1485174642685,9,91
1485174645703,9,91
1485174648723,9,91
1485174651854,9,91
1485174655264,9,91
1485174658739,9,91
1485174661839,8,92
1485174664934,8,92
1485174668024,8,92
1485174671213,9,91
1485174674483,8,92
1485174679868,8,92
1485174682977,8,92
1485174686185,8,92
1485174689615,8,92
1485174692781,7,93
1485174695867,7,93
1485174699156,7,93
1485174702180,7,93
1485174705205,6,94
1485174708696,6,94
1485174713765,6,94
1485174716973,5,95
1485174720305,5,95
1485174723481,5,95
1485174726556,5,95
1485174729684,4,96
1485174733091,4,96
1485174736257,4,96
1485174739529,4,96
1485174742960,4,96
1485174746101,3,97
1485174749166,3,97
1485174752294,3,97
1485174756089,3,97
1485174759117,3,97
1485174762265,3,97
1485174765970,2,98
1485174769143,2,98
1485174772679,2,98
1485174776577,2,98
1485174780349,3,97
1485174783621,2,98
1485174787119,3,97
1485174790553,2,98
1485174793812,2,98
1485174798084,2,98
1485174801669,2,98
1485174805032,2,98
1485174808235,2,98
1485174811463,2,98
1485174814822,2,98
1485174818025,2,98
1485174822001,2,98
1485174825027,2,98
1485174828190,2,98
1485174831274,2,98
1485174834511,2,98
1485174837675,2,98
1485174840952,2,98
1485174844198,2,98
1485174848502,2,98
1485174851918,2,98
1485174854937,2,98
1485174858676,2,98
1485174861883,2,98
1485174864921,2,98
1485174868171,2,98
1485174872793,2,98
1485174875915,2,98
1485174879373,2,98
1485174883230,2,98
1485174886559,2,98
1485174890032,2,98
1485174894715,1,99
1485174897796,2,98
1485174900831,2,98
1485174905152,2,98
1485174908186,2,98
1485174911777,2,98
1485174915608,2,98
1485174918950,2,98
1485174922375,2,98
1485174925966,2,98
1485174929486,2,98
1485174936101,2,98
1485174939141,2,98
1485174942357,2,98
1485174945719,2,98
1485174948954,2,98
1485174952127,2,98
1485174955150,2,98
1485174958835,2,98
1485174962401,2,98
1485174965546,2,98
1485174969098,2,98
1485174972479,2,98
1485174976076,2,98
1485174980815,2,98
1485174983862,2,98
1485174986886,2,98
1485174990093,2,98
1485174993705,2,98
1485174996869,2,98
1485175000793,2,98
1485175004292,2,98
1485175007330,2,98
1485175011334,2,98
1485175014942,2,98
1485175018113,1,99
1485175021777,2,98
1485175026123,1,99
1485175029405,2,98
1485175033125,2,98
1485175036909,2,98
1485175039942,2,98
1485175043740,2,98
1485175047957,2,98
1485175051368,2,98
1485175054942,2,98
1485175058922,2,98
1485175062185,2,98
1485175065525,2,98
1485175069446,2,98
1485175072458,2,98
1485175075933,2,98
1485175079392,2,98
1485175082735,2,98
1485175086931,2,98
1485175090516,2,98
1485175093598,2,98
1485175097404,2,98
1485175100635,2,98
1485175103768,2,98
1485175107454,2,98
1485175114023,2,98
1485175117850,2,98
1485175122404,2,98
1485175125421,2,98
1485175128963,2,98
1485175132574,1,99
1485175135602,2,98
1485175139506,2,98
1485175144082,2,98
1485175147101,2,98
1485175150407,2,98
1485175154320,2,98
1485175157477,2,98
1485175160958,2,98
1485175164721,2,98
1485175167751,2,98
1485175171234,2,98
1485175175114,2,98
1485175178131,2,98
1485175181497,2,98
1485175185711,2,98
1485175189309,2,98
1485175193110,2,98
1485175196857,2,98
1485175200132,2,98
1485175204150,2,98
1485175207703,3,97
1485175210726,2,98
1485175214042,2,98
1485175217258,3,97
1485175220773,3,97
1485175224600,3,97
1485175228162,3,97
1485175231574,3,97
1485175235444,3,97
1485175238952,2,98
1485175242485,2,98
1485175246122,2,98
1485175249697,2,98
1485175253129,2,98
1485175256807,2,98
1485175260296,2,98
1485175264616,2,98
1485175268119,2,98
1485175271138,2,98
1485175274721,2,98
1485175278955,1,99
1485175282096,2,98
1485175286175,2,98
1485175290088,2,98
1485175293157,2,98
1485175296721,1,99
1485175300788,2,98
1485175303817,2,98
1485175307430,2,98
1485175310690,2,98
1485175314030,2,98
1485175318148,3,97
1485175321423,2,98
1485175324436,2,98
1485175327903,2,98
1485175331458,2,98
1485175334847,2,98
1485175338639,2,98
1485175341828,2,98
1485175345086,2,98
1485175348972,2,98
1485175352823,2,98
1485175356237,2,98
1485175359491,2,98
1485175362700,2,98
1485175366014,1,99
1485175369079,2,98
1485175373119,2,98
1485175376984,2,98
1485175380237,2,98
1485175383765,2,98
1485175387591,2,98
1485175391142,15,85
1485175394522,16,84
1485175398198,16,84
1485175401390,15,85
1485175404770,30,70
1485175408399,31,69
1485175411415,31,69
1485175414486,30,70
1485175417651,30,70
1485175420923,29,71
1485175423993,29,71
1485175427013,28,72
1485175430218,28,72
1485175433540,27,73
1485175436569,26,74
1485175439592,25,75
1485175442886,25,75
1485175446248,24,76
1485175449269,24,76
1485175452311,23,77
1485175455441,24,76
1485175458586,25,75
1485175461609,27,73
1485175464624,26,74
1485175467672,27,73
1485175470799,26,74
1485175473811,26,74
1485175476829,26,74
