timestamp_ms,total_in_millis
1485174520456,11330
1485174523619,11700
1485174527116,12110
1485174530139,12580
1485174533324,13300
1485174536325,13930
1485174539733,14540
1485174542772,15040
1485174546059,15750
1485174549077,16500
1485174552771,17270
1485174556113,17990
1485174559132,18570
1485174562315,19120
1485174565408,19650
1485174568742,20230
1485174571769,20720
1485174574920,21350
1485174578098,21730
1485174581386,22000
1485174584475,22360
1485174587494,22830
1485174590721,23410
1485174593960,23730
1485174598604,24340
1485174601860,24700
1485174605389,25120
1485174608410,25670
1485174611672,26110
1485174614706,26600
1485174617733,26970
1485174620757,27300
1485174622971,27790
1485174626479,28620
1485174629868,29440
1485174633050,30200
1485174636196,31110
1485174639671,32060
1485174642686,32880
1485174645705,33640
1485174647964,34240
1485174650986,35090
1485174655266,36400
1485174658743,37350
1485174661841,38090
1485174665011,38870
1485174668069,39640
1485174671176,40440
1485174674502,41300
1485174679394,43030
1485174682490,44430
1485174685600,45680
1485174689029,46860
1485174692465,47860
1485174695560,49030
1485174698602,50340
1485174702094,51420
1485174705213,52430
1485174708718,53420
1485174712915,54530
1485174715989,55540
1485174720337,56710
1485174722780,57470
1485174725794,58510
1485174728809,59620
1485174732423,60890
1485174735586,61930
1485174738646,62590
1485174742963,63360
1485174745454,63880
1485174748471,64590
1485174751486,65050
1485174756098,65890
1485174759219,66670
1485174761315,67290
1485174766068,69000
1485174769128,70200
1485174772855,71350
1485174776579,72560
1485174780364,73720
1485174783823,74720
1485174787118,75650
1485174790569,76490
1485174793719,77380
1485174798109,78610
1485174801694,79690
1485174805114,80800
1485174808158,81880
1485174811468,82820
1485174814902,83880
1485174818181,84950
1485174821949,86150
1485174825064,86890
1485174828260,87580
1485174830898,88330
1485174834486,89620
1485174837663,90910
1485174840772,91860
1485174843855,92610
1485174848284,93710
1485174851725,94480
1485174854926,95290
1485174858407,95930
1485174861878,96800
1485174868182,98560
1485174872906,99870
1485174875931,100650
1485174879375,101480
1485174883507,102660
1485174886522,103650
1485174890044,104480
1485174893990,105350
1485174897277,106150
1485174901011,107200
1485174904881,108570
1485174908185,109610
1485174911792,110840
1485174915568,112120
1485174918958,113110
1485174922363,114170
1485174925374,115210
1485174928611,116230
1485174936128,118650
1485174939237,119780
1485174942249,121180
1485174945558,122350
1485174948891,123610
1485174952086,124790
1485174955189,126020
1485174958665,127350
1485174962481,129060
1485174965736,130460
1485174969177,131980
1485174972874,133390
1485174976227,134630
1485174980847,136730
1485174983479,137790
1485174986973,139170
1485174990040,140430
1485174993741,141820
1485174997084,143110
1485175000114,144380
1485175004231,146020
1485175007462,146970
1485175010487,147680
1485175014979,148700
1485175018157,149720
1485175021836,150980
1485175026140,152480
1485175029824,153500
1485175032971,154540
1485175036811,155760
1485175040213,156960
1485175043758,158000
1485175047927,159180
1485175051302,160610
1485175054897,162140
1485175059068,163550
1485175062197,164730
1485175065493,165830
1485175069324,167120
1485175072627,168240
1485175075936,169340
1485175079449,170420
1485175082770,171400
1485175086792,172580
1485175090199,173830
1485175093587,175090
1485175096766,176200
1485175100744,177460
1485175103917,178530
1485175107475,179680
1485175114248,182070
1485175117902,183540
1485175122408,184990
1485175125620,185880
1485175128834,186650
1485175132578,187390
1485175135627,187770
1485175139738,188990
1485175143747,190360
1485175146763,191120
1485175150210,192150
1485175154315,193530
1485175157491,194650
1485175160875,195850
1485175164727,197060
1485175167747,198150
1485175171110,199390
1485175175025,200470
1485175178239,201050
1485175181525,201980
1485175185716,203070
1485175189763,204080
1485175193012,205210
1485175196860,206770
1485175200130,207970
1485175203646,209280
1485175207707,210790
1485175210800,211900
1485175214051,213230
1485175217195,214530
1485175220670,215800
1485175223707,216590
1485175228163,218100
1485175232043,219870
1485175235507,221460
1485175238963,223200
1485175242810,224710
1485175246099,226160
1485175249441,227330
1485175253163,229040
1485175256793,230620
1485175260331,231810
1485175264435,233310
1485175267981,234740
1485175271008,236000
1485175275831,238600
1485175278964,240120
1485175282096,241720
1485175286662,243670
1485175289753,244910
1485175293140,246310
1485175296726,247680
1485175300164,248890
1485175303820,250740
1485175307343,252310
1485175310710,253780
1485175313991,254850
1485175317983,256320
1485175321289,257930
1485175324475,259090
1485175327907,260300
1485175331312,261550
1485175334490,262720
1485175338565,264430
1485175341881,265720
1485175345082,267090
1485175349422,268830
1485175352577,269940
1485175355860,271190
1485175359393,272610
1485175362704,273750
1485175365950,274830
1485175369045,275420
1485175373122,276620
1485175377085,277640
1485175380164,278660
1485175383697,279720
1485175387472,281290
1485175390716,282640
1485175394221,284920
1485175397844,287020
1485175401229,289050
1485175404688,291700
1485175408382,294910
1485175411421,297640
1485175414482,300170
1485175420918,304960
1485175423941,307260
1485175427046,309660
1485175430223,313280
1485175433410,316640
1485175436556,320090
1485175439761,322650
1485175442861,325640
1485175446188,328740
1485175449269,330260
1485175452287,331810
1485175455475,333510
1485175458559,334580
1485175461611,336830
1485175464635,338050
1485175467660,338140
1485175470786,340320
1485175473807,340340
1485175476814,341890
