timestamp_ms,total_in_millis
1485174277483,6950
1485174280536,8610
1485174283547,9410
1485174286554,9540
1485174289564,13080
1485174292621,17400
1485174295626,20240
1485174298633,20790
1485174301640,23530
1485174304649,23880
1485174307659,26020
1485174310666,26100
1485174313717,28470
1485174316736,30280
1485174319766,31110
1485174322800,34740
1485174325812,39530
1485174328834,39670
1485174331854,43290
1485174334875,46500
1485174337889,46600
1485174340901,48950
1485174343920,50480
1485174346947,51220
1485174349973,52260
1485174353028,54330
1485174356047,57040
1485174359154,58370
1485174362226,58640
1485174365249,61550
1485174368303,64680
1485174371584,66530
1485174374607,67480
1485174377658,70340
1485174380681,73270
1485174383723,75780
1485174386776,77900
1485174389938,80000
1485174392953,81730
1485174395968,82070
1485174398994,83480
1485174402038,84130
1485174405232,85110
1485174408304,86320
1485174412843,87320
1485174415962,88670
1485174419096,90290
1485174422216,91510
1485174425400,92830
1485174429132,94340
1485174432062,95500
1485174435574,97550
1485174438044,98710
1485174441322,100280
1485174445365,102150
1485174448218,103510
1485174450508,104790
1485174454664,106620
1485174457411,107970
1485174460862,109640
1485174463987,111090
1485174467689,113120
1485174470746,114930
1485174474453,117160
1485174477603,118720
1485174480631,120390
1485174483710,121890
1485174486725,123380
1485174489741,124810
1485174491996,125820
1485174495842,127800
1485174499221,129380
1485174502233,130720
1485174505439,132150
1485174508472,133390
1485174511521,134730
1485174514537,135940
1485174517266,137090
1485174520361,138470
1485174523581,139940
1485174527003,141600
1485174530130,143170
1485174533327,144710
1485174536340,146200
1485174539735,147770
1485174542763,149210
1485174546010,150520
1485174549226,151810
1485174552697,153290
1485174556116,154620
1485174559134,155840
1485174562377,157080
1485174565400,158320
1485174568744,159670
1485174571772,160840
1485174574923,161900
1485174578117,163100
1485174581388,164400
1485174584477,165510
1485174587527,166500
1485174590726,167660
1485174593961,168980
1485174598842,171090
1485174601867,172290
1485174605394,173660
1485174608412,174890
1485174611677,176240
1485174614708,177550
1485174617739,178770
1485174620763,179990
1485174622972,180740
1485174626480,182030
1485174629869,183210
1485174633086,184410
1485174636197,185390
1485174639279,186540
1485174642689,187780
1485174645707,188780
1485174647955,189560
1485174652189,191130
1485174655285,192060
1485174658827,193220
1485174661846,194160
1485174664939,195290
1485174668034,196660
1485174671087,197950
1485174674807,199810
1485174679376,201690
1485174682479,202860
1485174685599,204050
1485174689051,205590
1485174692371,207050
1485174695486,208270
1485174698584,209690
1485174702093,211330
1485174705644,212910
1485174708708,214340
1485174712917,216360
1485174717184,218320
1485174720406,219590
1485174722766,220450
1485174725789,221490
1485174728805,222420
1485174732325,223570
1485174735435,224500
1485174739908,226690
1485174742972,228090
1485174745312,229060
1485174748469,230620
1485174751489,231820
1485174756108,233630
1485174759119,234680
1485174762898,235700
1485174766028,236730
1485174769118,237580
1485174773504,238860
1485174776741,239780
1485174780372,241050
1485174783675,242120
1485174787153,243280
1485174790595,244640
1485174793715,245830
1485174798083,247630
1485174801698,249180
1485174804977,250450
1485174808169,251810
1485174811462,253250
1485174814882,254980
1485174818474,256720
1485174821913,258280
1485174825062,259490
1485174828103,260720
1485174830906,261860
1485174834490,263170
1485174837658,264620
1485174840767,265820
1485174843855,267080
1485174848252,268740
1485174851728,270320
1485174854925,271860
1485174858408,273250
1485174861872,274560
1485174864924,275490
1485174868161,276650
1485174872842,278220
1485174876179,279370
1485174879379,280450
1485174883265,281880
1485174886523,282880
1485174890201,284030
1485174893988,285260
1485174897280,286390
1485174900903,287560
1485174904682,288570
1485174908168,289550
1485174911716,290720
1485174915571,291910
1485174918955,292970
1485174922276,293950
1485174925387,294790
1485174930093,296360
1485174936118,298480
1485174939149,299510
1485174942244,300490
1485174945560,301640
1485174948862,302690
1485174952066,303630
1485174955241,304470
1485174958663,305770
1485174962416,306940
1485174965597,308000
1485174969083,309080
1485174972490,310090
1485174975901,311130
1485174980814,312790
1485174983485,313770
1485174986686,314810
1485174990043,315910
1485174993738,317230
1485174996849,318240
1485175000119,319560
1485175004201,320880
1485175007462,322090
1485175010490,323350
1485175014959,325210
1485175018727,326640
