timestamp_ms,active,completed,largest,queue,rejected,threads
1485174344113,0,0,0,0,0,0
1485174347294,0,0,0,0,0,0
1485174350355,1,0,1,0,0,1
1485174353377,0,4,4,0,0,4
1485174356394,0,4,4,0,0,4
1485174359463,0,4,4,0,0,4
1485174362487,0,4,4,0,0,4
1485174365510,1,8,4,0,0,4
1485174368731,2,10,4,0,0,4
1485174371882,0,12,4,0,0,4
1485174374914,0,12,4,0,0,4
1485174377979,1,16,4,0,0,4
1485174381289,1,21,4,0,0,4
1485174384302,0,22,4,0,0,4
1485174387324,0,27,4,0,0,4
1485174390400,3,29,4,0,0,4
1485174393649,0,32,4,0,0,4
1485174396667,0,32,4,0,0,4
1485174399716,3,33,4,0,0,4
1485174402762,0,37,4,0,0,4
1485174405789,1,37,4,0,0,4
1485174408806,3,39,4,0,0,4
1485174412456,2,42,4,0,0,4
1485174415947,3,42,4,0,0,4
1485174419090,3,45,4,0,0,4
1485174422342,3,48,4,0,0,4
1485174425418,1,51,4,0,0,4
1485174429186,4,52,4,0,0,4
1485174432390,4,55,4,1,0,4
1485174435569,4,58,4,2,0,4
1485174438697,4,61,4,1,0,4
1485174441751,4,65,4,0,0,4
1485174444857,4,66,4,3,0,4
1485174448401,4,70,4,2,0,4
1485174451504,4,73,4,1,0,4
1485174454662,4,75,4,1,0,4
1485174457844,4,78,4,0,0,4
1485174460859,4,81,4,1,0,4
1485174463889,4,84,4,1,0,4
1485174468474,3,88,4,0,0,4
1485174471559,2,91,4,0,0,4
1485174474578,4,91,4,2,0,4
1485174477601,4,95,4,1,0,4
1485174480641,4,98,4,1,0,4
1485174483691,4,101,4,0,0,4
1485174486733,3,104,4,0,0,4
1485174489762,4,106,4,1,0,4
1485174492815,4,110,4,2,0,4
1485174495843,3,114,4,0,0,4
1485174499186,2,117,4,0,0,4
1485174502302,4,118,4,1,0,4
1485174505436,4,122,4,1,0,4
1485174508452,4,125,4,1,0,4
1485174511636,4,128,4,0,0,4
1485174514665,3,132,4,0,0,4
1485174517676,3,135,4,0,0,4
1485174520691,4,137,4,2,0,4
1485174523716,4,141,4,1,0,4
1485174526980,3,143,4,0,0,4
1485174530133,4,146,4,0,0,4
1485174533340,4,148,4,0,0,4
1485174536355,4,150,4,1,0,4
1485174539697,4,152,4,1,0,4
1485174542769,4,155,4,0,0,4
1485174546007,3,158,4,0,0,4
1485174549075,3,159,4,0,0,4
1485174552813,4,162,4,1,0,4
1485174556168,4,164,4,0,0,4
1485174559298,4,166,4,1,0,4
1485174562313,4,167,4,1,0,4
1485174565536,4,170,4,0,0,4
1485174568871,4,172,4,2,0,4
1485174571890,4,175,4,0,0,4
1485174574977,4,176,4,2,0,4
1485174578094,4,179,4,2,0,4
1485174581448,4,182,4,0,0,4
1485174584473,3,186,4,0,0,4
1485174587493,4,187,4,0,0,4
1485174590716,3,190,4,0,0,4
1485174594007,1,193,4,0,0,4
1485174598583,4,195,4,0,0,4
1485174601975,4,198,4,0,0,4
1485174605387,4,199,4,2,0,4
1485174608408,4,202,4,2,0,4
1485174611664,3,206,4,0,0,4
1485174614702,3,209,4,0,0,4
1485174617730,4,210,4,0,0,4
1485174620756,3,213,4,0,0,4
1485174623792,3,215,4,0,0,4
1485174626812,3,217,4,0,0,4
1485174629987,3,219,4,0,0,4
1485174633047,3,221,4,0,0,4
1485174636206,2,222,4,0,0,4
1485174639362,3,224,4,0,0,4
1485174642685,4,226,4,0,0,4
1485174645703,4,228,4,2,0,4
1485174648723,4,230,4,1,0,4
1485174651854,4,232,4,1,0,4
1485174655264,4,236,4,1,0,4
1485174658739,4,239,4,0,0,4
1485174661839,4,241,4,1,0,4
1485174664934,4,244,4,0,0,4
1485174668024,1,248,4,0,0,4
1485174671213,3,249,4,0,0,4
1485174674483,4,251,4,2,0,4
1485174679868,4,258,4,1,0,4
1485174682977,4,260,4,2,0,4
