timestamp_ms,active,completed,largest,queue,rejected,threads
1485174520699,0,0,0,0,0,0
1485174523719,0,0,0,0,0,0
1485174526983,0,0,0,0,0,0
1485174530136,0,0,0,0,0,0
1485174533342,0,0,0,0,0,0
1485174536360,0,0,0,0,0,0
1485174539731,0,0,0,0,0,0
1485174542771,0,0,0,0,0,0
1485174546058,0,0,0,0,0,0
1485174549076,0,0,0,0,0,0
1485174552770,0,0,0,0,0,0
1485174556170,0,0,0,0,0,0
1485174559188,0,0,0,0,0,0
1485174562315,0,0,0,0,0,0
1485174565423,0,0,0,0,0,0
1485174568876,0,0,0,0,0,0
1485174571893,0,0,0,0,0,0
1485174574919,0,0,0,0,0,0
1485174578093,0,0,0,0,0,0
1485174581451,0,0,0,0,0,0
1485174584475,0,0,0,0,0,0
1485174587493,0,0,0,0,0,0
1485174590719,0,0,0,0,0,0
1485174594030,0,0,0,0,0,0
1485174598602,0,0,0,0,0,0
1485174601852,0,0,0,0,0,0
1485174605389,0,0,0,0,0,0
1485174608410,0,0,0,0,0,0
1485174611669,0,0,0,0,0,0
1485174614704,0,0,0,0,0,0
1485174617732,0,0,0,0,0,0
1485174620757,0,0,0,0,0,0
1485174623795,0,0,0,0,0,0
1485174626876,0,0,0,0,0,0
1485174629889,0,0,0,0,0,0
1485174633050,0,0,0,0,0,0
1485174636208,0,0,0,0,0,0
1485174639636,0,0,0,0,0,0
1485174642686,0,0,0,0,0,0
1485174645705,0,0,0,0,0,0
1485174648721,0,0,0,0,0,0
1485174651857,0,0,0,0,0,0
1485174655266,0,0,0,0,0,0
1485174658740,0,0,0,0,0,0
1485174661841,0,0,0,0,0,0
1485174664978,1,0,1,0,0,1
1485174668026,2,0,2,0,0,2
1485174671082,0,2,2,0,0,2
1485174674484,0,2,2,0,0,2
1485174679885,1,5,2,0,0,2
1485174682903,2,7,2,0,0,2
1485174686235,0,11,2,0,0,2
1485174689625,0,12,2,0,0,2
1485174692783,1,13,2,0,0,2
1485174695869,1,14,2,0,0,2
1485174699158,1,15,2,0,0,2
1485174702178,0,16,2,0,0,2
1485174705206,0,16,2,0,0,2
1485174708698,0,16,2,0,0,2
1485174713681,1,17,2,0,0,2
1485174716936,2,18,2,0,0,2
1485174720307,1,20,2,0,0,2
1485174723483,2,21,2,0,0,2
1485174726660,2,23,2,0,0,2
1485174729687,1,25,2,0,0,2
1485174733165,1,26,2,0,0,2
1485174736254,0,28,2,0,0,2
1485174739537,0,28,2,0,0,2
1485174742962,0,28,2,0,0,2
1485174746038,1,28,2,0,0,2
1485174749169,0,30,2,0,0,2
1485174752228,0,30,2,0,0,2
1485174756092,1,31,2,0,0,2
1485174759215,1,33,2,0,0,2
1485174762268,0,36,2,0,0,2
1485174766065,1,38,2,0,0,2
1485174769090,0,40,2,0,0,2
1485174772696,0,40,2,0,0,2
1485174776577,1,41,2,0,0,2
1485174780352,0,43,2,0,0,2
1485174783623,0,44,2,0,0,2
1485174787117,0,46,2,0,0,2
1485174790555,1,47,2,0,0,2
1485174793698,1,48,2,0,0,2
1485174798106,0,50,2,0,0,2
1485174801670,1,53,2,0,0,2
1485174805068,1,56,2,0,0,2
1485174808150,1,59,2,0,0,2
1485174811466,0,62,2,0,0,2
1485174814823,0,63,2,0,0,2
1485174818017,1,63,2,0,0,2
1485174821902,1,67,2,0,0,2
1485174825042,0,68,2,0,0,2
1485174828259,1,68,2,0,0,2
1485174831276,0,70,2,0,0,2
1485174834473,2,72,2,0,0,2
1485174837636,0,75,2,0,0,2
1485174840954,0,77,2,0,0,2
1485174843971,1,78,2,0,0,2
1485174848281,0,81,2,0,0,2
1485174851841,1,82,2,0,0,2
1485174854942,1,84,2,0,0,2
1485174858748,1,86,2,0,0,2
1485174861875,1,87,2,0,0,2
1485174864924,2,88,2,0,0,2
1485174868167,1,91,2,0,0,2
1485174872795,2,94,2,0,0,2
1485174875920,1,96,2,0,0,2
1485174879375,0,99,2,0,0,2
1485174883238,1,101,2,0,0,2
1485174886569,2,104,2,0,0,2
1485174890032,1,106,2,0,0,2
1485174894754,0,108,2,0,0,2
1485174897799,1,109,2,0,0,2
1485174900834,2,111,2,0,0,2
1485174904664,1,114,2,0,0,2
1485174908204,1,118,2,0,0,2
1485174911787,1,121,2,0,0,2
1485174915605,2,125,2,0,0,2
1485174918947,0,128,2,0,0,2
1485174922376,1,130,2,0,0,2
1485174926025,0,135,2,0,0,2
1485174929386,0,137,2,0,0,2
1485174936104,1,144,2,0,0,2
1485174939150,2,146,2,1,0,2
1485174942359,2,151,2,0,0,2
1485174945932,1,155,2,0,0,2
1485174948956,0,158,2,0,0,2
1485174952129,1,160,2,0,0,2
1485174955152,1,162,2,0,0,2
1485174958791,1,166,2,0,0,2
1485174962402,1,168,2,0,0,2
1485174965793,2,170,2,0,0,2
1485174969099,0,175,2,0,0,2
1485174972614,1,177,2,0,0,2
1485174976223,1,180,2,0,0,2
1485174980822,2,185,2,0,0,2
1485174983864,0,190,2,0,0,2
1485174986888,1,192,2,0,0,2
1485174990096,0,194,2,0,0,2
1485174993706,0,198,2,0,0,2
1485174997079,2,200,2,1,0,2
1485175000833,2,204,2,0,0,2
1485175004294,2,207,2,1,0,2
1485175007333,1,211,2,0,0,2
1485175010824,1,212,2,0,0,2
1485175014986,1,215,2,0,0,2
1485175018116,2,216,2,0,0,2
1485175021760,2,220,2,0,0,2
1485175026138,1,226,2,0,0,2
1485175029797,1,229,2,0,0,2
1485175033076,1,232,2,0,0,2
1485175036847,1,236,2,0,0,2
1485175040062,2,238,2,0,0,2
1485175043746,1,242,2,0,0,2
1485175047965,2,246,2,0,0,2
1485175051585,2,251,2,0,0,2
1485175054942,1,254,2,0,0,2
1485175059065,1,256,2,0,0,2
1485175062182,0,258,2,0,0,2
1485175065478,1,260,2,0,0,2
1485175069448,2,263,2,1,0,2
1485175072464,2,266,2,0,0,2
1485175075945,0,271,2,0,0,2
1485175079395,2,273,2,0,0,2
1485175082739,1,278,2,0,0,2
1485175086791,1,283,2,0,0,2
1485175090254,1,287,2,0,0,2
1485175093600,0,290,2,0,0,2
1485175097402,0,292,2,0,0,2
1485175100754,1,294,2,0,0,2
1485175103771,1,298,2,0,0,2
1485175107457,2,302,2,1,0,2
1485175114025,0,312,2,0,0,2
1485175117850,1,316,2,0,0,2
1485175122406,1,323,2,0,0,2
1485175125424,1,326,2,0,0,2
1485175128852,1,327,2,0,0,2
1485175132576,0,329,2,0,0,2
1485175135605,1,329,2,0,0,2
1485175139538,1,333,2,0,0,2
1485175144084,1,337,2,0,0,2
1485175147104,1,340,2,0,0,2
1485175150326,1,343,2,0,0,2
1485175154325,2,347,2,0,0,2
1485175157480,2,354,2,0,0,2
1485175161089,1,357,2,0,0,2
1485175164723,1,359,2,0,0,2
