timestamp_ms,rx_count,tx_count
1485174277722,0,0
1485174280768,0,0
1485174283784,0,0
1485174286793,0,0
1485174289808,0,0
1485174292817,0,0
1485174295826,0,0
1485174298836,0,0
1485174301843,0,0
1485174304868,0,0
1485174307890,0,0
1485174310899,0,0
1485174313909,0,0
1485174316928,0,0
1485174319940,0,0
1485174322963,0,0
1485174325974,0,0
1485174328984,0,0
1485174332012,0,0
1485174335058,0,0
1485174338074,1,1
1485174341087,6,6
1485174344109,32,31
1485174347289,48,48
1485174350352,81,82
1485174353375,100,100
1485174356391,128,128
1485174359458,151,151
1485174362486,179,180
1485174365508,202,202
1485174368729,215,218
1485174371879,238,238
1485174374912,275,275
1485174377950,289,292
1485174381201,306,308
1485174384300,331,331
1485174387318,344,345
1485174390349,362,369
1485174393648,416,416
1485174396665,427,427
1485174399714,436,439
1485174402762,449,450
1485174405778,458,459
1485174408805,469,473
1485174412456,490,491
1485174415945,503,507
1485174419082,516,521
1485174422333,529,534
1485174425398,544,546
1485174429130,554,560
1485174432387,573,579
1485174435567,586,593
1485174438586,601,607
1485174441748,616,621
1485174444853,631,638
1485174448398,644,651
1485174451504,661,667
1485174454660,679,684
1485174457679,690,694
1485174460858,701,707
1485174463887,714,721
1485174468491,734,737
1485174471546,749,751
1485174474576,756,763
1485174477598,769,775
1485174480615,782,789
1485174483688,795,800
1485174486731,811,814
1485174489761,822,827
1485174492814,834,840
1485174495842,846,851
1485174499167,860,862
1485174502252,870,875
1485174505434,880,886
1485174508451,892,899
1485174511634,904,908
1485174514650,918,921
1485174517673,936,939
1485174520689,962,968
1485174523714,980,985
1485174526976,1000,1005
1485174530128,1031,1037
1485174533337,1049,1053
1485174536354,1074,1080
1485174539693,1091,1098
1485174542762,1112,1118
1485174546004,1133,1140
1485174549071,1157,1162
1485174552695,1176,1187
1485174556165,1199,1205
1485174559183,1222,1230
1485174562311,1242,1247
1485174565421,1261,1268
1485174568869,1281,1288
1485174571888,1301,1308
1485174574918,1323,1330
1485174578089,1344,1352
1485174581442,1366,1371
1485174584471,1388,1391
1485174587491,1414,1420
1485174590715,1433,1440
1485174594006,1457,1460
1485174598576,1489,1493
1485174601851,1506,1513
1485174605383,1534,1540
1485174608406,1552,1561
1485174611662,1577,1580
1485174614698,1596,1601
1485174617727,1616,1621
1485174620754,1635,1639
1485174623790,1655,1660
1485174626809,1673,1679
1485174629889,1693,1700
1485174633045,1714,1720
1485174636204,1739,1744
1485174639278,1755,1762
1485174642683,1776,1783
1485174645701,1794,1803
1485174648720,1811,1821
1485174651853,1835,1842
1485174655263,1852,1862
1485174658738,1875,1880
1485174661838,1892,1899
1485174664932,1917,1923
1485174668022,1943,1946
1485174671081,1977,1981
1485174674479,2004,2012
1485174679862,2041,2049
1485174682900,2062,2072
1485174686191,2087,2093
1485174689597,2110,2116
1485174692778,2136,2141
1485174695866,2162,2166
1485174699155,2184,2187
1485174702176,2200,2205
1485174705202,2223,2227
1485174708694,2245,2251
1485174713681,2274,2281
1485174716914,2303,2308
1485174720304,2325,2329
1485174723478,2342,2348
1485174726554,2367,2374
1485174729679,2385,2395
1485174733087,2406,2412
1485174736250,2429,2434
1485174739426,2454,2457
1485174742959,2471,2478
1485174746037,2492,2496
1485174749165,2514,2518
1485174752226,2535,2539
1485174756088,2562,2565
1485174759115,2575,2582
1485174762259,2601,2607
1485174765956,2618,2629
1485174769080,2639,2647
1485174772687,2672,2675
1485174776564,2693,2699
1485174780348,2714,2718
1485174783626,2738,2745
1485174787115,2761,2765
1485174790551,2780,2787
1485174793698,2800,2808
1485174798049,2826,2835
1485174801669,2852,2856
1485174804960,2871,2878
1485174808148,2893,2898
1485174811460,2914,2915
1485174814805,2934,2940
1485174818014,2962,2970
1485174821888,2980,2989
1485174825014,3000,3006
1485174828099,3018,3025
1485174831272,3041,3048
1485174834472,3058,3066
1485174837635,3082,3088
1485174840950,3100,3104
1485174843970,3123,3129
1485174848278,3146,3149
1485174851839,3169,3173
1485174854936,3191,3199
1485174858674,3217,3227
1485174861871,3238,3248
1485174864920,3253,3266
1485174868159,3274,3282
1485174872792,3298,3308
1485174875914,3324,3334
1485174879371,3341,3351
1485174883217,3360,3371
1485174886542,3388,3395
1485174890023,3405,3415
1485174894711,3434,3439
1485174897794,3457,3464
1485174900828,3471,3479
1485174904663,3492,3500
1485174908169,3525,3533
1485174911763,3547,3558
1485174915603,3576,3584
1485174918944,3602,3608
1485174922373,3620,3629
1485174925965,3643,3649
1485174929385,3668,3673
1485174936095,3706,3715
1485174939139,3724,3731
1485174942356,3749,3754
1485174945671,3765,3771
1485174948952,3786,3793
1485174952124,3806,3812
1485174955148,3834,3836
1485174958790,3848,3859
1485174962399,3870,3876
1485174965545,3891,3898
1485174969096,3912,3918
1485174972478,3938,3945
1485174976074,3958,3968
1485174980812,3990,3995
1485174983860,4011,4017
1485174986884,4030,4039
1485174990090,4048,4057
1485174993704,4071,4080
1485174996842,4100,4105
1485175000791,4115,4123
1485175004284,4139,4147
1485175007328,4162,4165
1485175010822,4180,4186
1485175014934,4203,4213
1485175018107,4231,4239
1485175021750,4254,4258
1485175026123,4275,4286
1485175029232,4301,4312
1485175033074,4322,4327
1485175036845,4340,4349
1485175039930,4371,4375
1485175043737,4390,4397
1485175047951,4410,4422
1485175051366,4438,4448
1485175054940,4455,4465
1485175058920,4479,4491
1485175062181,4504,4512
1485175065477,4523,4531
1485175069435,4544,4552
1485175072457,4569,4574
1485175075933,4586,4596
1485175079390,4608,4614
1485175082728,4640,4645
1485175086789,4657,4663
1485175090253,4681,4692
1485175093598,4706,4715
1485175097400,4724,4731
1485175100633,4747,4757
1485175103767,4776,4780
1485175107453,4798,4805
1485175114022,4842,4851
1485175117849,4863,4871
1485175122401,4888,4896
1485175125420,4913,4925
1485175128851,4933,4942
1485175132572,4957,4964
1485175135601,4982,4987
1485175139472,5005,5014
1485175144079,5028,5037
1485175147099,5055,5062
1485175150322,5071,5084
1485175154318,5100,5107
1485175157474,5118,5126
1485175160956,5135,5144
1485175164718,5158,5165
1485175167748,5183,5190
1485175171230,5197,5205
1485175175062,5222,5226
1485175178129,5246,5254
1485175181497,5265,5273
1485175185708,5288,5298
1485175189301,5319,5329
1485175193109,5336,5350
1485175196853,5357,5368
1485175200128,5387,5396
1485175204063,5408,5416
1485175207693,5430,5439
1485175210724,5451,5459
1485175214039,5474,5482
1485175217200,5493,5502
1485175220772,5535,5542
1485175224582,5557,5564
