timestamp_ms,rx_size_in_bytes,tx_size_in_bytes
1485174520699,8939,25933
1485174523719,9674,40132
1485174526983,13079,42330
1485174530136,425073,69910
1485174533342,425888,84582
1485174536360,426927,111463
1485174539731,427722,126017
1485174542771,846880,128098
1485174546058,1363682,142930
1485174549076,1364477,157484
1485174552770,1777289,172078
1485174556170,1778272,199283
1485174559188,2201923,213917
1485174562315,2202428,215941
1485174565423,2622642,243071
1485174568876,2867480,257628
1485174571893,3617529,272225
1485174574919,3618369,274587
1485174578093,4025136,289164
1485174581451,4427729,316294
1485174584475,4428422,318358
1485174587493,5390582,332935
1485174590719,5815171,359859
1485174594030,6027538,387009
1485174598602,6652350,401882
1485174601852,7068659,416479
1485174605389,7489605,431354
1485174608410,7825357,445911
1485174611669,8244233,460548
1485174614704,8663986,475145
1485174617732,9082759,489742
1485174620757,9083554,504299
1485174623795,9785313,518916
1485174626876,9830810,533493
1485174629889,9831679,548070
1485174633050,9832372,550114
1485174636208,9833848,589927
1485174639636,9834541,591971
1485174642686,9835336,606528
1485174645705,9836131,621085
1485174648721,9978829,635501
1485174651857,10243110,650077
1485174655266,10244093,664772
1485174658740,10244888,679369
1485174661841,10245683,693926
1485174664978,10247420,708825
1485174668026,10248431,724640
1485174671082,10461732,742264
1485174674484,11201149,759180
1485174679885,12771260,790958
1485174682903,13440661,1155781
1485174686235,13874274,1379788
1485174689625,14405614,1400631
1485174692783,15059760,1418593
1485174695869,15695042,1631158
1485174699158,16123937,1900549
1485174702178,16619420,1917337
1485174705206,17118000,1921919
1485174708698,17537852,1938748
1485174713681,18246437,1969296
1485174716936,18968417,1987332
1485174720307,19383302,2004243
1485174723483,20225809,2022258
1485174726660,20439200,2039973
1485174729687,20866951,2056873
1485174733165,21111788,2615102
1485174736254,21390055,2632986
1485174739537,21391038,2651178
1485174742962,21715967,2667940
1485174746038,21858940,2684722
1485174749169,22073975,2701642
1485174752228,22308517,2718464
1485174756092,22843233,2736317
1485174759215,23107595,2753197
1485174762268,23598681,2769869
1485174766065,24145601,3050844
1485174769090,24146396,3232604
1485174772696,24366260,3251505
1485174776577,25238524,3271662
1485174780352,25676628,3289582
1485174783623,25889614,3321598
1485174787117,26233340,3326914
1485174790555,26955955,3344822
1485174793698,27653226,3362730
1485174798106,28960702,3380776
1485174801670,29363554,3398842
1485174805068,30253296,3692668
1485174808150,30882764,3926252
1485174811466,31092315,3945457
1485174814823,31506130,3963456
1485174818017,32313940,3982731
1485174821902,32528625,4000790
1485174825042,32937952,4018671
1485174828259,33470672,4036572
1485174831276,33897637,4054433
1485174834473,34112742,4072355
1485174837636,35047383,4312302
1485174840954,35498490,4650628
1485174843971,35720763,4668550
1485174848281,36223884,4690094
1485174851841,36705789,4708114
1485174854942,36706584,4711980
1485174858748,37263268,4745364
1485174861875,37667389,4764313
1485174864924,38047083,4768770
1485174868167,38371441,5138941
1485174872795,38890946,5359216
1485174875920,39547932,5379883
1485174879375,39549017,5724860
1485174883238,40729802,5747149
1485174886569,41090875,6054737
1485174890032,41091642,6073735
1485174894754,41304321,6109960
1485174897799,42056790,6131193
1485174900834,42057483,6135658
1485174904664,42759008,6169288
1485174908204,42964590,6497328
1485174911787,43402390,6518658
1485174915605,43832637,6694089
1485174918947,44154309,6717121
1485174922376,44631549,6755910
