timestamp_ms,rx_size_in_bytes,tx_size_in_bytes
1485174277722,0,0
1485174280768,0,0
1485174283784,0,0
1485174286793,0,0
1485174289808,0,0
1485174292817,0,0
1485174295826,0,0
1485174298836,0,0
1485174301843,0,0
1485174304868,0,0
1485174307890,0,0
1485174310899,0,0
1485174313909,0,0
1485174316928,0,0
1485174319940,0,0
1485174322963,0,0
1485174325974,0,0
1485174328984,0,0
1485174332012,0,0
1485174335058,0,0
1485174338074,160,290
1485174341087,641,5137
1485174344109,22673,627281
1485174347289,41773,1923497
1485174350352,72938,3374793
1485174353375,97014,4632939
1485174356391,116583,5472110
1485174359458,144051,8091083
1485174362486,165687,9114885
1485174365508,199684,11402971
1485174368729,220833,12916356
1485174371879,252583,14368804
1485174374912,276682,17504777
1485174377950,300007,19591441
1485174381201,333982,21233480
1485174384300,364292,22208311
1485174387318,389849,23438925
1485174390349,416492,24692542
1485174393648,461005,24700749
1485174396665,506085,24703991
1485174399714,536799,25692592
1485174402762,576215,25931462
1485174405778,615586,26108211
1485174408805,655010,27155840
1485174412456,697130,27631569
1485174415945,735550,27812533
1485174419082,1257688,28702069
1485174422333,1301231,29245413
1485174425398,1348654,29439961
1485174429130,1379552,30898437
1485174432387,1685177,31614771
1485174435567,2025849,32532485
1485174438586,2100177,32998484
1485174441748,2152205,33860409
1485174444853,2235892,34805528
1485174448398,2278933,35478266
1485174451504,2589255,35952466
1485174454660,2959501,36612168
1485174457679,3000952,37060968
1485174460858,3031824,37880464
1485174463887,3201591,38630839
1485174468491,3510513,39118770
1485174471546,3574391,39593815
1485174474576,3585288,40771650
1485174477598,3617863,41500649
1485174480615,3875229,42525429
1485174483688,4298589,42711541
1485174486731,4358024,43194526
1485174489761,4399430,43999913
1485174492814,4421127,45148168
1485174495842,4863439,45356328
1485174499167,4926949,46050285
1485174502252,4958940,47017915
1485174505434,4959434,47976491
1485174508451,5131714,48772639
1485174511634,5478902,49200225
1485174514650,5515621,50069097
1485174517673,5569380,50713661
1485174520689,5652759,51904129
1485174523714,5927851,52669533
1485174526976,6218571,52675161
1485174530128,6267778,54112378
1485174533337,6331724,54613380
1485174536354,6424789,55362397
1485174539693,6449523,55834734
1485174542762,6963955,56740806
1485174546004,7012358,57736207
1485174549071,7092240,57988171
1485174552695,7121432,59607129
1485174556165,7208523,60037871
1485174559183,7244802,61260367
1485174562311,7587921,61404055
1485174565421,7605030,62432603
1485174568869,8106516,63489006
1485174571888,8307084,64463270
1485174574918,8347938,65150099
1485174578089,8600084,66193314
1485174581442,8656664,66765219
1485174584471,8700324,67635660
1485174587491,8822720,69115764
1485174590715,8837791,69929636
1485174594006,8892420,70456806
1485174598576,8974549,72362446
1485174601851,9009556,73304165
1485174605383,9523146,74598383
1485174608406,9558173,75579452
1485174611662,9614540,76264584
1485174614698,10129265,77588008
1485174617727,10176542,78475907
1485174620754,10222197,78936593
1485174623790,10266262,80111577
1485174626809,10291925,80643974
1485174629889,10339210,81120438
1485174633045,10382365,81722227
1485174636204,10479921,81725769
1485174639278,10521793,82467626
1485174642683,10569193,83311467
1485174645701,10760948,84233336
1485174648720,10807490,84519108
1485174651853,11249080,85229608
1485174655263,11284087,86155195
1485174658738,11780594,86694242
1485174661838,11815601,87529716
1485174664932,11870753,87932606
1485174668022,11935640,88246416
1485174671081,11974876,89246113
1485174674479,12036193,91677085
1485174679862,12563997,94225740
1485174682900,12610769,95228817
1485174686191,13115215,96270031
1485174689597,13176129,97605144
1485174692778,13235254,98872705
1485174695866,13291336,99736375
1485174699155,13339814,100732812
1485174702176,13373686,101776568
1485174705202,13401654,103000615
1485174708694,13438628,104465022
1485174713681,14059813,106289027
1485174716914,14501755,107412355
1485174720304,14558693,108277991
1485174723478,14601956,109328113
1485174726554,14665291,110368853
1485174729679,14702126,111264865
1485174733087,14748937,112017390
1485174736250,14811411,112819084
1485174739426,14861139,113477123
1485174742959,15061773,114837741
1485174746037,15398592,114981420
1485174749165,15455541,115907084
1485174752226,15687252,116640270
1485174756088,16026442,117631895
1485174759115,16060254,118142440
1485174762259,16120242,119599869
1485174765956,16154134,120845496
1485174769080,16200972,121164743
1485174772687,16267282,121597308
1485174776564,16307747,122998610
1485174780348,16354468,123445311
1485174783626,16443730,124634970
1485174787115,16598886,124838300
1485174790551,16871751,126277887
1485174793698,16918436,127530916
1485174798049,17482093,129214794
1485174801669,17528992,129654049
1485174804960,17573075,130963518
1485174808148,17624529,131934943
1485174811460,17671901,132196320
1485174814805,17720702,133069228
1485174818014,18007904,134581451
1485174821888,18305918,135475979
1485174825014,18556814,135800025
1485174828099,18867564,136491119
1485174831272,18908281,137461411
1485174834472,18942119,137792825
1485174837635,18990155,139357638
1485174840950,19057727,139605553
1485174843970,19089178,140616594
1485174848278,19130165,140917087
1485174851839,19193614,141418544
1485174854936,19262728,142997972
1485174858674,19274083,143946070
1485174861871,19871048,144573785
1485174864920,19904383,144954274
1485174868159,20494256,145455100
1485174872792,20547962,146172109
1485174875914,20640273,147181690
1485174879371,20659697,147604669
1485174883217,20700260,148977871
1485174886542,20787412,149307006
1485174890023,20809804,149760157
1485174894711,20878504,150224590
1485174897794,20942270,151408665
1485174900828,21160894,151618908
1485174904663,21454362,152873976
1485174908169,21557700,153590566
1485174911763,21822262,154314979
1485174915603,21893066,155284421
1485174918944,21983504,155815075
1485174922373,22027781,156678742
1485174925965,22089671,157192845
1485174929385,22145045,158096828
1485174936095,22209117,159707479
1485174939139,22248062,160104984
1485174942356,22338655,161065925
1485174945671,22632812,161927037
1485174948952,22863015,163363681
1485174952124,22916187,163963301
1485174955148,22995925,164770728
1485174958790,23011762,166541216
1485174962399,23055502,167003602
1485174965545,23143253,167954103
1485174969096,23153059,168506383
1485174972478,23216493,169964460
1485174976074,23286055,170771149
1485174980812,23546475,172111839
1485174983860,23596869,173636601
1485174986884,23655532,174324052
1485174990090,23922428,175329594
1485174993704,23986456,175968113
1485174996842,24064228,176595424
1485175000791,24080085,177648843
1485175004284,24144612,178548447
1485175007328,24213383,179101600
1485175010822,24233742,180645710
1485175014934,24496987,182254916
1485175018107,24551072,183615582
1485175021750,24801677,184315050
1485175026123,24846373,185762403
1485175029232,24933790,186968395
1485175033074,24970662,187541566
1485175036845,25004859,188498002
1485175039930,25103997,189056140
1485175043737,25126471,190057286
1485175047951,25156183,191305719
1485175051366,25441469,193023156
1485175054940,25463145,193537950
1485175058920,25521103,194975967
1485175062181,26004586,195302475
1485175065477,26027374,195826758
