Linux 4.10.16-100.fc24.x86_64 (alphaville.usersys.redhat.com) 	06/14/17 	_x86_64_	(8 CPU)

13:51:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:51:17     all    4.92    0.00    9.34    0.00    0.08    0.17    0.00    0.00    0.00   85.49
13:51:17       0    3.03    0.00    3.03    0.00    0.00    0.34    0.00    0.00    0.00   93.60
13:51:17       1    1.33    0.00    1.00    0.00    0.00    0.33    0.00    0.00    0.00   97.34
13:51:17       2    0.67    0.00    0.67    0.00    0.00    0.33    0.00    0.00    0.00   98.33
13:51:17       3    1.34    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.33
13:51:17       4    1.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   97.67
13:51:17       5   28.57    0.00   65.78    0.00    0.33    0.00    0.00    0.00    0.00    5.32
13:51:17       6    1.33    0.00    2.99    0.33    0.00    0.00    0.00    0.00    0.00   95.35
13:51:17       7    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00

13:51:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:51:20     all    7.21    0.00    8.71    0.00    0.08    0.29    0.00    0.00    0.00   83.70
13:51:20       0    0.99    0.00    0.66    0.00    0.00    1.66    0.00    0.00    0.00   96.69
13:51:20       1   20.60    0.00    1.66    0.00    0.33    0.00    0.00    0.00    0.00   77.41
13:51:20       2    0.67    0.00    0.33    0.00    0.00    0.33    0.00    0.00    0.00   98.67
13:51:20       3    0.33    0.00    0.33    0.00    0.00    0.33    0.00    0.00    0.00   99.00
13:51:20       4    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33
13:51:20       5   34.11    0.00   65.55    0.00    0.33    0.00    0.00    0.00    0.00    0.00
13:51:20       6    0.34    0.00    0.00    0.00    0.00    0.34    0.00    0.00    0.00   99.33
13:51:20       7    0.33    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.00

13:51:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:51:23     all    5.13    0.00    7.63    0.04    0.04    0.13    0.00    0.00    0.00   87.03
13:51:23       0    0.00    0.00    0.00    0.33    0.00    0.33    0.00    0.00    0.00   99.33
13:51:23       1    0.00    0.00    0.00    0.00    0.00    0.67    0.00    0.00    0.00   99.33
13:51:23       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:51:23       3    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
13:51:23       4    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
13:51:23       5   40.33    0.00   59.67    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:51:23       6    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
13:51:23       7    0.33    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.00

13:51:23     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:51:26     all    4.79    0.00    7.88    0.04    0.04    0.08    0.00    0.00    0.00   87.16
13:51:26       0    0.00    0.00    0.00    0.00    0.00    0.33    0.00    0.00    0.00   99.67
13:51:26       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:51:26       2    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
13:51:26       3    0.33    0.00    0.33    0.00    0.33    0.33    0.00    0.00    0.00   98.68
13:51:26       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:51:26       5   37.54    0.00   61.79    0.00    0.33    0.33    0.00    0.00    0.00    0.00
13:51:26       6    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
13:51:26       7    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67

13:51:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:51:29     all    4.79    0.00    7.92    0.00    0.04    0.13    0.00    0.00    0.00   87.12
13:51:29       0    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33
13:51:29       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:51:29       2    0.00    0.00    0.00    0.00    0.00    0.33    0.00    0.00    0.00   99.67
13:51:29       3    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
13:51:29       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:51:29       5   37.67    0.00   62.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00
13:51:29       6    0.00    0.00    0.33    0.00    0.00    0.33    0.00    0.00    0.00   99.33
13:51:29       7    0.33    0.00    0.33    0.00    0.00    0.33    0.00    0.00    0.00   99.00
