1497462677688: 	CPU	Avg_MHz	Busy%	Bzy_MHz	TSC_MHz
1497462677688: 	-	494	13.29	3721	2795
1497462677688: 	0	201	5.42	3712	2797
1497462677688: 	1	47	1.30	3593	2797
1497462677688: 	2	44	1.22	3609	2797
1497462677688: 	3	16	0.44	3610	2797
1497462677688: 	4	34	0.94	3630	2794
1497462677688: 	5	3502	94.12	3729	2794
1497462677688: 	6	89	2.45	3649	2794
1497462677688: 	7	16	0.44	3573	2794
1497462680698: 	CPU	Avg_MHz	Busy%	Bzy_MHz	TSC_MHz
1497462680698: 	-	601	16.17	3725	2794
1497462680698: 	0	98	2.70	3647	2794
1497462680698: 	1	815	22.22	3676	2794
1497462680698: 	2	49	1.35	3625	2794
1497462680698: 	3	33	0.91	3641	2794
1497462680698: 	4	34	0.92	3657	2794
1497462680698: 	5	3688	98.74	3744	2794
1497462680698: 	6	40	1.12	3601	2794
1497462680698: 	7	51	1.40	3640	2794
1497462683698: 	CPU	Avg_MHz	Busy%	Bzy_MHz	TSC_MHz
1497462683698: 	-	477	12.84	3721	2794
1497462683698: 	0	22	0.60	3622	2794
1497462683698: 	1	27	0.74	3652	2794
1497462683698: 	2	17	0.46	3621	2794
1497462683698: 	3	21	0.58	3657	2794
1497462683698: 	4	6	0.16	3673	2794
1497462683698: 	5	3671	98.78	3725	2794
1497462683698: 	6	24	0.68	3615	2794
1497462683698: 	7	26	0.72	3573	2794
1497462686699: 	CPU	Avg_MHz	Busy%	Bzy_MHz	TSC_MHz
1497462686699: 	-	480	12.76	3774	2794
1497462686699: 	0	23	0.63	3620	2794
1497462686699: 	1	4	0.12	3559	2794
1497462686699: 	2	19	0.51	3657	2794
1497462686699: 	3	32	0.87	3668	2794
1497462686699: 	4	6	0.17	3570	2794
1497462686699: 	5	3722	98.71	3779	2794
1497462686699: 	6	17	0.47	3634	2794
1497462686699: 	7	21	0.61	3498	2794
1497462689699: 	CPU	Avg_MHz	Busy%	Bzy_MHz	TSC_MHz
1497462689699: 	-	480	12.76	3772	2794
1497462689699: 	0	24	0.66	3637	2794
1497462689699: 	1	2	0.07	3634	2794
1497462689699: 	2	20	0.55	3637	2794
1497462689699: 	3	17	0.45	3658	2794
1497462689699: 	4	6	0.17	3528	2794
1497462689699: 	5	3721	98.75	3777	2794
1497462689699: 	6	28	0.78	3646	2794
1497462689699: 	7	24	0.67	3583	2794
