Linux 2.6.32-558.el6.x86_64 (dellfsvr1) 	05/18/15 	_x86_64_	(32 CPU)

23:59:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:59:26     all    0.01    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
23:59:26       0    0.10    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.80
23:59:26       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:59:26       2    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
23:59:26       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:59:26       4    0.00    0.00    0.30    0.00    0.00    0.00    0.00    0.00    0.00   99.70
23:59:26       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:59:26       6    0.10    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.80
23:59:26       7    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90

23:59:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:59:36     all    0.01    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.96
23:59:36       0    0.10    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.80
23:59:36       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:59:36       2    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
23:59:36       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:59:36       4    0.10    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.70
23:59:36       5    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
23:59:36       6    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
23:59:36       7    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90

23:59:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:59:46     all    0.01    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.96
23:59:46       0    0.10    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.80
23:59:46       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:59:46       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:59:46       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
