Linux 3.16.6-200.fc20.x86_64 (a.foo.example.com) 	02/25/15 	_x86_64_	(8 CPU)

17:48:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:48:52     all    2.64    0.04    5.02   29.21    0.42    0.13    0.00   30.63    0.00   31.92
17:48:52       0    1.68    0.00   10.40   41.28    0.67    1.01    0.00   12.42    0.00   32.55
17:48:52       1    1.34    0.00    8.39   44.30    0.00    0.00    0.00   10.40    0.00   35.57
17:48:52       2    3.69    0.00    6.04   29.19    0.00    0.00    0.00   51.34    0.00    9.73
17:48:52       3    6.10    0.00    6.10   29.49    0.00    0.00    0.00    6.10    0.00   52.20
17:48:52       4    0.67    0.00    2.67   25.00    0.67    0.00    0.00   56.67    0.00   14.33
17:48:52       5    5.63    0.33    5.96   33.11    0.99    0.00    0.00    0.00    0.00   53.97
17:48:52       6    0.67    0.34    0.34   15.44    0.34    0.00    0.00   54.70    0.00   28.19
17:48:52       7    1.00    0.00    0.33   15.72    0.33    0.00    0.00   53.51    0.00   29.10

17:48:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:48:55     all    1.97    0.00   11.42   63.01    0.21    0.21    0.00    0.25    0.00   22.93
17:48:55       0    4.03    0.00    4.36   87.92    0.00    1.34    0.00    0.34    0.00    2.01
17:48:55       1    2.68    0.00    7.36   89.97    0.00    0.00    0.00    0.00    0.00    0.00
17:48:55       2    5.03    0.00   60.40   34.23    0.34    0.00    0.00    0.00    0.00    0.00
17:48:55       3    1.00    0.00   16.33   29.67    0.00    0.00    0.00    0.00    0.00   53.00
17:48:55       4    0.34    0.00    0.67   86.58    0.34    0.00    0.00    1.01    0.00   11.07
17:48:55       5    1.01    0.00    1.01   73.49    0.00    0.00    0.00    0.00    0.00   24.50
17:48:55       6    1.69    0.00    1.01   42.57    0.34    0.00    0.00    0.34    0.00   54.05
17:48:55       7    0.33    0.00    0.33   60.54    0.33    0.00    0.00    0.00    0.00   38.46

17:48:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:48:58     all    1.98    0.04   13.17   33.29    0.13    0.13    0.00    1.35    0.00   49.92
17:48:58       0    2.01    0.00    3.36   26.17    0.67    1.01    0.00    1.68    0.00   65.10
17:48:58       1    0.67    0.00    1.35   62.63    0.00    0.00    0.00    0.67    0.00   34.68
17:48:58       2    6.64    0.00   92.36    0.00    0.66    0.33    0.00    0.00    0.00    0.00
17:48:58       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:48:58       4    1.37    0.00    1.71   55.14    0.00    0.00    0.00    2.74    0.00   39.04
17:48:58       5    2.33    0.33    1.33   37.33    0.00    0.00    0.00    2.00    0.00   56.67
17:48:58       6    1.35    0.00    2.03   61.15    0.34    0.00    0.00    2.70    0.00   32.43
17:48:58       7    1.35    0.00    2.03   24.32    0.00    0.00    0.00    1.01    0.00   71.28

17:48:58     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:49:01     all    1.56    0.00   12.21    0.51    0.17    0.04    0.00    0.25    0.00   85.26
17:49:01       0    0.68    0.00    0.68    0.34    0.00    0.00    0.00    0.34    0.00   97.96
17:49:01       1    0.00    0.00    0.34    2.68    0.00    0.00    0.00    0.34    0.00   96.64
17:49:01       2    6.31    0.00   92.69    0.00    0.66    0.00    0.00    0.00    0.00    0.33
17:49:01       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:49:01       4    2.03    0.00    1.35    0.34    0.00    0.00    0.00    0.00    0.00   96.28
17:49:01       5    0.67    0.00    0.67    1.34    0.00    0.00    0.00    0.34    0.00   96.98
17:49:01       6    2.37    0.00    1.36    0.00    0.00    0.00    0.00    0.68    0.00   95.59
17:49:01       7    0.34    0.00    0.00    0.00    0.00    0.00    0.00    0.68    0.00   98.99

17:49:01     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:49:04     all    1.85    0.04   12.32    2.27    0.21    0.04    0.00    0.17    0.00   83.10
17:49:04       0    2.37    0.34    0.68    2.37    0.34    0.34    0.00    0.34    0.00   93.22
17:49:04       1    0.34    0.00    0.34    0.34    0.00    0.00    0.00    0.00    0.00   98.99
17:49:04       2    6.33    0.00   93.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00
17:49:04       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:49:04       4    2.71    0.00    1.02    5.42    0.34    0.00    0.00    0.68    0.00   89.83
17:49:04       5    1.01    0.00    0.67    0.00    0.67    0.00    0.00    0.00    0.00   97.65
17:49:04       6    1.36    0.00    1.69    6.10    0.34    0.34    0.00    0.34    0.00   89.83
17:49:04       7    0.34    0.00    0.34    3.69    0.00    0.00    0.00    0.00    0.00   95.64

17:49:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:49:07     all    1.59    0.00   11.98    0.38    0.42    0.08    0.00    0.25    0.00   85.30
17:49:07       0    0.34    0.00    0.68    0.34    0.34    0.34    0.00    0.34    0.00   97.64
17:49:07       1    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.33    0.00   99.00
17:49:07       2    7.67    0.00   91.33    0.00    0.67    0.33    0.00    0.00    0.00    0.00
17:49:07       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:49:07       4    1.36    0.00    0.34    0.00    0.34    0.00    0.00    0.00    0.00   97.97
17:49:07       5    0.66    0.00    0.66    0.00    0.99    0.00    0.00    0.00    0.00   97.68
17:49:07       6    1.35    0.00    1.35    2.70    0.34    0.00    0.00    0.34    0.00   93.92
17:49:07       7    1.01    0.00    0.00    0.00    0.34    0.00    0.00    0.67    0.00   97.99

17:49:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:49:10     all    1.60    0.00   12.23    0.71    0.17    0.04    0.00    0.25    0.00   84.99
17:49:10       0    1.69    0.00    1.35    3.72    0.34    0.34    0.00    0.00    0.00   92.57
17:49:10       1    0.34    0.00    0.00    1.68    0.00    0.00    0.00    0.34    0.00   97.65
17:49:10       2    6.67    0.00   92.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00
17:49:10       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:49:10       4    0.68    0.00    0.68    0.00    0.34    0.00    0.00    0.34    0.00   97.96
17:49:10       5    0.34    0.00    0.34    0.00    0.00    0.00    0.00    0.34    0.00   98.98
17:49:10       6    2.37    0.00    1.36    0.00    0.00    0.00    0.00    0.68    0.00   95.59
17:49:10       7    1.01    0.00    0.34    0.34    0.00    0.00    0.00    0.00    0.00   98.32

17:49:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:49:13     all    1.51    0.04   12.22    0.88    0.08    0.08    0.00    0.25    0.00   84.92
17:49:13       0    1.01    0.34    0.68    4.05    0.00    0.00    0.00    0.34    0.00   93.58
17:49:13       1    0.34    0.00    0.34    1.34    0.00    0.00    0.00    0.67    0.00   97.32
17:49:13       2    6.33    0.00   93.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00
17:49:13       3    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
17:49:13       4    1.01    0.00    1.35    0.34    0.00    0.00    0.00    0.34    0.00   96.96
17:49:13       5    0.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.66
17:49:13       6    1.68    0.00    1.01    1.68    0.34    0.34    0.00    0.67    0.00   94.28
17:49:13       7    1.01    0.00    0.34    0.00    0.00    0.00    0.00    0.34    0.00   98.32

