Linux 3.10.0-957.1.3.el7.x86_64 (perf48.perf.lab.eng.bos.redhat.com) 	03/19/19 	_x86_64_	(24 CPU)

21:54:46        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
21:54:51        all      4.14      0.00      0.05      0.00      0.00      0.00      0.00      0.00      0.00     95.81
21:54:51          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
21:54:51          1     99.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:54:51          2      0.20      0.00      0.20      0.00      0.00      0.00      0.00      0.00      0.00     99.60
21:54:51          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
21:54:51          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
21:54:51          5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
21:54:51          6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
21:54:51          7      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
21:54:51          8      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
21:54:51          9      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
21:54:51         10      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
21:54:51         11      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
21:54:51         12      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
21:54:51         13      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
21:54:51         14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
21:54:51         15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
21:54:51         16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
21:54:51         17      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
21:54:51         18      0.20      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.80
21:54:51         19      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
21:54:51         20      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
21:54:51         21      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
21:54:51         22      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
21:54:51         23      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

21:54:46       proc/s   cswch/s
21:54:51         0.80    424.20

21:54:46         INTR    intr/s
21:54:51          sum   1318.80
21:54:51            0      0.00
21:54:51            1      0.00
21:54:51            2      0.00
21:54:51            3      0.00
21:54:51            4      0.00
21:54:51            5      0.00
21:54:51            6      0.00
21:54:51            7      0.00
21:54:51            8      0.00
21:54:51            9      0.00
21:54:51           10      0.00
21:54:51           11      0.00
21:54:51           12      0.00
21:54:51           13      0.00
21:54:51           14      0.00
21:54:51           15      0.00
21:54:51           16      0.00
21:54:51           17      0.00
21:54:51           18      0.00
21:54:51           19      0.00
21:54:51           20      0.00
21:54:51           21      0.00
21:54:51           22      0.00
21:54:51           23      0.00
21:54:51           24      0.00
21:54:51           25      0.00
21:54:51           26      0.00
21:54:51           27      0.00
21:54:51           28      0.00
21:54:51           29      0.00
21:54:51           30      0.00
21:54:51           31      0.00
21:54:51           32      0.00
21:54:51           33      0.00
21:54:51           34      0.00
21:54:51           35      0.00
21:54:51           36      0.00
21:54:51           37      0.00
21:54:51           38      0.00
21:54:51           39      0.00
21:54:51           40      0.00
21:54:51           41      2.60
21:54:51           42      0.00
21:54:51           43      0.00
21:54:51           44      0.00
21:54:51           45      0.60
21:54:51           46      0.60
21:54:51           47      0.60
21:54:51           48      0.60
21:54:51           49      0.60
21:54:51           50      0.60
21:54:51           51      0.60
21:54:51           52      0.60
21:54:51           53      0.60
21:54:51           54      0.60
21:54:51           55      0.60
21:54:51           56      0.60
21:54:51           57      0.60
21:54:51           58      0.60
21:54:51           59      0.60
21:54:51           60      0.60
21:54:51           61      0.60
21:54:51           62      0.60
21:54:51           63      0.60
21:54:51           64      0.60
21:54:51           65      0.60
21:54:51           66      0.60
21:54:51           67      0.60
21:54:51           68      0.60
21:54:51           69      0.00
21:54:51           70      0.00
21:54:51           71      0.60
21:54:51           72      0.60
21:54:51           73      0.60
21:54:51           74      0.60
21:54:51           75      0.60
21:54:51           76      0.60
21:54:51           77      0.60
21:54:51           78      0.60
21:54:51           79      0.60
21:54:51           80      0.60
21:54:51           81      0.60
21:54:51           82      0.60
21:54:51           83      0.60
21:54:51           84      0.60
21:54:51           85      0.60
21:54:51           86      0.60
21:54:51           87      0.60
21:54:51           88      0.60
21:54:51           89      0.60
21:54:51           90      0.60
21:54:51           91      0.60
21:54:51           92      0.60
21:54:51           93      0.60
21:54:51           94      0.60
21:54:51           95      0.00
21:54:51           96      0.00
21:54:51           97      0.60
21:54:51           98      0.60
21:54:51           99      0.60
21:54:51          100      0.60
21:54:51          101      0.60
21:54:51          102      0.60
21:54:51          103      0.60
21:54:51          104      0.60
21:54:51          105      0.60
21:54:51          106      0.60
21:54:51          107      0.60
