timestamp_ms,cpu_00,cpu_01,cpu_02,cpu_03,cpu_04,cpu_05,cpu_06,cpu_07,cpu_08,cpu_09,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_16,cpu_17,cpu_18,cpu_19,cpu_20,cpu_21,cpu_22,cpu_23
1459956693000,0,0,0.99,0,1.98,100,1.98,100,0,0,0,0,0,0,2.94,0,2,0,0,0,1,0,0,0.99
1459956694000,0,0,0,0,0,100,0,100,0,0,0,0,0,0,1.01,0,1.01,0,1,0,1,0,0,0
1459956695000,0,0,61.86,0,0,100,33.67,100,0,0,0,0,0,0,1.01,0,3,0,0,0,0,0,0,0
1459956696000,0,0,61.86,0,0,100,47.52,100,0,0,0,0,0,0,1.98,0,2,0,1,0,0,0,0,0
1459956697000,0,0,62.5,0,0,100,47,100,0,0,0,0,0,0,1.01,0,1,0,0.99,0,1,0,0,0
1459956698000,0,0,52.04,0,56,100,0,100,0,0,0,0,0,0,1.98,0,2,0,0,0,0,0,0,0
1459956699000,0,0,52.09,0,56,100,1,100,0,0,0,0,0,0,1.01,0,1,0,1,0,0,0,0,0
1459956700000,0,0,54.17,0,0,100,53.46,100,0.99,0,0,0,0,0,2.94,0,2,0,0.99,0,0,0,0,0
1459956701000,0,0,57.14,0,49,100,3,100,0,0,0,0,0,0,1.01,0,1,0,1,0,0.99,0,0,0
1459956702000,0,0,56.84,0,1.98,100,51,100,0,0,0,0,0,0,1.98,0,2,0,1,0,0,0,0,0
1459956703000,0,0,56.69,0,0,100,51.51,100,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0.99
1459956704000,0,0,57.14,0,0,100,52,100,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0
1459956705000,0,0,56.84,0,50.5,100,1,100,0,0,0,0,0,0,2,0,1.01,0,0,0,0,0,0,0
1459956706000,0,0,57.14,0,51.51,100,0,100,0,0,0,0,0,0,1.98,0,1.98,0,1.96,0,0,0,0,0
1459956707000,0,0,56.7,0,1.98,100,49.49,100,0,0,0,0,0,0,1.01,0,1.01,0,0,0,1,0,0,0
1459956708000,0,0,57.29,0,0.99,100,52.47,100,0,0,0,0,0,0,2,0,1.98,0,1,0,0,0,0,0
1459956709000,0,0,56.69,0,29.29,100,23,100,0,0,0,0,0,0,1.98,0,2.02,0,1,0,0,0,0,0
1459956710000,0.99,0,56.26,0,51.48,100,0,100,0,0,0,0,0,0,1.01,0,2,0,0,0,1,0,0,0
1459956711000,0,0,58.17,0,51.51,100,0,100,0,0,0,0,0,0,1.98,0,1,0,1,0,0,0,0,0
1459956712000,0,0,56.24,0,2,100,49.5,100,0,0,0,0,0.99,0,1.01,0,2,0,0,0,0,0,0,0
1459956713000,0,0,57.72,0,0,100,51.51,100,0,0,0,0,0,0,1.98,0,1,0,1.96,0,1,0,0,1
