timestamp_ms,client_hostname:perf102-server_hostname:perf104-server_port:21000/hostname:perf102,client_hostname:perf102-server_hostname:perf104-server_port:22000/hostname:perf102
1459955959000,12002.8112680952,11988.2732480176
1459955960000,14075.3332279232,14059.2535248239
1459955961000,13354.5672892633,13351.9418552567
1459955962000,12685.6413958411,12682.9457644352
1459955963000,13318.1266325742,13320.2328995205
1459955964000,14131.5379559033,14146.0199272423
1459955965000,11436.9266867191,11435.8662234144
1459955966000,15005.1407414734,15007.8428696363
1459955967000,15090.8821429053,15093.5934805245
1459955968000,14176.67469348,14175.0675354587
1459955969000,11994.9363661241,11996.2965846026
1459955970000,11456.1206711377,11456.1206711377
1459955971000,11311.3073636669,11310.0250402794
1459955972000,16233.7662337662,16233.7662337662
1459955973000,13298.3136736599,13299.8216917693
1459955974000,16165.6580203645,16159.9061186406
1459955975000,12031.8178297066,12033.8925312753
1459955976000,12585.1652364775,12587.4744881876
1459955977000,12632.528761561,12632.528761561
1459955978000,14151.009537321,14149.4052820535
1459955979000,12640.2260040542,12641.6593918968
1459955980000,12650.5957381218,12649.161578811
1459955981000,13298.3588577231,13299.8668758325
1459955982000,12004.4877024363,12003.12678926
1459955983000,13318.1266325742,13314.9488553292
1459955984000,11995.0127828926,11996.9894299699
1459955985000,13408.3040395211,13409.2946414681
1459955986000,15087.6081556441,15087.6081556441
1459955987000,14101.0758887184,14101.0758887184
1459955988000,10877.59995673,10877.59995673
1459955989000,14109.539919864,14109.539919864
1459955990000,15043.7195402473,15045.4254736656
1459955991000,12643.7316305006,12642.2982426581
1459955992000,14152.012947919,14152.012947919
1459955993000,10918.0183495093,10915.4596051814
1459955994000,14101.0758887184,14101.6805576002
1459955995000,13358.919739634,13362.9934528297
1459955996000,13347.3294724309,13342.7049951752
1459955997000,13358.9310870245,13360.9849647081
1459955998000,13354.9018414153,13352.8604716508
1459955999000,10331.5497675092,10330.7780252979
1459956000000,14204.4590526622,14208.8189086508
1459956001000,11399.8513610541,11399.8513610541
1459956002000,14189.9654433126,14202.8694045684
1459956003000,13339.6730156019,13327.5677663147
1459956004000,12649.0357023675,12644.6979593833
1459956005000,15050.211032206,15048.9715150407
1459956006000,10346.1679165905,10346.1679165905
1459956007000,13394.0133940134,13389.8894541282
1459956008000,13355.9622195986,13352.404423126
1459956009000,13322.6671221255,13321.1517408057
1459956010000,12714.1587520041,12715.6052896078
1459956011000,11326.824427019,11322.9737507194
1459956012000,14170.2829972969,14169.0738435766
1459956013000,12745.853771711,12740.0374880168
1459956014000,14074.5955613314,14087.0123670089
