timestamp_hostname:perf102_ms,hostname:perf102,timestamp_hostname:perf104_ms,hostname:perf104
1459958313000,0.4096,1459958313000,2.0897
1459958314000,0.0897,1459958314000,2.03
1459958315000,0.1,1459958315000,2.04
1459958316000,0.0797,1459958316000,2.0499
1459958317000,0.0701,1459958317000,2.02
1459958318000,0.1291,1459958318000,2.0698
1459958319000,0.07,1459958319000,2.03
1459958320000,0.0801,1459958320000,2.1152
1459958321000,0.1099,1459958321000,2.137
1459958322000,0.1097,1459958322000,2.1551
1459958323000,0.121,1459958323000,2.1054
1459958324000,0.1102,1459958324000,2.1851
1459958325000,0.0709,1459958325000,2.107
1459958326000,0.1005,1459958326000,2.1775
1459958327000,0.0997,1459958327000,2.1277
1459958328000,0.1002,1459958328000,2.157
1459958329000,0.1117,1459958329000,2.1584
1459958330000,0.0798,1459958330000,2.1379
1459958331000,0.1096,1459958331000,2.1577
1459958332000,0.0906,1459958332000,2.1576
1459958333000,0.1008,1459958333000,2.1575
1459958334000,0.1306,1459958334000,2.1379
1459958335000,0.1,1459958335000,2.158
1459958336000,0.1197,1459958336000,2.1366
1459958337000,0.1103,1459958337000,2.1468
1459958338000,0.0903,1459958338000,2.1663
1459958339000,0.0906,1459958339000,2.1461
1459958340000,0.1204,1459958340000,2.1773
1459958341000,0.0903,1459958341000,2.1763
1459958342000,0.1008,1459958342000,2.138
1459958343000,0.1096,1459958343000,2.187
1459958344000,0.0704,1459958344000,2.1061
1459958345000,0.1207,1459958345000,2.1869
1459958346000,0.1008,1459958346000,2.1373
1459958347000,0.0904,1459958347000,2.1554
1459958348000,0.13,1459958348000,2.1678
1459958349000,0.0903,1459958349000,2.1664
1459958350000,0.1203,1459958350000,2.1679
1459958351000,0.1108,1459958351000,2.1766
1459958352000,0.0805,1459958352000,2.1568
1459958353000,0.1191,1459958353000,2.1655
1459958354000,0.0805,1459958354000,2.1861
1459958355000,0.1108,1459958355000,2.1677
1459958356000,0.0907,1459958356000,2.1747
1459958357000,0.1205,1459958357000,2.1765
1459958358000,0.0694,1459958358000,2.1665
1459958359000,0.0809,1459958359000,2.156
1459958360000,0.1104,1459958360000,2.186
1459958361000,0.1108,1459958361000,2.1671
1459958362000,0.1003,1459958362000,2.1467
1459958363000,0.1097,1459958363000,2.2262
1459958364000,0.1205,1459958364000,2.1759
1459958365000,0.0902,1459958365000,2.1672
1459958366000,0.1012,1459958366000,2.1469
1459958367000,0.0798,1459958367000,2.1853
1459958368000,0.1301,1459958368000,2.1856
1459958369000,0.1103,1459958369000,2.1756
1459958370000,0.0804,1459958370000,2.1467
1459958371000,0.08,1459958371000,2.2061
1459958372000,0.14,1459958372000,2.1763
,,1459958373000,2.1684
,,1459958374000,2.1559
,,1459958375000,2.1769
,,1459958376000,2.1471
,,1459958377000,2.1765
,,1459958378000,2.2363
,,1459958379000,2.1671
