procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free        inact       active   si   so    bi    bo   in   cs  us  sy  id  wa  st                 EST
 0  3            8     58441304      1644800      4835788    0    0   882  5418    5    5   1   1  96   1   0 2015-02-19 19:24:20
 2  2            8     57931432      2013332      4845572    0    0  7385   155 4412 6202   0   0  96   3   0 2015-02-19 19:25:20
 1  4            8     56291364      3443492      4846428    0    0 26575  1240 9624 16095   1   1  87  12   0 2015-02-19 19:26:20
 0  5            8     54357976      5207152      4847728    0    0 31427   882 9772 17956   1   1  86  12   0 2015-02-19 19:27:20
 0  6            8     52019616      7418308      4850552    0    0 37948   330 9594 18675   1   1  86  13   0 2015-02-19 19:28:20
 0  7            8     49470816      9869804      4850684    0    0 42114   881 9999 19745   1   1  86  12   0 2015-02-19 19:29:20
 0  8            8     46226124     13048140      4851000    0    0 53433  1055 10189 21189   1   1  86  12   0 2015-02-19 19:30:20
 0  9            8     42775424     16447068      4850328    0    0 57053   741 10676 21737   1   1  84  14   0 2015-02-19 19:31:20
 0  8            8     39217920     19963248      4851324    0    0 58517   337 10527 21525   1   1  86  13   0 2015-02-19 19:32:20
 0  8            8     34982312     24169488      4851024    0    0 70511   884 10540 22348   1   1  86  12   0 2015-02-19 19:33:20
 0 10            8     30542620     28579244      4852992    0    0 73275   359 11080 22261   1   1  85  13   0 2015-02-19 19:34:20
 0  8            8     25803232     33287908      4861632    0    0 78520  1090 11171 23123   1   1  85  13   0 2015-02-19 19:35:20
 0  7            8     21026168     38027424      4876536    0    0 79069   702 11098 22790   1   1  84  14   0 2015-02-19 19:36:20
 1  8            8     16112772     42911940      4882048    0    0 81519   458 10959 23058   1   1  85  13   0 2015-02-19 19:37:20
 1  9            8     10830004     48171964      4882144    0    0 87642   767 11394 22952   1   1  86  12   0 2015-02-19 19:38:20
 0 10            8      5311200     53670804      4881844    0    0 91316  1100 11139 22830   1   1  85  13   0 2015-02-19 19:39:20
 2  6            8       282596     58672880      4893476    0    0 93934   677 11592 22682   1   1  85  13   0 2015-02-19 19:40:20
 1  8            8       280084     58697784      4894764    0    0 86398   378 10182 21222   1   1  86  12   0 2015-02-19 19:41:20
 0  9            8       266136     58727140      4897300    0    0 82702   885 9510 20229   1   1  85  13   0 2015-02-19 19:42:20
 0  8            8       248124     58752872      4897536    0    0 76940  1105 9636 18942   1   1  86  13   0 2015-02-19 19:43:20
 0  6            8       276564     58734856      4900024    0    0 77405   664 9894 19895   1   1  84  14   0 2015-02-19 19:44:20
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free        inact       active   si   so    bi    bo   in   cs  us  sy  id  wa  st                 EST
 0  8            8       285276     58794972      4904320    0    0 82098   358 10031 19764   1   1  86  13   0 2015-02-19 19:45:20
 0  7            8       266028     58888164      4905764    0    0 83030   905 9790 19978   1   1  84  14   0 2015-02-19 19:46:20
 2  7            8       268500     58944272      4906060    0    0 83293   730 9931 19738   1   1  86  12   0 2015-02-19 19:47:20
 0  5            8       285268     58961888      4906544    0    0 82130  1092 9881 19945   1   1  86  12   0 2015-02-19 19:48:20
 0  7            8       277420     58975064      4933152    0    0 79352   331 9782 19969   1   1  85  13   0 2015-02-19 19:49:20
