                            [          readwrite_IOPS][             read_kB_sec][              write_IOPS][               rw_kB_sec][               read_IOPS][            write_kB_sec][        read_95th_lat_us][       write_95th_lat_us]
                            [    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1]
              randread-16KiB[    139481.8    132490.4][   2231709.6   2119848.6][         0.0         0.0][   2231709.6   2119848.6][    139481.8    132490.4][         0.0         0.0][   7278592.0   6973619.2][         0.0         0.0]
                            [     ratio->       0.95x][     ratio->       0.95x][     ratio->            ][     ratio->       0.95x][     ratio->       0.95x][     ratio->            ][     ratio->       0.96x][     ratio->            ]
              randread-64KiB[     26729.0     26102.7][   1710657.5   1670570.3][         0.0         0.0][   1710657.5   1670570.3][     26729.0     26102.7][         0.0         0.0][  20859596.8  20124108.8][         0.0         0.0]
                            [     ratio->       0.98x][     ratio->       0.98x][     ratio->            ][     ratio->       0.98x][     ratio->       0.98x][     ratio->            ][     ratio->       0.96x][     ratio->            ]
                 write-64KiB[     17683.0     17080.2][         0.0         0.0][     17683.0     17080.2][   1131713.3   1093129.6][         0.0         0.0][   1131713.3   1093129.6][         0.0         0.0][  48818790.4  41810329.6]
                            [     ratio->       0.97x][     ratio->            ][     ratio->       0.97x][     ratio->       0.97x][     ratio->            ][     ratio->       0.97x][     ratio->            ][     ratio->       0.86x]
                 read-256KiB[      8993.6      8989.5][   2302356.8   2301312.5][         0.0         0.0][   2302356.8   2301312.5][      8993.6      8989.5][         0.0         0.0][ 102045798.4  69978316.8][         0.0         0.0]
                            [     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       0.69x][     ratio->            ]
                   read-4KiB[    457925.2    428059.0][   1831701.0   1712235.6][         0.0         0.0][   1831701.0   1712235.6][    457925.2    428059.0][         0.0         0.0][   1077739.2   1726438.4][         0.0         0.0]
                            [     ratio->       0.93x][     ratio->       0.93x][     ratio->            ][     ratio->       0.93x][     ratio->       0.93x][     ratio->            ][     ratio->       1.60x][     ratio->            ]
                  write-4KiB[    254639.0    239264.2][         0.0         0.0][    254639.0    239264.2][   1018556.1    957056.8][         0.0         0.0][   1018556.1    957056.8][         0.0         0.0][   2548979.2   3719347.2]
                            [     ratio->       0.94x][     ratio->            ][     ratio->       0.94x][     ratio->       0.94x][     ratio->            ][     ratio->       0.94x][     ratio->            ][     ratio->       1.46x]
               write-4096KiB[       266.1       247.4][         0.0         0.0][       266.1       247.4][   1089630.2   1013627.8][         0.0         0.0][   1089630.2   1013627.8][         0.0         0.0][2289450931.21806406451.2]
                            [     ratio->       0.93x][     ratio->            ][     ratio->       0.93x][     ratio->       0.93x][     ratio->            ][     ratio->       0.93x][     ratio->            ][     ratio->       0.79x]
                read-1024KiB[      1909.2      2274.8][   1955005.1   2329455.0][         0.0         0.0][   1955005.1   2329455.0][      1909.2      2274.8][         0.0         0.0][ 297052979.2 259400908.8][         0.0         0.0]
                            [     ratio->       1.19x][     ratio->       1.19x][     ratio->            ][     ratio->       1.19x][     ratio->       1.19x][     ratio->            ][     ratio->       0.87x][     ratio->            ]
             randwrite-16KiB[     59889.7     59123.1][         0.0         0.0][     59889.7     59123.1][    958235.4    945969.5][         0.0         0.0][    958235.4    945969.5][         0.0         0.0][  14939417.6  14350105.6]
                            [     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->            ][     ratio->       0.96x]
              randrw-1024KiB[      1282.5      1276.0][    649929.0    644759.0][       647.7       646.4][   1313199.7   1306713.5][       634.7       629.6][    663270.8    661954.5][ 349027942.4 344709529.6][ 368789094.4 373044019.2]
                            [     ratio->       0.99x][     ratio->       0.99x][     ratio->       1.00x][     ratio->       1.00x][     ratio->       0.99x][     ratio->       1.00x][     ratio->       0.99x][     ratio->       1.01x]
                 randrw-4KiB[    252146.8    249006.2][    500945.7    494424.1][    126910.4    125400.1][   1008586.9    996024.8][    125236.5    123606.0][    507641.2    501600.7][   2645196.8   3592934.4][   2601356.8   3586368.0]
                            [     ratio->       0.99x][     ratio->       0.99x][     ratio->       0.99x][     ratio->       0.99x][     ratio->       0.99x][     ratio->       0.99x][     ratio->       1.36x][     ratio->       1.38x]
                 write-16KiB[     62291.2     64627.7][         0.0         0.0][     62291.2     64627.7][    996659.6   1034042.9][         0.0         0.0][    996659.6   1034042.9][         0.0         0.0][  15564467.2  14838476.8]
                            [     ratio->       1.04x][     ratio->            ][     ratio->       1.04x][     ratio->       1.04x][     ratio->            ][     ratio->       1.04x][     ratio->            ][     ratio->       0.95x]
                randrw-16KiB[     81910.4     76286.1][    656868.9    611988.6][     40856.1     38036.9][   1310567.8   1220579.1][     41054.3     38249.2][    653698.8    608590.5][  12338534.4  13532492.8][  13325516.8  14570598.4]
                            [     ratio->       0.93x][     ratio->       0.93x][     ratio->       0.93x][     ratio->       0.93x][     ratio->       0.93x][     ratio->       0.93x][     ratio->       1.10x][     ratio->       1.09x]
              randwrite-4KiB[    265015.2    255972.9][         0.0         0.0][    265015.2    255972.9][   1060060.6   1023891.6][         0.0         0.0][   1060060.6   1023891.6][         0.0         0.0][   2382681.6   3510374.4]
