timestamp_ms,cpu_00,cpu_01,cpu_02,cpu_03,cpu_04,cpu_05,cpu_06,cpu_07,cpu_08,cpu_09,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_16,cpu_17,cpu_18,cpu_19,cpu_20,cpu_21,cpu_22,cpu_23
1434337117000,0,0,0.99,0,0,0,0,0,0,0.99,0,0,0,0,0,1,0,0,0,0,0,0,2,0
1434337118000,0,0,0,0,0,0,0,0,0,4.04,0,0,0,0,0,0,0,0,0,6,0,0,0,0
1434337119000,0,0,0,24.21,0,20.61,0,0,0,3.06,0,10.2,0,0,0,0.99,0,0,0,59.34,0,0,0,0
1434337120000,0,0,0,1,0,5.05,0,0,0,55.06,0,0,0,0,0,0,0,0,0,60,1.98,0,0,0
1434337121000,0,0,0,0,0,0,0,0,0,10.1,0,52.17,0,0,0,0.99,0.99,0.99,0,58.89,0,0,0,0
1434337122000,0.99,0,0,0,0,0,0,0,0,0,0,62.64,0,0,0,0,0,0,0,59.09,0,0,0,0
1434337123000,0,39.36,0,7.14,0,1.98,0,0,0,0,0,11.22,0,0,0,0.99,0,0,0,59.34,0,0,0,0
1434337124000,0,0,0,5.94,0,13.4,0,57.78,0,42.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1434337125000,1,39.14,0,28.72,0,12.5,0,19.19,0,0,0,13.54,0,0,0,0,0,0,0,0,0,0,0,0
1434337126000,0,15.15,0,9.09,0,42.71,0,3.06,0,37.36,0,10.1,0,0,0,0.99,0,1.01,0,0,0,0,0,0
1434337127000,0,42.86,0,0,0,61.54,0,11.11,0,0,0,3.06,0,0,0,0,0.99,0.99,0,0,0,0,0,0
1434337128000,0,7.07,0,7.29,0,19.79,0,38.54,0,27.96,0,13,0,0,0,0,0,0,0,0,0,0,0,0
1434337129000,0,41.66,0,9.27,0,24.47,0,12.24,0,21.87,0,4.08,0,0,0.99,0.99,0,1.98,0,0,1.98,0,0,0
1434337130000,0,16.84,0,32.98,0,7.07,0,50,0,2,0,8,0,0,0,0,1,1,0,0,0,0,0,0
1434337131000,0,2,0,21.65,0,37.75,0,20.83,0,20.22,0,1.01,0,0,0,1,0,11.45,0,0,0,0,0,0
1434337132000,0,0,0,0,0,62.07,0,0,0,0,0,0,0,0,0,0,0,59.55,0,0.99,0,0,0,0
1434337133000,0,0,0,0,0,62.64,0,0,0,0,0,0,0,0,0,0,0,59.55,0,0,0,0,0,0
1434337134000,0,0,0,0,0,58.43,0,4.95,0,0,0,0,0,0,0,1,1,59.77,0,0,0,0,0,0
1434337135000,0,0,0,0,0,1.98,0,0,0,64.21,0,0,0,0,0,0,0,57.47,0,0,0,0,0,0
1434337136000,0,0,0,0,0,1.01,0,0,0,60.47,0,0,0,0,0,0,0,60,0,0,0,0,0,0
1434337137000,0,44.56,0,0,0,1,0,0,0,54.94,0,6.06,0,0,0,0,0,11.34,0,0,0,0,0,0
1434337138000,0,4,0,42.86,0,31.24,0,34.04,0,0,0,5.05,0,0,0,0.99,0.99,0,0,0,1.96,0,0,0
1434337139000,1,3,0,26.89,0,10.2,0,14.43,0,60.43,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0
1434337140000,0,4.08,0,8,0,20.83,0,51.09,0,31.19,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1434337141000,0,1,0,0,0,10.41,0,4.04,0,48.35,0,40.86,1,0,0,0.99,1,14.85,1.96,0,0,0,0,0
1434337142000,0,0,0,0,0,1.01,0,61.8,0,51.08,0,4.08,0,0,0,1,0,1,0,0,0,0,0,0
1434337143000,0,25,0,0,0,0,0,62.07,0,30.85,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0
1434337144000,1,45.16,0,3.03,0,21.06,0,47.31,0,0,0,0,0,0,0.99,0,0,1,0,0,1,0,0,0
1434337145000,0,45.27,0,12.37,0,14.28,0,2,0,10.1,0,32.98,0,0,0,0,0.99,1.98,0,0,0,0,0,0
1434337146000,0,11.45,0,20.4,0,13.68,0,36.46,0,29.79,0,0,0,0,0,0.99,0,1,0,0,0,0,0,0
1434337147000,0,3.96,0,4.12,0,52.17,0,42.55,0,9.18,0,6.06,0,0,0,1,0.99,0,0,0,1,0,0,0
1434337148000,0,52.27,0,0.99,0,2.94,0,45.16,0,1,0,9.28,0,0,0,0.99,0,0.99,0,0,0,0,0,0
