"Buckets","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
5120,,,,,,,,,,,,,,,,,,,,1,
5132.8,,,,,,,,,,,,,,,,,,,1,,
5145.6,,,,,,,,,,,,,,,,,,,5,,1
5158.4,,,,,,,,,,,,,,,,,,,8,,2
5171.2,,,,,,,,,,,,,,,,,,,8,2,1
5184,,,,,,,,,,,,,,,,,2,,44,,3
5196.8,,,,,,,,,,,,,,,,,1,1,66,5,6
5209.6,,,,,,,,,,,,,,,,,8,8,110,18,14
5222.4,,,,,,,,,,,,,,,,,9,7,175,9,21
5235.2,,,,,,,,,,,1,,,,,,19,14,256,36,44
5248,,,,,,,,,,,,,,,,,47,37,434,74,58
5260.8,,,,,,,,,,,,,,,,,70,58,613,108,110
5273.6,,,,,,,,,,,,,,,,,103,97,838,158,159
5286.4,,,,,,,,,,,,,,,,1,218,138,1218,216,216
5299.2,,,,,,1,,,,,,,,,,,313,229,1687,369,334
5312,,,,,,,,,,,,,,,,,509,290,2300,509,495
5324.8,,,,,,,,,,,,,,,1,,826,418,3055,721,625
5337.6,,,,,,,,,,,,,,,,,1177,625,4102,1097,980
5350.4,,,,,,,,,,,,,,,,,1791,956,5175,1474,1434
5363.2,,,,,,,,,,,,,,1,,,2503,1345,6626,2020,1929
5376,,,,,,,,,,,,,,,1,,3340,1804,8502,2646,2598
5388.8,,1,,,,,,,,,,,,,2,,4511,2271,10487,3444,3481
5401.6,,,1,,,,,,,,,,,,,,5747,3233,13017,4401,4608
5414.4,,,1,,,,,1,,,,,,,,,7347,4157,15484,5581,5765
5427.2,,,,,,,,,,,,,,,,,8964,5333,18652,6911,7073
5440,,,1,1,,,,1,,,,,,,,2,11006,6707,21306,8407,8674
5452.8,,,,,,,1,,,,,,1,1,3,,12929,8037,24229,10105,10209
5465.6,,1,,,1,,1,,,,1,,,1,,2,15559,9528,26881,11633,11728
5478.4,,,,,1,,,,,,,1,,,,,17958,10889,29417,13285,13665
5491.2,,,,1,,,1,,,,,1,,1,,1,20268,12302,32848,15375,15919
5504,,,1,,,,,,,,,,,,,,23156,14092,36201,17417,18800
5516.8,,,,,,1,,,,,,1,,,,1,25994,15877,40211,19272,22004
5529.6,,,2,1,1,,,,,,1,,,1,,,29585,18123,44676,21963,25291
5542.4,,,,1,1,,1,1,,,,,,2,1,,32582,20632,49278,24766,28621
5555.2,,,,,,,,1,1,,2,,,2,,,35353,23082,53209,27719,31471
5568,,1,1,1,1,,,,1,,,,,1,,,38075,25485,56336,30387,33081
5580.8,,1,,,1,1,,,,,,,,,,,41149,27863,59189,33382,35469
5593.6,1,,2,1,,,,,,,,1,,1,,,44019,30476,62655,36124,37791
5606.4,1,1,,,,,,,,,,,,,,,48601,34214,66081,39289,41662
5619.2,,,,,1,1,1,,,,,,,,,,54043,38104,72115,43697,45778
5632,,,1,,,,,,,,,,,,1,,60688,43008,79790,48636,52179
5644.8,1,,,,,,1,,,,,,1,,,1,68695,48715,88048,55735,58817
5657.6,1,,,,,,,2,1,1,,,1,,,4,77390,55978,97394,63321,67020
5670.4,,,,,,,,,1,,,,,,3,6,85634,62874,106487,71370,75004
5683.2,,,,,,,,,,,,,1,,10,4,93510,69887,115647,80646,82978
5696,,,,,,,,,,1,,,,,11,18,100989,76821,124424,89108,91515
5708.8,,,1,2,,,,,,,,,,,29,19,111105,85173,133701,99971,101277
5721.6,,,,,,,,,2,,,,,,65,34,124416,96661,145252,112958,113647
5734.4,,,,,,,,,,,,,,,151,78,138088,110130,159518,128440,129907
5747.2,1,,,,,,,,,,,,,,353,154,151364,125771,176334,144006,145778
5760,1,,,,,,,1,,,,,,,576,270,163256,140537,191606,159244,161317
5772.8,,,,,,,,,,,,,,,887,441,172180,153192,204893,172335,172153
5785.6,,1,,,,,,,,,,,,,1307,707,182156,164614,216438,184013,181006
5798.4,,,,,,,,,,,,,,,1942,957,191241,174703,227974,194805,187299
5811.2,,,,,,1,,,,1,,,,,3226,1382,200069,184535,240484,205668,194322
5824,1,,,,,,1,,,,,,,,5646,2056,208721,196406,252298,216698,202635
5836.8,,,,,,,1,,,1,,,3,,8777,3217,217390,209761,263018,229890,212735
5849.6,,,,,,1,1,,,,,,,,11223,4700,224500,224446,274502,242310,223534
5862.4,1,,,,,,,,,,,,,,13121,6792,230438,235941,285389,254846,233576
5875.2,,,,,1,,,,1,,,,,,15341,8653,235859,245720,294278,264042,241848
5888,1,,,,,,,,,,1,,,,18844,10996,238440,251853,302509,272193,250107
5900.8,2,,,,,,,,,,,,,,25879,14028,242773,256066,308120,277439,258533
5913.6,1,,,,,,,,,1,1,,,,35443,17796,248359,261805,314301,283548,264815
5926.4,,,,,,,,,,1,,,,,46485,23276,254070,270102,323327,289569,271928
5939.2,,,,,,,,,,,1,,,,56690,30664,259613,277327,333180,296254,279821
5952,,,,,,,,,,1,1,,,,62892,37404,264356,284483,344093,303574,285647
5964.8,2,,,,,,,,,,,,,,64102,43658,268026,291486,354669,309336,291039
5977.6,1,,,,,,,,,1,4,,,,65163,48723,272913,297157,360893,315869,295276
5990.4,,,,,,,,,1,1,2,,,,67766,52988,278109,302135,366181,320129,300690
6003.2,2,2,,,,,,1,1,2,7,,,,75074,58599,286639,307702,371914,328157,308144
6016,1,,,2,,,,1,,8,8,,,,83631,64703,297766,315580,379891,337798,317835
6028.8,3,1,,,1,1,,,,7,15,1,,,90755,71296,309811,325862,390870,347334,331782
6041.6,5,,,1,1,,1,,,11,16,1,,1,94444,75458,318145,336530,404858,357291,345683
6054.4,5,,1,,,1,,1,1,16,24,2,,2,95655,78311,327354,345169,415412,366476,358335
6067.2,7,,,8,2,,,,,13,30,2,,,95914,79870,334659,352002,422903,371256,367884
6080,12,,2,4,1,,,,,23,33,2,,,96853,79274,342638,357364,423641,376871,375583
6092.8,9,5,1,2,2,1,,1,,37,48,1,,,91920,77464,352723,363549,426276,384076,383455
6105.6,18,2,,7,1,,,1,,39,48,5,,,81310,71568,359341,369302,431321,390304,388885
6118.4,11,2,1,6,1,,1,,1,37,80,7,,1,66517,64828,365079,373034,438952,394170,396333
6131.2,15,1,3,5,4,1,,,1,53,95,7,,2,51873,54900,363363,373498,443862,394451,399286
6144,26,2,1,5,5,1,1,,,73,105,7,,1,40832,45743,365558,375003,443608,394904,401814
6156.8,25,3,4,9,2,3,1,,1,98,143,26,,,35898,38052,368272,378793,443102,395478,405178
6169.6,29,8,8,9,3,2,2,1,,103,155,22,,1,41444,35083,372916,383211,445515,398543,412864
6182.4,30,4,11,14,5,3,5,2,,112,146,40,,5,58039,37766,380920,388788,449027,405104,424364
6195.2,28,10,17,24,1,7,3,4,1,129,230,60,,3,78316,46526,387403,392043,453446,413402,437247
6208,34,23,26,19,4,9,11,3,1,126,279,83,,14,94891,59601,393736,400326,459626,423313,450115
6220.8,36,42,33,47,13,18,11,4,1,125,392,148,,18,102005,73237,401948,409734,466197,432645,459665
6233.6,63,63,79,68,22,14,32,9,,145,604,261,,23,101288,84140,410122,421410,471586,442217,472221
6246.4,111,118,110,120,35,32,43,25,1,288,811,441,,54,102649,93178,417449,431712,479701,454931,486022
6259.2,186,162,194,165,62,44,79,35,4,337,1183,609,,95,119419,107659,425212,440059,487423,462252,495866
6272,285,237,263,232,105,73,98,42,3,468,1568,798,2,141,152552,131317,429081,443765,492754,466235,503678
6284.8,473,406,444,354,151,110,199,76,8,808,1954,1139,1,252,194271,164437,429460,446459,495494,470204,506547
