                            [          readwrite_IOPS][             read_kB_sec][              write_IOPS][               rw_kB_sec][               read_IOPS][            write_kB_sec][        read_95th_lat_us][       write_95th_lat_us]
                            [    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1]
              randread-16KiB[     52383.3     53413.4][    838133.4    854614.3][         0.0         0.0][    838133.4    854614.3][     52383.3     53413.4][         0.0         0.0][     25712.0     25713.6][         0.0         0.0]
                            [     ratio->       1.02x][     ratio->       1.02x][     ratio->            ][     ratio->       1.02x][     ratio->       1.02x][     ratio->            ][     ratio->       1.00x][     ratio->            ]
              randread-64KiB[     17897.4     17911.2][   1145436.6   1146320.1][         0.0         0.0][   1145436.6   1146320.1][     17897.4     17911.2][         0.0         0.0][     63529.6     62963.2][         0.0         0.0]
                            [     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       0.99x][     ratio->            ]
                 write-64KiB[     10436.1     11123.7][         0.0         0.0][     10436.1     11123.7][    667907.8    711918.4][         0.0         0.0][    667907.8    711918.4][         0.0         0.0][    239168.0    213491.2]
                            [     ratio->       1.07x][     ratio->            ][     ratio->       1.07x][     ratio->       1.07x][     ratio->            ][     ratio->       1.07x][     ratio->            ][     ratio->       0.89x]
                 read-256KiB[      4486.3      4486.9][   1148495.4   1148656.5][         0.0         0.0][   1148495.4   1148656.5][      4486.3      4486.9][         0.0         0.0][    234022.4    232908.8][         0.0         0.0]
                            [     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->            ]
                   read-4KiB[     70195.5     77136.0][    280782.1    308544.1][         0.0         0.0][    280782.1    308544.1][     70195.5     77136.0][         0.0         0.0][     18720.0     17024.0][         0.0         0.0]
                            [     ratio->       1.10x][     ratio->       1.10x][     ratio->            ][     ratio->       1.10x][     ratio->       1.10x][     ratio->            ][     ratio->       0.91x][     ratio->            ]
                  write-4KiB[     23740.1     25608.0][         0.0         0.0][     23740.1     25608.0][     94960.4    102431.9][         0.0         0.0][     94960.4    102431.9][         0.0         0.0][    162803.2    153254.4]
                            [     ratio->       1.08x][     ratio->            ][     ratio->       1.08x][     ratio->       1.08x][     ratio->            ][     ratio->       1.08x][     ratio->            ][     ratio->       0.94x]
               write-4096KiB[       253.3       245.3][         0.0         0.0][       253.3       245.3][   1037491.9   1004840.6][         0.0         0.0][   1037491.9   1004840.6][         0.0         0.0][   7614259.2   8059084.8]
                            [     ratio->       0.97x][     ratio->            ][     ratio->       0.97x][     ratio->       0.97x][     ratio->            ][     ratio->       0.97x][     ratio->            ][     ratio->       1.06x]
                read-1024KiB[      1121.7      1121.8][   1148673.9   1148679.1][         0.0         0.0][   1148673.9   1148679.1][      1121.7      1121.8][         0.0         0.0][    929740.8    921600.0][         0.0         0.0]
                            [     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       0.99x][     ratio->            ]
             randwrite-16KiB[     30360.3     28925.8][         0.0         0.0][     30360.3     28925.8][    485764.7    462812.0][         0.0         0.0][    485764.7    462812.0][         0.0         0.0][    123315.2    118016.0]
                            [     ratio->       0.95x][     ratio->            ][     ratio->       0.95x][     ratio->       0.95x][     ratio->            ][     ratio->       0.95x][     ratio->            ][     ratio->       0.96x]
              randrw-1024KiB[      1534.7      1527.8][    804045.8    800292.9][       749.5       746.3][   1571531.6   1564516.0][       785.2       781.5][    767485.8    764223.0][    655820.8    658790.4][   1205145.6   1225113.6]
                            [     ratio->       1.00x][     ratio->       1.00x][     ratio->       1.00x][     ratio->       1.00x][     ratio->       1.00x][     ratio->       1.00x][     ratio->       1.00x][     ratio->       1.02x]
                 randrw-4KiB[     45388.1     47834.7][     90683.6     95681.2][     22717.2     23914.4][    181552.4    191338.8][     22670.9     23920.3][     90868.8     95657.6][     51881.6     52041.6][     84499.2     83494.4]
                            [     ratio->       1.05x][     ratio->       1.06x][     ratio->       1.05x][     ratio->       1.05x][     ratio->       1.06x][     ratio->       1.05x][     ratio->       1.00x][     ratio->       0.99x]
                 write-16KiB[     18265.6     20650.0][         0.0         0.0][     18265.6     20650.0][    292250.0    330399.3][         0.0         0.0][    292250.0    330399.3][         0.0         0.0][    170304.0    161561.6]
                            [     ratio->       1.13x][     ratio->            ][     ratio->       1.13x][     ratio->       1.13x][     ratio->            ][     ratio->       1.13x][     ratio->            ][     ratio->       0.95x]
